Date,Hour,MAE d,MAE s
2014-07-01,0,23.48,35.01
2014-07-01,1,23.35,36.15
2014-07-01,2,24.24,37.13
2014-07-01,3,24.19,37.17
2014-07-01,4,22.85,37.23
2014-07-01,5,22.29,36.52
2014-07-01,6,30.32,30.4
2014-07-01,7,27.18,34.66
2014-07-01,8,32.46,34.94
2014-07-01,9,29.05,39.0
2014-07-01,10,31.15,36.48
2014-07-01,11,34.84,38.54
2014-07-01,12,35.19,38.42
2014-07-01,13,32.88,38.21
2014-07-01,14,35.73,36.5
2014-07-01,15,35.81,33.41
2014-07-01,16,32.51,34.7
2014-07-01,17,30.09,32.27
2014-07-01,18,30.84,30.13
2014-07-01,19,33.83,34.66
2014-07-01,20,33.43,34.61
2014-07-01,21,32.29,29.43
2014-07-01,22,32.59,32.36
2014-07-01,23,30.36,33.87
2014-07-02,0,29.76,32.24
2014-07-02,1,28.44,34.48
2014-07-02,2,28.06,35.12
2014-07-02,3,27.8,35.62
2014-07-02,4,27.12,34.23
2014-07-02,5,27.86,35.44
2014-07-02,6,32.83,29.13
2014-07-02,7,31.23,30.74
2014-07-02,8,32.02,33.41
2014-07-02,9,33.46,38.71
2014-07-02,10,34.66,38.59
2014-07-02,11,36.59,38.51
2014-07-02,12,33.93,39.18
2014-07-02,13,37.01,38.74
2014-07-02,14,37.13,40.36
2014-07-02,15,36.91,35.7
2014-07-02,16,33.1,37.91
2014-07-02,17,28.17,32.83
2014-07-02,18,29.45,33.93
2014-07-02,19,33.74,33.46
2014-07-02,20,33.96,34.01
2014-07-02,21,33.93,30.9
2014-07-02,22,33.88,30.31
2014-07-02,23,31.62,29.07
2014-07-03,0,17.39,36.71
2014-07-03,1,17.28,38.1
2014-07-03,2,17.4,38.34
2014-07-03,3,17.61,40.06
2014-07-03,4,15.24,40.21
2014-07-03,5,16.08,36.98
2014-07-03,6,18.32,33.23
2014-07-03,7,21.05,38.75
2014-07-03,8,19.97,36.74
2014-07-03,9,19.85,43.1
2014-07-03,10,20.34,43.15
2014-07-03,11,22.54,43.73
2014-07-03,12,22.64,45.59
2014-07-03,13,25.2,46.15
2014-07-03,14,25.04,43.39
2014-07-03,15,22.36,36.3
2014-07-03,16,22.41,36.91
2014-07-03,17,19.7,35.49
