,Date,System Price,Total Vol,NO Buy Vol,NO Sell Vol,SE Buy Vol,SE Sell Vol,DK Buy Vol,DK Sell Vol,FI Buy Vol,FI Sell Vol,Nordic Buy Vol,Nordic Sell Vol,Baltic Buy Vol,Baltic Sell Vol,T Nor,NO Hydro Dev,SE Hydro Dev,FI Hydro Dev,Total Hydro Dev,NO Hydro,SE Hydro,FI Hydro,Total Hydro,Week,Month,Season,Weekday,Weekend,Wind DK,Temp Hamar,Temp Krsand,Temp Namsos,Temp Troms,Temp Bergen,Temp Norway,Prec Hamar,Prec Kvin,Prec Oppdal,Prec Troms,Prec Bergen,Prec Norway,Prec Norway 7,Supply,Demand,Oil,Coal,Gas,Low Carbon,APX,OMEL,EEX
0,2014-01-01,28.25,884300.0,340886,299489,355291,408669,58534.4,101167.0,134389,98827.4,889099.0,908152.0,42944.1,23891.8,4.4,-1803.51,1589.92,209.374,-4.243,54821.7,21822.1,3736.57,80380.4,1,1,1,3,0,46140,2.7,6.0,2.9,-4.0,6.0,4.4,0.0,19.4,0.1,0.0,7.0,26.5,248.3,1076510.0,1117970.0,81.1246,59.7086,28.11,100.32,41.48,12.86,17.38
1,2014-01-02,29.89,1020910.0,378381,373477,395229,449284,84394.1,93826.9,152884,107438.0,1010890.0,1024030.0,47289.7,34152.2,3.18,-1767.06,1614.65,222.117,69.671,54633.6,21742.7,3742.86,80119.1,1,1,1,4,0,61848,1.7,6.4,4.2,-4.0,7.6,3.18,0.0,20.5,0.0,0.0,3.9,24.4,260.7,1245370.0,1229930.0,78.9135,59.1229,27.59,99.4,51.0,26.53,27.93
2,2014-01-03,29.3,999570.0,370183,351857,390348,442626,76113.8,101328.0,151959,107010.0,988604.0,1002820.0,55180.8,40963.0,3.82,-1734.1,1639.13,234.671,139.743,54445.4,21663.3,3749.14,79857.9,1,1,1,5,0,62126,2.0,6.7,4.8,-1.5,7.1,3.82,6.6,19.0,0.0,0.0,5.4,31.0,236.6,1229960.0,1231580.0,78.3996,58.3101,27.5,99.95,51.08,40.45,27.71
3,2014-01-04,27.96,933224.0,347920,332070,362855,419280,66868.5,86929.5,144882,102373.0,922525.0,940653.0,48741.0,30613.1,3.78,-1701.14,1663.59,247.233,209.7,54257.3,21583.9,3755.43,79596.6,1,1,1,6,1,64573,3.5,6.6,4.7,-2.2,6.3,3.78,2.5,40.4,0.0,0.0,4.8,47.7,198.9,1180110.0,1161270.0,78.4218,58.4169,27.5,99.8533,50.67,31.62,25.86
4,2014-01-05,29.05,951251.0,349025,367521,380999,421858,74217.6,73429.9,142502,102470.0,946744.0,965280.0,48783.8,30247.5,3.32,-1663.57,1688.06,259.971,284.471,54069.1,21504.4,3761.71,79335.3,1,1,1,7,1,31325,2.9,5.7,3.5,-1.9,6.4,3.32,0.1,31.0,0.0,2.0,11.7,44.8,170.2,1138630.0,1140030.0,78.4441,58.5239,27.5,99.7567,50.26,22.8,24.01
5,2014-01-06,28.19,961145.0,382402,342777,370852,427429,72326.2,113921.0,140261,101000.0,965842.0,985128.0,54456.5,35170.1,3.22,-1623.55,1713.51,273.386,363.343,53881.0,21425.0,3768.0,79074.0,2,1,1,1,0,72747,1.9,6.5,4.4,-3.2,6.5,3.22,0.0,20.5,0.1,0.0,0.9,21.5,149.2,1208970.0,1224770.0,78.4664,58.6311,27.5,99.66,49.84,13.97,22.17
6,2014-01-07,29.16,1037900.0,381550,383386,404347,442532,82848.9,100860.0,158790,116062.0,1027540.0,1042840.0,54583.1,39279.4,3.78,-1751.77,1669.66,274.044,191.929,53480.3,21257.9,3758.86,78497.0,2,1,1,2,0,82434,5.3,7.6,3.0,-4.7,7.7,3.78,2.1,22.0,0.0,0.0,11.4,35.5,118.1,1271560.0,1246310.0,78.6966,58.3535,27.46,100.47,48.59,47.89,27.52
7,2014-01-08,29.36,1048990.0,386373,389696,402298,450712,85760.4,92894.7,157399,117472.0,1031830.0,1050780.0,57520.9,38576.5,1.8,-1861.78,1632.48,275.24,45.971,53079.6,21090.7,3749.71,77920.0,2,1,1,3,0,73103,2.1,7.4,-1.3,-6.4,7.2,1.8,0.0,34.5,0.0,0.0,8.9,43.4,76.7,1277340.0,1248230.0,78.8215,60.2472,27.47,100.48,49.98,41.21,33.49
8,2014-01-09,29.72,1049980.0,393550,405291,408717,447588,80545.4,89579.4,158362,117191.0,1041170.0,1059650.0,52833.3,34358.1,-0.96,-1931.36,1598.77,277.734,-54.871,52678.9,20923.6,3740.57,77343.0,2,1,1,4,0,62921,0.4,5.5,-2.6,-12.2,4.1,-0.96,0.0,21.2,0.3,0.0,15.3,36.8,44.8,1300700.0,1287360.0,78.159,61.7103,27.47,100.11,49.99,49.02,31.13
9,2014-01-10,30.17,1077530.0,406219,410900,422025,461532,79796.7,96320.1,162305,111272.0,1070350.0,1080020.0,53238.7,43561.4,-3.08,-2005.84,1567.29,280.796,-157.757,52278.1,20756.4,3731.43,76766.0,2,1,1,5,0,71808,-0.1,3.8,-8.0,-13.9,2.8,-3.08,0.0,0.5,1.0,0.0,5.4,6.9,39.1,1362680.0,1336000.0,78.9357,61.5294,27.41,100.58,56.19,56.2,28.31
10,2014-01-11,29.82,1056850.0,397779,392735,409704,455431,74279.5,93257.7,160161,117153.0,1041920.0,1058580.0,52140.8,35488.2,-4.32,-2080.3,1535.8,283.861,-260.643,51877.4,20589.3,3722.29,76189.0,2,1,1,6,1,65004,-7.1,4.9,-10.0,-12.3,2.9,-4.32,0.0,3.2,1.3,0.0,5.5,10.0,31.2,1290360.0,1274330.0,78.6837,61.5019,27.38,100.63,55.93,50.41,32.86
11,2014-01-12,30.4,1064770.0,407855,406579,423122,458774,71387.9,97202.0,161463,116363.0,1063830.0,1078920.0,48630.7,33540.6,-7.04,-2150.19,1505.79,287.774,-356.6,51476.7,20422.1,3713.14,75612.0,2,1,1,7,1,60680,-12.4,2.4,-13.5,-10.2,-1.5,-7.04,0.0,10.4,0.8,0.0,4.9,16.1,19.4,1316310.0,1318010.0,78.4326,61.4745,27.35,100.68,55.68,44.62,37.4
12,2014-01-13,39.16,1286750.0,457750,522195,525958,528168,103509.0,97310.7,192188,135295.0,1279400.0,1282970.0,53015.3,49451.1,-7.96,-2200.67,1485.04,292.367,-423.271,51076.0,20255.0,3704.0,75035.0,3,1,1,1,0,48078,-16.1,-2.4,-11.7,-8.0,-1.6,-7.96,0.0,0.0,0.0,0.5,0.0,0.5,19.7,1549620.0,1521490.0,78.1822,61.4472,27.32,100.73,55.43,38.82,41.94
13,2014-01-14,41.65,1279640.0,464397,536210,490629,518284,116367.0,78317.4,191145,138149.0,1262540.0,1270960.0,54630.5,46206.6,-5.32,-2247.86,1445.24,291.473,-511.143,50690.4,20071.7,3687.86,74450.0,3,1,1,2,0,7364,-9.4,-2.8,-7.2,-7.4,0.2,-5.32,0.0,1.0,0.0,0.0,3.4,4.4,15.3,1549810.0,1516280.0,77.8444,61.3156,27.24,101.02,54.33,37.67,49.35
14,2014-01-15,41.6,1280070.0,468101,541061,501746,505621,105161.0,90229.0,193206,139909.0,1268210.0,1276820.0,56279.4,47673.6,-5.0,-2283.94,1409.0,291.833,-583.1,50304.9,19888.4,3671.71,73865.0,3,1,1,3,0,40358,-7.1,-1.7,-7.4,-9.5,0.7,-5.0,2.0,0.0,0.0,0.0,0.0,2.0,13.3,1540620.0,1503520.0,78.7373,62.0315,27.16,101.93,54.43,49.86,45.69
15,2014-01-16,32.53,1239860.0,454649,480962,485674,496516,86644.5,112398.0,191528,140293.0,1218500.0,1230170.0,58353.7,46680.3,-3.3,-2328.32,1368.98,291.814,-667.514,49919.3,19705.1,3655.57,73280.0,3,1,1,4,0,85056,-6.1,2.8,-5.2,-11.5,3.5,-3.3,3.2,1.6,0.0,0.1,0.0,4.9,9.3,1531360.0,1504840.0,78.76,62.1461,27.13,101.78,56.15,41.78,40.75
16,2014-01-17,34.21,1246560.0,456720,495274,479809,512941,99566.5,91622.2,195228,138973.0,1231320.0,1238810.0,59183.0,51697.1,-4.34,-2370.96,1326.67,292.306,-751.986,49533.7,19521.9,3639.43,72695.0,3,1,1,5,0,60346,-7.0,0.8,-6.7,-10.6,1.8,-4.34,0.6,0.5,0.0,0.1,0.0,1.2,10.1,1558350.0,1520280.0,78.3863,62.0951,27.09,102.13,51.27,40.71,39.58
