Date,Demand
2014-01-01,1.11797e+06
2014-01-02,1.22993e+06
2014-01-03,1.23158e+06
2014-01-04,1.16127e+06
2014-01-05,1.14003e+06
2014-01-06,1.22477e+06
2014-01-07,1.24631e+06
2014-01-08,1.24823e+06
2014-01-09,1.28736e+06
2014-01-10,1.336e+06
2014-01-11,1.27433e+06
2014-01-12,1.31801e+06
2014-01-13,1.52149e+06
2014-01-14,1.51628e+06
2014-01-15,1.50352e+06
2014-01-16,1.50484e+06
2014-01-17,1.52028e+06
2014-01-18,1.42571e+06
2014-01-19,1.40349e+06
2014-01-20,1.52956e+06
2014-01-21,1.52326e+06
2014-01-22,1.53658e+06
2014-01-23,1.55819e+06
2014-01-24,1.53153e+06
2014-01-25,1.41131e+06
2014-01-26,1.37666e+06
2014-01-27,1.50885e+06
2014-01-28,1.4912e+06
2014-01-29,1.50818e+06
2014-01-30,1.54172e+06
2014-01-31,1.52628e+06
2014-02-01,1.37722e+06
2014-02-02,1.27818e+06
2014-02-03,1.35836e+06
2014-02-04,1.36565e+06
2014-02-05,1.3668e+06
2014-02-06,1.37747e+06
2014-02-07,1.35364e+06
2014-02-08,1.23675e+06
2014-02-09,1.20708e+06
2014-02-10,1.31723e+06
2014-02-11,1.32426e+06
2014-02-12,1.33601e+06
2014-02-13,1.34354e+06
2014-02-14,1.3151e+06
2014-02-15,1.23246e+06
2014-02-16,1.19749e+06
2014-02-17,1.29716e+06
2014-02-18,1.33165e+06
2014-02-19,1.35815e+06
2014-02-20,1.37034e+06
2014-02-21,1.34098e+06
2014-02-22,1.21516e+06
2014-02-23,1.166e+06
2014-02-24,1.24528e+06
2014-02-25,1.25717e+06
2014-02-26,1.28571e+06
2014-02-27,1.28932e+06
2014-02-28,1.26835e+06
2014-03-01,1.18512e+06
2014-03-02,1.18471e+06
2014-03-03,1.28879e+06
2014-03-04,1.27732e+06
2014-03-05,1.28614e+06
2014-03-06,1.26503e+06
2014-03-07,1.23905e+06
2014-03-08,1.13783e+06
2014-03-09,1.09773e+06
2014-03-10,1.20212e+06
2014-03-11,1.21293e+06
2014-03-12,1.20331e+06
2014-03-13,1.19483e+06
2014-03-14,1.1975e+06
2014-03-15,1.1507e+06
2014-03-16,1.14254e+06
2014-03-17,1.26422e+06
2014-03-18,1.27803e+06
2014-03-19,1.30256e+06
2014-03-20,1.27399e+06
2014-03-21,1.19857e+06
2014-03-22,1.10934e+06
2014-03-23,1.09946e+06
2014-03-24,1.20714e+06
2014-03-25,1.20782e+06
2014-03-26,1.23663e+06
2014-03-27,1.21607e+06
2014-03-28,1.15669e+06
2014-03-29,1.0544e+06
2014-03-30,995337
2014-03-31,1.17084e+06
2014-04-01,1.19008e+06
2014-04-02,1.18924e+06
2014-04-03,1.17892e+06
2014-04-04,1.17145e+06
2014-04-05,1.09611e+06
2014-04-06,1.05282e+06
2014-04-07,1.14501e+06
2014-04-08,1.14787e+06
2014-04-09,1.17954e+06
2014-04-10,1.19039e+06
2014-04-11,1.1494e+06
2014-04-12,1.05749e+06
2014-04-13,1.03151e+06
2014-04-14,1.13131e+06
2014-04-15,1.13461e+06
2014-04-16,1.127e+06
2014-04-17,1.08495e+06
2014-04-18,1.00776e+06
2014-04-19,968186
2014-04-20,914653
2014-04-21,931135
2014-04-22,1.02438e+06
2014-04-23,1.0563e+06
2014-04-24,1.07861e+06
2014-04-25,1.0583e+06
2014-04-26,948969
2014-04-27,916492
2014-04-28,1.02784e+06
2014-04-29,1.04018e+06
2014-04-30,1.06395e+06
2014-05-01,991042
2014-05-02,1.04319e+06
2014-05-03,984761
2014-05-04,971379
2014-05-05,1.0877e+06
2014-05-06,1.09077e+06
2014-05-07,1.10396e+06
2014-05-08,1.10205e+06
2014-05-09,1.07454e+06
2014-05-10,957345
2014-05-11,925680
2014-05-12,1.03723e+06
2014-05-13,1.0404e+06
2014-05-14,1.05004e+06
2014-05-15,1.04806e+06
2014-05-16,988723
2014-05-17,873991
2014-05-18,859915
2014-05-19,972775
2014-05-20,964610
2014-05-21,961830
2014-05-22,964793
2014-05-23,952407
2014-05-24,855307
2014-05-25,843461
2014-05-26,961341
2014-05-27,965908
2014-05-28,985192
2014-05-29,901503
2014-05-30,925579
2014-05-31,859487
2014-06-01,850695
2014-06-02,963754
2014-06-03,969426
2014-06-04,964083
2014-06-05,944493
2014-06-06,898892
2014-06-07,829962
2014-06-08,810877
2014-06-09,900829
2014-06-10,946747
2014-06-11,954332
2014-06-12,952543
2014-06-13,952491
2014-06-14,858493
2014-06-15,841600
2014-06-16,959991
2014-06-17,973065
2014-06-18,957060
2014-06-19,934756
2014-06-20,870224
2014-06-21,824809
2014-06-22,828285
2014-06-23,943818
2014-06-24,950585
2014-06-25,968263
2014-06-26,973090
2014-06-27,954178
2014-06-28,869754
2014-06-29,850878
2014-06-30,957983
2014-07-01,957120
2014-07-02,945956
2014-07-03,939162
2014-07-04,923189
2014-07-05,826183
2014-07-06,806815
2014-07-07,910239
2014-07-08,910061
2014-07-09,900869
2014-07-10,891804
2014-07-11,870609
2014-07-12,802536
2014-07-13,797584
2014-07-14,873762
2014-07-15,863979
2014-07-16,859899
2014-07-17,865329
2014-07-18,861426
2014-07-19,792928
2014-07-20,776900
2014-07-21,855161
2014-07-22,860206
2014-07-23,865486
2014-07-24,865579
2014-07-25,862820
2014-07-26,806942
2014-07-27,786953
2014-07-28,874741
2014-07-29,875591
2014-07-30,880116
2014-07-31,871238
2014-08-01,869683
2014-08-02,806912
2014-08-03,798466
2014-08-04,907529
