Date,Oil,Coal,Gas,Low Carbon
2014-01-01,81.1246,59.7086,28.11,100.32
2014-01-02,78.9135,59.1229,27.59,99.4
2014-01-03,78.3996,58.3101,27.5,99.95
2014-01-04,78.4218,58.4169,27.5,99.8533
2014-01-05,78.4441,58.5239,27.5,99.7567
2014-01-06,78.4664,58.6311,27.5,99.66
2014-01-07,78.6966,58.3535,27.46,100.47
2014-01-08,78.8215,60.2472,27.47,100.48
2014-01-09,78.159,61.7103,27.47,100.11
2014-01-10,78.9357,61.5294,27.41,100.58
2014-01-11,78.6837,61.5019,27.38,100.63
2014-01-12,78.4326,61.4745,27.35,100.68
2014-01-13,78.1822,61.4472,27.32,100.73
2014-01-14,77.8444,61.3156,27.24,101.02
2014-01-15,78.7373,62.0315,27.16,101.93
2014-01-16,78.76,62.1461,27.13,101.78
2014-01-17,78.3863,62.0951,27.09,102.13
2014-01-18,78.3891,62.0366,27.08,102.103
2014-01-19,78.3918,61.9781,27.07,102.077
2014-01-20,78.3945,61.9195,27.06,102.05
2014-01-21,78.9073,61.9548,27.04,102.3
2014-01-22,79.8098,61.4404,27.02,102.4
2014-01-23,78.8768,61.0382,27,101.49
2014-01-24,78.8193,60.8607,26.98,98.96
2014-01-25,78.585,60.9037,26.9667,98.61
2014-01-26,78.3504,60.9468,26.9533,98.26
2014-01-27,78.1154,60.9899,26.94,97.91
2014-01-28,78.6944,61.0301,26.89,98.64
2014-01-29,79.2549,61.1772,26.85,97.98
2014-01-30,79.527,61.2936,26.79,98.32
2014-01-31,78.7215,61.5567,25.27,97.93
2014-02-01,78.6677,60.7081,25.2067,97.5033
2014-02-02,78.6137,59.8588,25.1433,97.0767
2014-02-03,78.5598,59.0087,25.08,96.65
2014-02-04,78.2454,58.7691,25.08,96.58
2014-02-05,78.4538,59.1819,25.08,96.71
2014-02-06,79.4294,59.3183,25.08,98.07
2014-02-07,80.7205,58.4942,25.08,98.83
2014-02-08,80.3634,58.3166,25.08,98.87
2014-02-09,80.0073,58.1395,25.08,98.91
2014-02-10,79.6524,57.963,25.08,98.95
2014-02-11,79.4677,57.9848,25.08,100.28
2014-02-12,80.1518,58.4985,25.08,100.74
2014-02-13,79.5101,57.8793,24.87,100.73
2014-02-14,79.5798,57.8537,24.76,101.41
2014-02-15,79.6196,57.7433,24.76,101.483
2014-02-16,79.6594,57.6329,24.76,101.557
2014-02-17,79.6992,57.5224,24.76,101.63
2014-02-18,80.4457,57.2791,24.73,101.74
2014-02-19,80.371,56.6024,24.68,101.81
2014-02-20,80.4757,56.5811,24.64,101.8
2014-02-21,80.1415,56.4675,24.56,102.08
2014-02-22,80.279,56.3683,24.57,102.367
2014-02-23,80.4163,56.2693,24.58,102.653
2014-02-24,80.5533,56.1704,24.59,102.94
2014-02-25,79.6205,56.0564,24.59,103.02
2014-02-26,79.7902,56.1708,24.59,102.81
2014-02-27,79.7891,56.4587,24.59,102.61
2014-02-28,78.9618,55.817,24.59,102.87
2014-03-01,79.5623,55.2012,24.59,102.053
2014-03-02,80.164,54.5841,24.59,101.237
2014-03-03,80.767,53.9657,24.59,100.42
2014-03-04,79.387,53.2031,24.59,102.45
2014-03-05,78.4736,53.2697,24.59,102.51
2014-03-06,78.6468,53.6559,24.59,102.52
2014-03-07,78.4511,53.0445,24.17,101.2
2014-03-08,78.2548,53.037,24.1433,101.107
2014-03-09,78.0584,53.0296,24.1167,101.013
2014-03-10,77.8618,53.0221,24.09,100.92
2014-03-11,78.3755,53.9711,24.15,100.81
2014-03-12,77.785,54.2594,23.09,99.86
2014-03-13,77.0263,54.1171,24.06,98.77
2014-03-14,78.1979,54.4872,24.04,98.27
2014-03-15,77.5975,54.5184,24.0333,98.63
2014-03-16,76.9978,54.5496,24.0267,98.99
2014-03-17,76.3987,54.5808,24.02,99.35
2014-03-18,76.8163,54.3087,23.99,100.02
2014-03-19,76.0799,54.1939,23.94,100.1
2014-03-20,77.3507,54.6432,23.88,100.39
2014-03-21,77.5907,54.717,23.83,100.64
2014-03-22,77.5754,54.7128,23.8033,100.217
2014-03-23,77.56,54.7087,23.7767,99.7933
2014-03-24,77.5446,54.7045,23.75,99.37
2014-03-25,77.5908,54.4637,23.67,100.74
2014-03-26,77.6086,54.4558,23.61,101.14
2014-03-27,78.3762,54.5864,23.54,101.29
2014-03-28,78.545,54.6551,23.54,102.05
2014-03-29,78.4148,55.1857,22.8667,101.977
2014-03-30,78.2847,55.7155,22.1933,101.903
2014-03-31,78.1549,56.2446,21.52,101.83
2014-04-01,76.5917,55.8738,21.37,102.48
2014-04-02,75.9623,55.2012,21.01,102.58
2014-04-03,77.0823,55.5152,20.84,102.84
2014-04-04,77.8978,55.6204,20.76,103.41
2014-04-05,77.6354,55.6988,20.8,102.96
2014-04-06,77.3733,55.777,20.84,102.51
2014-04-07,77.1114,55.8551,20.88,102.06
2014-04-08,78.169,55.2127,20.91,101.76
2014-04-09,78.2804,55.0964,20.99,102.07
2014-04-10,77.4933,55.3833,21.01,101.37
2014-04-11,77.3717,55.2912,21.09,100
2014-04-12,77.874,55.4112,21.1233,100.193
2014-04-13,78.3774,55.5315,21.1567,100.387
2014-04-14,78.8819,55.652,21.19,100.58
2014-04-15,78.78,55.9661,21.26,99.55
2014-04-16,79.1908,55.9971,21.32,100.97
2014-04-17,79.0545,55.4673,21.32,101.37
2014-04-18,79.0979,55.4978,21.32,101.37
2014-04-19,79.2425,55.5283,21.32,101.37
2014-04-20,79.3872,55.5588,21.32,101.37
2014-04-21,79.5321,55.5893,21.32,101.37
2014-04-22,79.0837,55.5475,21.29,102.82
2014-04-23,78.8709,55.5515,21.24,102.1
2014-04-24,79.8336,55.5716,21.19,102.51
