Date,Saltdal,Porsanger,Halden,Åseral,Tovdal,Sirdal,Hemnes,Meråker,Steinkjer,Sunndal,Kåfjord,Sør-Varanger,Orkanger,Tydal,Ålen,Bykle,Rana,Froland,Hattfjelldal,Kongsberg,Trysil,Målselv,Namsskogan,Alta,Seljord,Tana,Modum,Pasvik,Rena,Prec Norway
2014-01-01,0,0.1,0.3,18,11,20.5,2.2,1.3,4,0,0,0,0,1.7,1,8.8,1.7,6.6,0.6,1,7.4,0.5,1.8,0,9.4,0.6,1.1,0,1.6,101.2
2014-01-02,0,0,1.5,17.5,12.5,20,0,0,0,0,0,1,0,0,0,4.4,0,10.4,0,5,0.8,1.1,0,0,11.5,0,5.4,0,0.4,91.5
2014-01-03,0,0,14,19,44.5,33.5,0,0,0,0,0,3,0,0,0,5.9,0,39.9,0,10.8,14.5,0,0,0.2,23.4,4.9,10.9,4.4,13.1,242
2014-01-04,0,0,8.5,30.5,25.5,38,0,0,0,0,0,0.3,0,0,0.3,12,0,27.1,0,13,6.2,0,0,1.3,22,2.6,25.5,0,10.6,223.4
2014-01-05,0,0,1.5,17.8,3.5,31,0,0,0,0,2,0,0,0,0,3.8,0.2,1.3,0,0.3,2.5,0,0,0,3,0,7.3,0,1.3,75.5
2014-01-06,0,0,1.2,23.5,14.5,16.5,0,0,0,0,0,0,0,0,0,9.6,0,11.9,0,6.5,1.5,0.2,0,0,8.9,0,3.2,0.6,0.1,98.2
2014-01-07,0.1,0.6,10,25,20.5,29,0,0,0,0,0,0.5,0,0,0,0,0.3,15.5,1.6,8.9,9.5,0.9,0.1,0.2,21.5,1.7,5.5,0.2,7.7,159.3
2014-01-08,0,4.1,5.5,20.5,7.5,25,0.6,0.1,0,0,0,4,0,0.5,0.6,4.8,0,3,0,0,2.9,0,0,0.7,2.8,5.3,2.5,1,0.1,91.5
2014-01-09,0.5,0,3.5,6.8,1.5,16,0.1,0,0,0,0,0.7,0.1,0,0,5.7,0,0,0,0,0,0.6,0,0.5,0,7.7,0.3,0.1,0,44.1
2014-01-10,0,0.1,11.3,0.1,2,1,0.1,2.5,2,0,0,0.1,0.6,0.9,0.2,0,0.3,2.3,3.5,0,0.2,0.5,7.4,0.2,0,0.9,0.1,0.1,0,36.4
2014-01-11,0,0,0,0.1,0,5,0,1.6,0,0,0,0,0,2.1,2.4,5.3,0,0,0.2,0,3.3,0.1,0,0,0,0.3,0.6,0,3,24
2014-01-12,0,1.5,1.5,3.4,1.5,14,0,0.1,0,0,0,0.3,0.1,1.2,0,3.9,0,0,0,2.5,3.7,0.1,0,0,3.5,0.2,1.5,0.7,2.7,42.4
2014-01-13,0,1.5,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,3.5,0,0,0,0,0,0.2,0.2,1.2,0,0.5,0,0.2,0,7.9
