Date,Supply
2014-01-01,1.07651e+06
2014-01-02,1.24537e+06
2014-01-03,1.22996e+06
2014-01-04,1.18011e+06
2014-01-05,1.13863e+06
2014-01-06,1.20897e+06
2014-01-07,1.27156e+06
2014-01-08,1.27734e+06
2014-01-09,1.3007e+06
2014-01-10,1.36268e+06
2014-01-11,1.29036e+06
2014-01-12,1.31631e+06
2014-01-13,1.54962e+06
2014-01-14,1.54981e+06
2014-01-15,1.54062e+06
2014-01-16,1.53136e+06
2014-01-17,1.55835e+06
2014-01-18,1.44308e+06
2014-01-19,1.40818e+06
2014-01-20,1.56771e+06
2014-01-21,1.57103e+06
2014-01-22,1.5761e+06
2014-01-23,1.59567e+06
2014-01-24,1.56709e+06
2014-01-25,1.42379e+06
2014-01-26,1.3659e+06
2014-01-27,1.53235e+06
2014-01-28,1.52837e+06
2014-01-29,1.53725e+06
2014-01-30,1.57414e+06
2014-01-31,1.56018e+06
2014-02-01,1.36907e+06
2014-02-02,1.28309e+06
2014-02-03,1.41218e+06
2014-02-04,1.42032e+06
2014-02-05,1.3958e+06
2014-02-06,1.3927e+06
2014-02-07,1.36483e+06
2014-02-08,1.22218e+06
2014-02-09,1.18845e+06
2014-02-10,1.36024e+06
2014-02-11,1.35739e+06
2014-02-12,1.36161e+06
2014-02-13,1.37703e+06
2014-02-14,1.34024e+06
2014-02-15,1.23442e+06
2014-02-16,1.20445e+06
2014-02-17,1.34983e+06
2014-02-18,1.38866e+06
2014-02-19,1.40349e+06
2014-02-20,1.39691e+06
2014-02-21,1.38224e+06
2014-02-22,1.22519e+06
2014-02-23,1.1464e+06
2014-02-24,1.269e+06
2014-02-25,1.29397e+06
2014-02-26,1.3485e+06
2014-02-27,1.35426e+06
2014-02-28,1.33295e+06
2014-03-01,1.23942e+06
2014-03-02,1.2068e+06
2014-03-03,1.29748e+06
2014-03-04,1.33925e+06
2014-03-05,1.34242e+06
2014-03-06,1.31786e+06
2014-03-07,1.28672e+06
2014-03-08,1.17589e+06
2014-03-09,1.08371e+06
