Date,Hour,T Hamar,T Krsand,T Namsos,T Troms,T Bergen,T Nor
2014-01-01,0,2.7,6,2.9,-4,6,4.4
2014-01-01,1,2.65833,6.01667,2.95417,-4,6.06667,4.34917
2014-01-01,2,2.61667,6.03333,3.00833,-4,6.13333,4.29833
2014-01-01,3,2.575,6.05,3.0625,-4,6.2,4.2475
2014-01-01,4,2.53333,6.06667,3.11667,-4,6.26667,4.19667
2014-01-01,5,2.49167,6.08333,3.17083,-4,6.33333,4.14583
2014-01-01,6,2.45,6.1,3.225,-4,6.4,4.095
2014-01-01,7,2.40833,6.11667,3.27917,-4,6.46667,4.04417
2014-01-01,8,2.36667,6.13333,3.33333,-4,6.53333,3.99333
2014-01-01,9,2.325,6.15,3.3875,-4,6.6,3.9425
2014-01-01,10,2.28333,6.16667,3.44167,-4,6.66667,3.89167
2014-01-01,11,2.24167,6.18333,3.49583,-4,6.73333,3.84083
2014-01-01,12,2.2,6.2,3.55,-4,6.8,3.79
2014-01-01,13,2.15833,6.21667,3.60417,-4,6.86667,3.73917
2014-01-01,14,2.11667,6.23333,3.65833,-4,6.93333,3.68833
2014-01-01,15,2.075,6.25,3.7125,-4,7,3.6375
2014-01-01,16,2.03333,6.26667,3.76667,-4,7.06667,3.58667
2014-01-01,17,1.99167,6.28333,3.82083,-4,7.13333,3.53583
2014-01-01,18,1.95,6.3,3.875,-4,7.2,3.485
2014-01-01,19,1.90833,6.31667,3.92917,-4,7.26667,3.43417
2014-01-01,20,1.86667,6.33333,3.98333,-4,7.33333,3.38333
2014-01-01,21,1.825,6.35,4.0375,-4,7.4,3.3325
2014-01-01,22,1.78333,6.36667,4.09167,-4,7.46667,3.28167
2014-01-01,23,1.74167,6.38333,4.14583,-4,7.53333,3.23083
2014-01-02,0,1.7,6.4,4.2,-4,7.6,3.18
2014-01-02,1,1.7125,6.4125,4.225,-3.89583,7.57917,3.20667
2014-01-02,2,1.725,6.425,4.25,-3.79167,7.55833,3.23333
2014-01-02,3,1.7375,6.4375,4.275,-3.6875,7.5375,3.26
2014-01-02,4,1.75,6.45,4.3,-3.58333,7.51667,3.28667
2014-01-02,5,1.7625,6.4625,4.325,-3.47917,7.49583,3.31333
2014-01-02,6,1.775,6.475,4.35,-3.375,7.475,3.34
2014-01-02,7,1.7875,6.4875,4.375,-3.27083,7.45417,3.36667
2014-01-02,8,1.8,6.5,4.4,-3.16667,7.43333,3.39333
2014-01-02,9,1.8125,6.5125,4.425,-3.0625,7.4125,3.42
2014-01-02,10,1.825,6.525,4.45,-2.95833,7.39167,3.44667
2014-01-02,11,1.8375,6.5375,4.475,-2.85417,7.37083,3.47333
2014-01-02,12,1.85,6.55,4.5,-2.75,7.35,3.5
2014-01-02,13,1.8625,6.5625,4.525,-2.64583,7.32917,3.52667
2014-01-02,14,1.875,6.575,4.55,-2.54167,7.30833,3.55333
2014-01-02,15,1.8875,6.5875,4.575,-2.4375,7.2875,3.58
2014-01-02,16,1.9,6.6,4.6,-2.33333,7.26667,3.60667
2014-01-02,17,1.9125,6.6125,4.625,-2.22917,7.24583,3.63333
2014-01-02,18,1.925,6.625,4.65,-2.125,7.225,3.66
2014-01-02,19,1.9375,6.6375,4.675,-2.02083,7.20417,3.68667
2014-01-02,20,1.95,6.65,4.7,-1.91667,7.18333,3.71333
2014-01-02,21,1.9625,6.6625,4.725,-1.8125,7.1625,3.74
2014-01-02,22,1.975,6.675,4.75,-1.70833,7.14167,3.76667
2014-01-02,23,1.9875,6.6875,4.775,-1.60417,7.12083,3.79333
2014-01-03,0,2,6.7,4.8,-1.5,7.1,3.82
2014-01-03,1,2.0625,6.69583,4.79583,-1.52917,7.06667,3.81833
2014-01-03,2,2.125,6.69167,4.79167,-1.55833,7.03333,3.81667
2014-01-03,3,2.1875,6.6875,4.7875,-1.5875,7,3.815
2014-01-03,4,2.25,6.68333,4.78333,-1.61667,6.96667,3.81333
2014-01-03,5,2.3125,6.67917,4.77917,-1.64583,6.93333,3.81167
2014-01-03,6,2.375,6.675,4.775,-1.675,6.9,3.81
2014-01-03,7,2.4375,6.67083,4.77083,-1.70417,6.86667,3.80833
2014-01-03,8,2.5,6.66667,4.76667,-1.73333,6.83333,3.80667
2014-01-03,9,2.5625,6.6625,4.7625,-1.7625,6.8,3.805
2014-01-03,10,2.625,6.65833,4.75833,-1.79167,6.76667,3.80333
2014-01-03,11,2.6875,6.65417,4.75417,-1.82083,6.73333,3.80167
2014-01-03,12,2.75,6.65,4.75,-1.85,6.7,3.8
2014-01-03,13,2.8125,6.64583,4.74583,-1.87917,6.66667,3.79833
2014-01-03,14,2.875,6.64167,4.74167,-1.90833,6.63333,3.79667
2014-01-03,15,2.9375,6.6375,4.7375,-1.9375,6.6,3.795
2014-01-03,16,3,6.63333,4.73333,-1.96667,6.56667,3.79333
2014-01-03,17,3.0625,6.62917,4.72917,-1.99583,6.53333,3.79167
2014-01-03,18,3.125,6.625,4.725,-2.025,6.5,3.79
