Date,Wind DK
2014-01-01,46140
2014-01-02,61848
2014-01-03,62126
2014-01-04,64573
2014-01-05,31325
2014-01-06,72747
2014-01-07,82434
2014-01-08,73103
2014-01-09,62921
2014-01-10,71808
2014-01-11,65004
2014-01-12,60680
2014-01-13,48078
2014-01-14,7364
2014-01-15,40358
2014-01-16,85056
2014-01-17,60346
2014-01-18,79190
2014-01-19,105257
2014-01-20,86418
2014-01-21,48979
2014-01-22,72837
2014-01-23,85444
2014-01-24,79390
2014-01-25,83711
2014-01-26,84494
2014-01-27,73240
2014-01-28,69206
2014-01-29,72517
2014-01-30,56737
2014-01-31,40248
2014-02-01,65639
2014-02-02,54138
2014-02-03,24727
2014-02-04,32180
2014-02-05,38103
2014-02-06,61418
2014-02-07,72777
2014-02-08,72235
2014-02-09,83179
2014-02-10,40805
2014-02-11,21324
2014-02-12,57091
2014-02-13,70130
2014-02-14,47727
2014-02-15,98668
2014-02-16,92248
2014-02-17,51572
2014-02-18,28007
2014-02-19,9511
2014-02-20,38633
2014-02-21,39513
2014-02-22,74612
2014-02-23,80468
2014-02-24,64318
2014-02-25,39908
2014-02-26,17613
2014-02-27,28770
2014-02-28,14217
2014-03-01,4438
2014-03-02,33973
2014-03-03,59640
2014-03-04,11157
2014-03-05,4195
2014-03-06,40551
2014-03-07,79852
2014-03-08,38991
2014-03-09,61259
2014-03-10,27943
2014-03-11,7025
2014-03-12,10361
2014-03-13,22977
2014-03-14,55905
2014-03-15,92367
2014-03-16,85488
2014-03-17,85029
2014-03-18,54911
2014-03-19,73050
2014-03-20,87581
2014-03-21,56290
2014-03-22,48187
2014-03-23,22591
2014-03-24,3165
2014-03-25,26880
2014-03-26,56048
2014-03-27,18773
2014-03-28,19354
2014-03-29,13121
2014-03-30,1676
2014-03-31,4398
2014-04-01,21167
2014-04-02,32955
2014-04-03,24479
2014-04-04,64202
2014-04-05,28368
2014-04-06,28738
2014-04-07,26699
2014-04-08,59567
2014-04-09,70829
2014-04-10,5994
2014-04-11,10236
2014-04-12,37465
2014-04-13,78318
2014-04-14,72085
2014-04-15,48703
2014-04-16,9275
2014-04-17,65265
2014-04-18,39668
2014-04-19,12307
2014-04-20,36575
2014-04-21,44360
2014-04-22,34957
2014-04-23,29220
2014-04-24,31415
2014-04-25,24232
2014-04-26,28238
2014-04-27,25503
2014-04-28,7417
2014-04-29,5551
2014-04-30,12500
2014-05-01,30890
2014-05-02,10630
2014-05-03,34371
2014-05-04,21167
2014-05-05,5397
2014-05-06,37537
2014-05-07,10219
2014-05-08,21805
2014-05-09,7187
2014-05-10,18437
2014-05-11,31904
2014-05-12,26257
2014-05-13,46650
2014-05-14,34505
2014-05-15,6948
2014-05-16,6587
2014-05-17,3001
2014-05-18,7452
2014-05-19,5102
2014-05-20,6240
2014-05-21,20158
2014-05-22,30293
2014-05-23,11798
2014-05-24,7856
2014-05-25,6708
2014-05-26,7507
2014-05-27,52176
2014-05-28,58264
2014-05-29,18908
2014-05-30,28471
2014-05-31,41772
2014-06-01,4142
2014-06-02,2546
2014-06-03,4652
2014-06-04,12790
2014-06-05,23635
2014-06-06,28171
2014-06-07,3739
2014-06-08,8475
2014-06-09,6625
2014-06-10,17019
2014-06-11,11163
2014-06-12,38532
2014-06-13,53795
2014-06-14,19206
2014-06-15,9368
2014-06-16,23123
2014-06-17,11723
2014-06-18,21620
2014-06-19,74008
2014-06-20,48505
2014-06-21,60653
2014-06-22,61190
2014-06-23,44062
2014-06-24,6380
2014-06-25,3858
2014-06-26,3239
2014-06-27,5999
2014-06-28,5073
2014-06-29,12085
2014-06-30,16722
2014-07-01,11704
2014-07-02,26590
2014-07-03,46074
2014-07-04,18904
2014-07-05,19758
2014-07-06,15152
2014-07-07,19077
2014-07-08,23148
2014-07-09,47787
2014-07-10,29467
2014-07-11,17204
2014-07-12,5263
2014-07-13,12914
2014-07-14,40886
2014-07-15,28619
2014-07-16,12359
2014-07-17,3910
2014-07-18,2541
2014-07-19,17588
2014-07-20,39058
2014-07-21,26896
2014-07-22,13032
2014-07-23,9938
2014-07-24,10102
2014-07-25,16952
2014-07-26,12024
2014-07-27,4183
2014-07-28,5010
2014-07-29,7238
2014-07-30,13056
2014-07-31,27918
2014-08-01,13863
2014-08-02,40580
2014-08-03,11340
2014-08-04,7320
2014-08-05,5353
2014-08-06,9981
2014-08-07,11931
2014-08-08,3490
2014-08-09,58500
2014-08-10,47935
2014-08-11,70329
2014-08-12,50635
2014-08-13,37375
2014-08-14,37084
2014-08-15,22642
2014-08-16,55339
2014-08-17,54223
2014-08-18,57804
2014-08-19,77438
2014-08-20,73220
2014-08-21,40808
2014-08-22,34509
2014-08-23,35918
2014-08-24,59021
2014-08-25,33094
2014-08-26,8335
2014-08-27,9144
2014-08-28,5627
2014-08-29,17626
2014-08-30,16696
2014-08-31,15454
2014-09-01,13982
2014-09-02,5526
2014-09-03,6974
2014-09-04,15375
2014-09-05,9854
2014-09-06,13310
2014-09-07,5806
2014-09-08,36238
2014-09-09,49988
2014-09-10,26388
2014-09-11,10106
2014-09-12,5734
2014-09-13,15808
2014-09-14,39208
2014-09-15,52893
2014-09-16,40659
2014-09-17,31070
2014-09-18,29830
2014-09-19,14405
2014-09-20,2289
2014-09-21,39550
2014-09-22,56401
2014-09-23,9512
2014-09-24,27953
2014-09-25,45869
2014-09-26,50163
2014-09-27,49436
2014-09-28,24930
2014-09-29,3632
2014-09-30,11537
2014-10-01,9313
2014-10-02,4604
2014-10-03,7451
2014-10-04,39092
2014-10-05,26320
2014-10-06,67390
2014-10-07,74716
2014-10-08,54428
2014-10-09,53720
2014-10-10,53678
2014-10-11,11612
2014-10-12,12408
2014-10-13,18209
2014-10-14,22360
2014-10-15,25032
2014-10-16,10923
2014-10-17,11456
2014-10-18,40194
2014-10-19,60523
2014-10-20,66497
2014-10-21,36043
2014-10-22,24823
2014-10-23,27138
2014-10-24,63363
2014-10-25,36744
2014-10-26,71857
2014-10-27,74527
2014-10-28,61271
2014-10-29,29725
2014-10-30,7051
2014-10-31,17754
2014-11-01,33051
2014-11-02,56106
2014-11-03,65158
2014-11-04,25980
2014-11-05,18893
2014-11-06,18879
2014-11-07,36768
2014-11-08,45473
2014-11-09,40554
2014-11-10,22299
2014-11-11,28203
2014-11-12,60766
2014-11-13,19187
2014-11-14,48450
2014-11-15,84948
2014-11-16,86796
2014-11-17,42267
2014-11-18,40616
2014-11-19,24085
2014-11-20,2727
2014-11-21,1623
2014-11-22,28252
2014-11-23,54521
2014-11-24,48996
2014-11-25,12574
2014-11-26,20500
2014-11-27,54886
2014-11-28,73157
2014-11-29,56382
2014-11-30,55307
2014-12-01,57040
2014-12-02,14479
2014-12-03,3299
2014-12-04,16718
2014-12-05,18096
2014-12-06,25295
2014-12-07,69006
2014-12-08,32474
2014-12-09,40142
2014-12-10,85607
2014-12-11,67604
2014-12-12,55739
2014-12-13,63771
2014-12-14,72220
2014-12-15,65171
2014-12-16,54157
2014-12-17,37209
2014-12-18,61227
2014-12-19,76979
2014-12-20,86714
2014-12-21,71865
2014-12-22,74033
2014-12-23,56893
2014-12-24,40555
2014-12-25,36246
2014-12-26,11546
2014-12-27,11232
2014-12-28,15975
2014-12-29,19378
2014-12-30,36502
2014-12-31,47682
2015-01-01,85629
2015-01-02,96217
2015-01-03,77905
2015-01-04,61146
2015-01-05,20468
2015-01-06,42504
2015-01-07,52113
2015-01-08,73332
2015-01-09,85866
2015-01-10,64497
2015-01-11,81930
2015-01-12,89776
2015-01-13,48291
2015-01-14,54800
2015-01-15,87305
2015-01-16,81541
2015-01-17,55883
2015-01-18,23781
2015-01-19,8087
2015-01-20,12000
2015-01-21,2951
2015-01-22,1288
2015-01-23,16533
2015-01-24,53577
2015-01-25,19391
2015-01-26,49121
2015-01-27,43183
2015-01-28,77512
2015-01-29,56866
2015-01-30,7403
2015-01-31,15493
2015-02-01,31526
2015-02-02,22439
2015-02-03,20332
2015-02-04,16786
2015-02-05,7709
2015-02-06,23260
2015-02-07,87090
2015-02-08,72549
2015-02-09,68248
2015-02-10,56140
2015-02-11,17884
2015-02-12,8693
2015-02-13,15618
2015-02-14,29726
2015-02-15,73833
2015-02-16,65642
2015-02-17,27761
2015-02-18,78232
2015-02-19,84161
2015-02-20,54420
2015-02-21,14478
2015-02-22,42177
2015-02-23,64008
2015-02-24,64301
2015-02-25,25418
2015-02-26,46345
2015-02-27,13158
2015-02-28,45779
2015-03-01,74039
2015-03-02,46875
2015-03-03,39410
2015-03-04,28936
2015-03-05,26728
2015-03-06,38544
2015-03-07,76348
2015-03-08,60645
2015-03-09,19249
2015-03-10,63299
2015-03-11,27547
2015-03-12,6062
2015-03-13,26081
2015-03-14,38287
2015-03-15,43097
2015-03-16,61167
2015-03-17,37122
2015-03-18,15403
2015-03-19,5053
2015-03-20,17358
2015-03-21,42591
2015-03-22,17195
2015-03-23,44397
2015-03-24,3125
2015-03-25,33333
2015-03-26,23415
2015-03-27,8103
2015-03-28,44746
2015-03-29,33700
2015-03-30,72978
2015-03-31,50775
2015-04-01,81019
2015-04-02,57032
2015-04-03,27450
2015-04-04,14172
2015-04-05,13170
2015-04-06,6836
2015-04-07,51862
2015-04-08,29421
2015-04-09,8774
2015-04-10,4561
2015-04-11,41685
2015-04-12,72868
2015-04-13,81418
2015-04-14,55612
2015-04-15,65601
2015-04-16,73075
2015-04-17,40076
2015-04-18,12709
2015-04-19,16154
2015-04-20,18863
2015-04-21,51145
2015-04-22,18958
2015-04-23,50728
2015-04-24,20938
2015-04-25,35436
2015-04-26,12022
2015-04-27,19976
2015-04-28,19855
2015-04-29,40366
2015-04-30,19942
2015-05-01,4950
2015-05-02,13647
2015-05-03,33981
2015-05-04,36998
2015-05-05,58045
2015-05-06,57591
2015-05-07,69560
2015-05-08,15183
2015-05-09,45587
2015-05-10,51490
2015-05-11,53754
2015-05-12,39157
2015-05-13,77032
2015-05-14,16514
2015-05-15,8124
2015-05-16,46247
2015-05-17,75677
2015-05-18,31180
2015-05-19,45003
2015-05-20,17730
2015-05-21,10947
2015-05-22,36513
2015-05-23,39249
2015-05-24,26662
2015-05-25,14386
2015-05-26,48544
2015-05-27,48810
2015-05-28,52108
2015-05-29,34073
2015-05-30,65020
2015-05-31,58196
2015-06-01,59766
2015-06-02,74919
2015-06-03,80292
2015-06-04,21007
2015-06-05,27228
2015-06-06,49875
2015-06-07,58306
2015-06-08,29532
2015-06-09,5078
2015-06-10,24020
2015-06-11,16932
2015-06-12,2567
2015-06-13,9495
2015-06-14,53411
2015-06-15,48747
2015-06-16,29002
2015-06-17,40356
2015-06-18,54498
2015-06-19,43313
2015-06-20,23962
2015-06-21,9968
2015-06-22,10318
2015-06-23,12378
2015-06-24,64801
2015-06-25,35543
2015-06-26,8342
2015-06-27,12596
2015-06-28,18804
2015-06-29,17848
2015-06-30,12694
2015-07-01,10981
2015-07-02,49578
2015-07-03,13017
2015-07-04,5034
2015-07-05,4490
2015-07-06,62620
2015-07-07,22228
2015-07-08,62087
2015-07-09,85912
2015-07-10,71783
2015-07-11,5355
2015-07-12,8483
2015-07-13,9881
2015-07-14,22348
2015-07-15,44991
2015-07-16,24710
2015-07-17,24721
2015-07-18,53477
2015-07-19,20461
2015-07-20,16889
2015-07-21,45083
2015-07-22,17366
2015-07-23,41517
2015-07-24,9405
2015-07-25,45388
2015-07-26,71511
2015-07-27,23216
2015-07-28,23265
2015-07-29,45217
2015-07-30,40134
2015-07-31,65808
2015-08-01,10408
2015-08-02,9041
2015-08-03,26815
2015-08-04,26682
2015-08-05,11679
2015-08-06,15606
2015-08-07,6834
2015-08-08,12519
2015-08-09,5604
2015-08-10,6276
2015-08-11,7333
2015-08-12,12488
2015-08-13,10600
2015-08-14,64621
2015-08-15,20468
2015-08-16,17216
2015-08-17,62468
2015-08-18,71180
2015-08-19,32282
2015-08-20,12084
2015-08-21,15902
2015-08-22,18030
2015-08-23,42004
2015-08-24,49758
2015-08-25,51429
2015-08-26,45191
2015-08-27,44033
2015-08-28,31568
2015-08-29,24079
2015-08-30,2669
2015-08-31,15573
2015-09-01,33817
2015-09-02,65392
2015-09-03,38611
2015-09-04,19810
2015-09-05,57144
2015-09-06,61464
2015-09-07,18910
2015-09-08,12874
2015-09-09,3393
2015-09-10,11123
2015-09-11,44305
2015-09-12,43796
2015-09-13,42029
2015-09-14,44793
2015-09-15,48467
2015-09-16,39289
2015-09-17,73505
2015-09-18,62863
2015-09-19,28700
2015-09-20,34897
2015-09-21,9753
2015-09-22,26251
2015-09-23,4578
2015-09-24,37596
2015-09-25,32733
2015-09-26,26606
2015-09-27,11541
2015-09-28,2019
2015-09-29,803
2015-09-30,11111
2015-10-01,34228
2015-10-02,33076
2015-10-03,5551
2015-10-04,754
2015-10-05,11146
2015-10-06,73560
2015-10-07,78423
2015-10-08,43175
2015-10-09,22622
2015-10-10,20670
2015-10-11,21178
2015-10-12,22642
2015-10-13,30125
2015-10-14,40244
2015-10-15,48603
2015-10-16,34686
2015-10-17,14430
2015-10-18,8971
2015-10-19,2424
2015-10-20,2563
2015-10-21,28836
2015-10-22,59769
2015-10-23,54097
2015-10-24,34256
2015-10-25,41127
2015-10-26,9902
2015-10-27,23312
2015-10-28,52158
2015-10-29,11352
2015-10-30,11749
2015-10-31,20339
2015-11-01,6120
2015-11-02,5031
2015-11-03,1945
2015-11-04,3831
2015-11-05,8096
2015-11-06,13883
2015-11-07,41719
2015-11-08,43741
2015-11-09,70124
2015-11-10,63721
2015-11-11,44323
2015-11-12,49676
2015-11-13,59984
2015-11-14,59081
2015-11-15,7299
2015-11-16,43351
2015-11-17,27103
2015-11-18,54337
2015-11-19,52986
2015-11-20,14758
2015-11-21,21157
2015-11-22,45608
2015-11-23,20327
2015-11-24,65797
2015-11-25,18122
2015-11-26,17848
2015-11-27,68880
2015-11-28,62172
2015-11-29,71493
2015-11-30,66428
2015-12-01,46270
2015-12-02,47633
2015-12-03,34552
2015-12-04,82916
2015-12-05,85642
2015-12-06,88079
2015-12-07,26513
2015-12-08,44405
2015-12-09,57421
2015-12-10,82753
2015-12-11,55356
2015-12-12,33949
2015-12-13,18204
2015-12-14,14437
2015-12-15,14122
2015-12-16,33979
2015-12-17,39885
2015-12-18,60585
2015-12-19,67292
2015-12-20,72775
2015-12-21,73505
2015-12-22,78783
2015-12-23,75328
2015-12-24,69442
2015-12-25,72565
2015-12-26,24818
2015-12-27,74045
2015-12-28,38657
2015-12-29,83088
2015-12-30,76929
2015-12-31,65729
2016-01-01,14807
2016-01-02,83031
2016-01-03,90754
2016-01-04,80579
2016-01-05,62110
2016-01-06,42154
2016-01-07,66349
2016-01-08,50181
2016-01-09,23473
2016-01-10,50815
2016-01-11,15141
2016-01-12,23770
2016-01-13,16152
2016-01-14,22214
2016-01-15,13680
2016-01-16,8543
2016-01-17,8688
2016-01-18,26480
2016-01-19,35231
2016-01-20,6101
2016-01-21,10095
2016-01-22,35010
2016-01-23,18013
2016-01-24,34379
2016-01-25,42364
2016-01-26,78085
2016-01-27,91348
2016-01-28,84673
2016-01-29,92572
2016-01-30,75431
2016-01-31,68128
2016-02-01,64736
2016-02-02,93671
2016-02-03,81269
2016-02-04,58059
2016-02-05,34410
2016-02-06,70892
2016-02-07,75261
2016-02-08,83841
2016-02-09,49903
2016-02-10,13953
2016-02-11,4820
2016-02-12,6359
2016-02-13,9492
2016-02-14,45250
2016-02-15,31951
2016-02-16,14576
2016-02-17,48396
2016-02-18,12133
2016-02-19,19077
2016-02-20,70134
2016-02-21,52515
2016-02-22,65090
2016-02-23,63885
2016-02-24,56882
2016-02-25,23671
2016-02-26,24003
2016-02-27,6574
2016-02-28,2645
2016-02-29,2982
2016-03-01,46998
2016-03-02,36598
2016-03-03,13029
2016-03-04,16802
2016-03-05,41058
2016-03-06,9101
2016-03-07,7898
2016-03-08,6348
2016-03-09,24475
2016-03-10,12380
2016-03-11,3048
2016-03-12,1610
2016-03-13,6231
2016-03-14,7694
2016-03-15,15440
2016-03-16,4809
2016-03-17,19714
2016-03-18,8979
2016-03-19,24706
2016-03-20,37729
2016-03-21,57178
2016-03-22,24440
2016-03-23,22344
2016-03-24,13179
2016-03-25,25916
2016-03-26,44699
2016-03-27,57539
2016-03-28,73919
2016-03-29,54551
2016-03-30,23392
2016-03-31,32775
2016-04-01,13364
2016-04-02,22939
2016-04-03,12135
2016-04-04,17284
2016-04-05,6433
2016-04-06,45213
2016-04-07,55080
2016-04-08,37134
2016-04-09,7359
2016-04-10,22848
2016-04-11,30802
2016-04-12,26123
2016-04-13,7195
2016-04-14,4041
2016-04-15,14484
2016-04-16,31782
2016-04-17,80111
2016-04-18,76305
2016-04-19,92456
2016-04-20,50439
2016-04-21,55456
2016-04-22,45011
2016-04-23,20653
2016-04-24,13485
2016-04-25,17145
2016-04-26,45047
2016-04-27,41886
2016-04-28,15399
2016-04-29,43321
2016-04-30,28145
2016-05-01,3571
2016-05-02,23174
2016-05-03,29147
2016-05-04,9200
2016-05-05,4975
2016-05-06,27208
2016-05-07,44806
2016-05-08,38987
2016-05-09,30963
2016-05-10,19135
2016-05-11,29700
2016-05-12,24222
2016-05-13,20877
2016-05-14,36794
2016-05-15,45425
2016-05-16,57163
2016-05-17,50186
2016-05-18,15871
2016-05-19,3281
2016-05-20,27229
2016-05-21,19511
2016-05-22,27265
2016-05-23,7690
2016-05-24,21237
2016-05-25,29429
2016-05-26,9245
2016-05-27,4643
2016-05-28,9884
2016-05-29,23185
2016-05-30,54423
2016-05-31,37977
2016-06-01,26738
2016-06-02,25062
2016-06-03,11237
2016-06-04,3691
2016-06-05,6413
2016-06-06,18403
2016-06-07,12651
2016-06-08,33679
2016-06-09,19906
2016-06-10,36800
2016-06-11,7673
2016-06-12,10912
2016-06-13,36364
2016-06-14,29874
2016-06-15,4805
2016-06-16,1065
2016-06-17,11034
2016-06-18,48265
2016-06-19,54985
2016-06-20,44427
2016-06-21,13605
2016-06-22,9349
2016-06-23,11707
2016-06-24,12181
2016-06-25,11650
2016-06-26,34257
2016-06-27,39213
2016-06-28,9831
2016-06-29,20123
2016-06-30,27032
2016-07-01,35466
2016-07-02,45426
2016-07-03,41455
2016-07-04,23738
2016-07-05,14323
2016-07-06,71180
2016-07-07,44496
2016-07-08,16654
2016-07-09,33558
2016-07-10,26409
2016-07-11,43900
2016-07-12,38909
2016-07-13,26287
2016-07-14,31903
2016-07-15,54566
2016-07-16,37152
2016-07-17,21270
2016-07-18,19144
2016-07-19,5041
2016-07-20,9060
2016-07-21,17733
2016-07-22,7242
2016-07-23,2684
2016-07-24,3342
2016-07-25,9552
2016-07-26,12887
2016-07-27,16384
2016-07-28,7800
2016-07-29,5661
2016-07-30,15775
2016-07-31,11791
2016-08-01,30969
2016-08-02,10168
2016-08-03,36180
2016-08-04,49721
2016-08-05,25742
2016-08-06,56341
2016-08-07,47710
2016-08-08,73588
2016-08-09,70896
2016-08-10,57152
2016-08-11,26370
2016-08-12,32460
2016-08-13,61843
2016-08-14,38176
2016-08-15,18549
2016-08-16,7505
2016-08-17,7617
2016-08-18,19189
2016-08-19,3064
2016-08-20,17424
2016-08-21,18720
2016-08-22,19660
2016-08-23,7848
2016-08-24,11410
2016-08-25,20120
2016-08-26,33510
2016-08-27,9715
2016-08-28,26581
2016-08-29,59645
2016-08-30,31985
2016-08-31,18690
2016-09-01,20434
2016-09-02,29585
2016-09-03,28024
2016-09-04,12054
2016-09-05,10615
2016-09-06,25070
2016-09-07,12580
2016-09-08,12735
2016-09-09,11413
2016-09-10,20691
2016-09-11,25790
2016-09-12,13540
2016-09-13,17321
2016-09-14,17623
2016-09-15,15069
2016-09-16,27128
2016-09-17,26485
2016-09-18,13736
2016-09-19,2802
2016-09-20,4437
2016-09-21,4344
2016-09-22,8682
2016-09-23,18575
2016-09-24,15787
2016-09-25,34385
2016-09-26,6889
2016-09-27,25697
2016-09-28,76920
2016-09-29,81370
2016-09-30,57463
2016-10-01,10921
2016-10-02,12197
2016-10-03,41355
2016-10-04,35858
2016-10-05,47115
2016-10-06,56115
2016-10-07,42086
2016-10-08,39816
2016-10-09,33402
2016-10-10,34414
2016-10-11,51904
2016-10-12,44701
2016-10-13,47106
2016-10-14,73965
2016-10-15,76963
2016-10-16,32788
2016-10-17,36851
2016-10-18,19845
2016-10-19,22702
2016-10-20,34086
2016-10-21,47308
2016-10-22,44383
2016-10-23,24253
2016-10-24,13316
2016-10-25,4360
2016-10-26,23084
2016-10-27,39071
2016-10-28,77647
2016-10-29,71105
2016-10-30,10872
2016-10-31,11021
2016-11-01,66444
2016-11-02,47332
2016-11-03,11825
2016-11-04,19383
2016-11-05,31702
2016-11-06,64230
2016-11-07,39963
2016-11-08,15566
2016-11-09,25351
2016-11-10,15250
2016-11-11,10698
2016-11-12,24242
2016-11-13,33378
2016-11-14,57624
2016-11-15,51770
2016-11-16,44761
2016-11-17,50031
2016-11-18,66908
2016-11-19,54255
2016-11-20,66435
2016-11-21,34899
2016-11-22,38131
2016-11-23,29551
2016-11-24,19199
2016-11-25,24771
2016-11-26,73246
2016-11-27,46719
2016-11-28,24748
2016-11-29,58883
2016-11-30,71159
2016-12-01,87964
2016-12-02,31666
2016-12-03,14225
2016-12-04,28651
2016-12-05,47311
2016-12-06,9315
2016-12-07,60882
2016-12-08,68543
2016-12-09,53821
