Date,Hour,Wind DK
2014-01-01,0,2054
2014-01-01,1,2126
2014-01-01,2,2129
2014-01-01,3,2162
2014-01-01,4,2131
2014-01-01,5,2112
2014-01-01,6,2057
2014-01-01,7,1962
2014-01-01,8,1843
2014-01-01,9,1691
2014-01-01,10,1689
2014-01-01,11,1635
2014-01-01,12,1587
2014-01-01,13,1559
2014-01-01,14,1439
2014-01-01,15,1342
2014-01-01,16,1360
2014-01-01,17,1480
2014-01-01,18,1801
2014-01-01,19,1987
2014-01-01,20,2198
2014-01-01,21,2403
2014-01-01,22,2591
2014-01-01,23,2802
2014-01-02,0,3029
2014-01-02,1,3113
2014-01-02,2,3293
2014-01-02,3,3019
2014-01-02,4,3384
2014-01-02,5,3423
2014-01-02,6,3400
2014-01-02,7,3339
2014-01-02,8,3306
2014-01-02,9,3238
2014-01-02,10,3137
2014-01-02,11,2974
2014-01-02,12,2811
2014-01-02,13,2646
2014-01-02,14,2406
2014-01-02,15,2210
2014-01-02,16,2014
2014-01-02,17,1895
2014-01-02,18,1692
2014-01-02,19,1576
2014-01-02,20,1590
2014-01-02,21,1541
2014-01-02,22,1396
2014-01-02,23,1416
2014-01-03,0,1553
2014-01-03,1,1415
2014-01-03,2,1416
2014-01-03,3,1384
2014-01-03,4,1466
2014-01-03,5,1510
2014-01-03,6,1841
2014-01-03,7,2163
2014-01-03,8,2368
2014-01-03,9,2612
2014-01-03,10,2960
2014-01-03,11,3153
2014-01-03,12,3348
2014-01-03,13,3455
2014-01-03,14,3492
2014-01-03,15,3440
2014-01-03,16,3438
2014-01-03,17,3429
2014-01-03,18,3339
2014-01-03,19,3032
2014-01-03,20,2805
2014-01-03,21,2731
2014-01-03,22,2822
2014-01-03,23,2954
2014-01-04,0,2997
2014-01-04,1,3298
2014-01-04,2,3424
2014-01-04,3,3330
2014-01-04,4,3382
2014-01-04,5,3491
2014-01-04,6,3578
2014-01-04,7,3535
2014-01-04,8,3418
2014-01-04,9,3315
2014-01-04,10,3133
2014-01-04,11,2896
2014-01-04,12,2556
2014-01-04,13,2180
2014-01-04,14,1799
2014-01-04,15,1686
2014-01-04,16,1857
2014-01-04,17,2012
2014-01-04,18,2169
2014-01-04,19,2197
2014-01-04,20,2187
2014-01-04,21,2126
2014-01-04,22,2015
2014-01-04,23,1992
2014-01-05,0,1975
2014-01-05,1,1808
2014-01-05,2,1732
2014-01-05,3,1726
2014-01-05,4,1578
2014-01-05,5,1473
2014-01-05,6,1288
2014-01-05,7,1102
2014-01-05,8,954
2014-01-05,9,872
2014-01-05,10,799
2014-01-05,11,836
2014-01-05,12,913
2014-01-05,13,829
2014-01-05,14,973
2014-01-05,15,1102
2014-01-05,16,1294
2014-01-05,17,1209
2014-01-05,18,1245
2014-01-05,19,1237
2014-01-05,20,1393
2014-01-05,21,1431
2014-01-05,22,1746
2014-01-05,23,1810
2014-01-06,0,1669
2014-01-06,1,1646
2014-01-06,2,1837
2014-01-06,3,2219
2014-01-06,4,2577
2014-01-06,5,3032
2014-01-06,6,3284
2014-01-06,7,3511
2014-01-06,8,3621
2014-01-06,9,3672
2014-01-06,10,3743
2014-01-06,11,3638
2014-01-06,12,3466
2014-01-06,13,3427
2014-01-06,14,3345
2014-01-06,15,3262
2014-01-06,16,3219
2014-01-06,17,3197
2014-01-06,18,3168
2014-01-06,19,3107
2014-01-06,20,3052
2014-01-06,21,3020
2014-01-06,22,3056
2014-01-06,23,2979
2014-01-07,0,2795
2014-01-07,1,2770
2014-01-07,2,2866
2014-01-07,3,2904
