Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2019,410564,383617,252819,84659,1131658.0,20707,17307,29757,67771.0
02-01-2019,454919,466157,284691,98864,1304636.0,25007,21458,35864,82329.0
03-01-2019,457991,473677,308267,104761,1294453.0,27478,22842,37754,88074.0
04-01-2019,429673,439736,293880,102569,1219124.0,27995,23287,38536,89818.0
05-01-2019,401216,415149,279979,89429,1185774.0,25275,20908,34831,81014.0
06-01-2019,402811,415655,271111,90429,1180010.0,25071,20447,34261,79779.0
07-01-2019,449011,459577,275258,103042,1286891.0,27677,23723,39449,90849.0
08-01-2019,451888,461525,280027,106334,1250039.0,27327,23639,39267,90233.0
09-01-2019,456176,486311,284201,108301,1334991.0,28287,23848,39644,91779.0
10-01-2019,455205,494265,291708,108753,1349936.0,28580,24291,41014,93885.0
11-01-2019,445467,465779,279647,102569,1244226.0,27709,23898,40761,92368.0
12-01-2019,440771,443846,267962,93195,1245778.0,24650,20394,35410,80454.0
13-01-2019,436760,430336,273554,92253,1232909.0,25047,19978,33655,78680.0
14-01-2019,481502,498339,286997,107567,1374408.0,27892,22985,38224,89101.0
15-01-2019,483308,507603,291973,107826,1390718.0,28511,23391,38951,90853.0
16-01-2019,485553,500243,294917,105626,1386346.0,28620,23284,38611,90515.0
17-01-2019,499129,516555,300234,106148,1422070.0,28634,22836,38196,89666.0
18-01-2019,499268,525110,311395,105609,1441381.0,28814,22339,38326,89479.0
19-01-2019,465869,476713,299474,95703,1337763.0,25701,20129,34842,80672.0
20-01-2019,468845,482176,289903,93981,1334912.0,25431,19685,34159,79275.0
21-01-2019,498528,535808,321336,106682,1462356.0,30381,23137,38927,92445.0
22-01-2019,504255,511325,323456,109406,1394234.0,32462,23941,39834,96237.0
23-01-2019,493626,516556,298532,110624,1364703.0,30885,23774,40220,94879.0
24-01-2019,491264,528069,311635,113497,1389598.0,30384,23790,41290,95464.0
25-01-2019,489193,516676,312881,110875,1429627.0,30815,23924,40665,95404.0
26-01-2019,470875,485044,300574,98172,1354667.0,28566,21527,36686,86779.0
27-01-2019,473275,489893,310976,95367,1369513.0,28470,21108,35629,85207.0
28-01-2019,505708,514321,329015,107014,1456062.0,31151,24131,39807,95089.0
29-01-2019,518826,518088,308820,108607,1454352.0,30826,23952,39633,94411.0
30-01-2019,518315,547614,298911,108798,1473639.0,29426,23180,39434,92040.0
31-01-2019,510701,534879,300100,110399,1456083.0,29685,23868,39792,93345.0
01-02-2019,484029,509413,307587,106101,1353932.0,28797,23197,38312,90306.0
02-02-2019,472834,475470,297684,95541,1341533.0,25430,20497,34268,80195.0
03-02-2019,466315,490403,285393,93257,1335375.0,24455,19668,33154,77277.0
04-02-2019,504040,527951,298095,109569,1439659.0,28462,22987,38357,89806.0
05-02-2019,492351,502309,297859,107198,1346438.0,28086,23058,38637,89781.0
06-02-2019,500047,523467,299784,106118,1376402.0,28586,23342,38293,90221.0
07-02-2019,484615,481361,291050,106816,1363851.0,28519,23526,37985,90030.0
08-02-2019,465813,466488,278412,103437,1265623.0,27340,22646,37618,87604.0
09-02-2019,426094,425586,261796,94403,1207885.0,23732,19839,33417,76988.0
10-02-2019,416053,416172,253569,89929,1175727.0,23648,19335,31864,74847.0
11-02-2019,454458,465789,268727,103639,1292618.0,27312,22462,36401,86175.0
12-02-2019,464205,476889,273610,105551,1320267.0,26815,22669,36503,85987.0
13-02-2019,427426,443876,280910,103063,1207584.0,27486,22909,36958,87353.0
14-02-2019,428494,440014,273570,101986,1244073.0,26601,22424,35723,84748.0
15-02-2019,416207,430319,264231,96819,1207581.0,26245,22241,35696,84182.0
16-02-2019,406842,396928,251307,86374,1141458.0,22526,19362,30528,72416.0
17-02-2019,406268,403068,247403,84658,1141402.0,22633,19079,30385,72097.0
18-02-2019,420739,436581,273954,98676,1183860.0,25926,22227,35488,83641.0
19-02-2019,417852,431269,262308,102075,1213509.0,25676,22271,35350,83297.0
20-02-2019,436140,458378,270447,102426,1217844.0,26056,22328,36022,84406.0
21-02-2019,440345,474877,291281,102821,1258479.0,27071,22543,36728,86342.0
22-02-2019,430502,482849,299404,100178,1312931.0,27583,22923,37137,87643.0
23-02-2019,392546,412309,258718,88615,1152189.0,24055,20696,34281,79032.0
24-02-2019,385698,394375,244230,85499,1109802.0,22510,19625,32161,74296.0
25-02-2019,420223,429494,256803,99030,1205558.0,25029,22032,36521,83582.0
26-02-2019,409534,411551,261216,98406,1136341.0,26083,22446,36706,85235.0
27-02-2019,418417,417892,256658,97067,1144801.0,26122,22342,36335,84799.0
28-02-2019,420250,429287,263425,97193,1210160.0,25613,22046,36046,83705.0
01-03-2019,427793,453769,278931,96521,1257019.0,26915,22390,36892,86197.0
02-03-2019,415096,412815,265557,88404,1181874.0,23837,19913,33362,77112.0
