"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Sweden (SE)","01.01.2020 00:00 - 01.01.2020 01:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4284","n/e","7767","1128","n/e","n/e","n/e","n/e","4863"
"Sweden (SE)","01.01.2020 01:00 - 01.01.2020 02:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3731","n/e","7767","1128","n/e","n/e","n/e","n/e","4878"
"Sweden (SE)","01.01.2020 02:00 - 01.01.2020 03:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3663","n/e","7767","1116","n/e","n/e","n/e","n/e","5109"
"Sweden (SE)","01.01.2020 03:00 - 01.01.2020 04:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3620","n/e","7770","1103","n/e","n/e","n/e","n/e","5230"
"Sweden (SE)","01.01.2020 04:00 - 01.01.2020 05:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3725","n/e","7768","1094","n/e","n/e","n/e","n/e","5500"
"Sweden (SE)","01.01.2020 05:00 - 01.01.2020 06:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4028","n/e","7770","1132","n/e","n/e","n/e","n/e","5795"
"Sweden (SE)","01.01.2020 06:00 - 01.01.2020 07:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4120","n/e","7767","1182","n/e","n/e","n/e","n/e","5911"
"Sweden (SE)","01.01.2020 07:00 - 01.01.2020 08:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4482","n/e","7762","1222","n/e","n/e","n/e","n/e","6184"
"Sweden (SE)","01.01.2020 08:00 - 01.01.2020 09:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4693","n/e","7760","1254","n/e","n/e","n/e","n/e","6414"
"Sweden (SE)","01.01.2020 09:00 - 01.01.2020 10:00 (CET)","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4577","n/e","7760","1254","n/e","n/e","n/e","n/e","6510"
