Navn,Område,Nedbørsfelt,Middelvannføring,Sted,Frost sted,Frost kode,Koordinater
Saltdalsvassdraget,163,1 538,55,Saltdalsfjorden,Saltdal,SN81650,67°06′04″N 15°25′16″Ø
Lakselvvassdraget,224,1 539,27,Porsangerfjorden,Porsanger,SN94870,70°04′54″N 24°55′21″Ø
Haldenvassdraget,1,1 584,,Iddefjorden,Halden,SN1400,59°07′07″N 11°22′10″Ø
Mandalsvassdraget,22,1 817,85,Mannefjorden,Åseral,SN41550,58°01′12″N 7°27′22″Ø
Tovdalsvassdraget,20,1 865,,Topdalsfjorden,Tovdal,SN38800,58°11′39″N 8°04′28″Ø
Siravassdraget,26,1 902,130,Åna,Sirdal,SN42810,58°17′27″N 6°26′16″Ø
Røssågavassdraget,155,2 096,,Sørfjorden,Hemnes,SN78370,66°09′40″N 13°47′59″Ø
Stjørdalsvassdraget,124,2 113,78,Trondheimsfjorden,Meråker,SN69420,63°27′N 10°53′Ø
Snåsavassdraget,128,2 144,65,Beitstadfjorden,Steinkjer,SN70820,64°00′43″N 11°28′55″Ø
Drivavassdraget,109,2 488,,Sunndalsfjorden,Sunndal,SN64700,62°40′03″N 08°34′46″Ø
Reisavassdraget,208,2 706,84,Reisafjorden,Kåfjord,SN91500,69°47′02″N 21°00′34″Ø
Neidenvassdraget,244,3 010,,Neidenfjorden,Sør-Varanger,SN99500,69°42′08″N 29°32′20″Ø
Orklavassdraget,121,3 052,67,Orkdalsfjorden,Orkanger,SN66150,63°19′03″N 9°50′18″Ø
Nea-Nidelvvassdraget,123,3 118,94,Trondheimsfjorden,Tydal,SN68840,63°26′40″N 10°24′54″Ø
Gaulavassdraget,122,3 668,97,Gaulosen,Ålen,SN67780,63°20′31″N 10°12′18″Ø
Setesdalsvassdraget,21,3 752,146,Kristiansandsfjorden,Bykle,SN40420,58°08′36″N 8°00′48″Ø
Ranavassdraget,156,3 837,,Ranfjorden,Rana,SN79220,66°20′14″N 14°07′55″Ø
Arendalsvassdraget,19,4 015,114,,Froland,SN38730,58°26′0″N 8°42′39″Ø
Vefsnavassdraget,151,4 231,201,Vefsnfjorden,Hattfjelldal,SN77850,65°50′42″N 13°10′55″Ø
Numedalsvassdraget,15,5 554,111,Larviksfjorden,Kongsberg,SN28380,59°02′15″N 10°03′18″Ø
Trysilvassdraget,311,5 996,84,"Klarälven, Sverige",Trysil,SN100,61°02′48″N 12°35′56″Ø
Målselvvassdraget,196,6 011,171,Målselvfjorden,Målselv,SN89940,69°16′23″N 18°30′54″Ø
Namsenvassdraget,139,6 272,246,Namsenfjorden,Namsskogan,SN74350,64°27′26″N 11°30′18″Ø
Alta-Kautokeinovassdraget,212,8 963,101,Altafjorden,Alta,SN93140,69°58′19″N 23°23′46″Ø
Skiensvassdraget,16,10 772,274,Frierfjorden,Seljord,SN32350,59°08′06″N 9°37′47″Ø
Tanavassdraget,234,16 377,197,Tanafjorden,Tana,SN96850,70°07′12″N 28°34′22″Ø
Drammensvassdraget,12,17 114,314,Drammensfjorden,Modum,SN19930,59°43′54″N 10°14′19″Ø
Pasvikvassdraget,246,18 403,167,Bøkfjorden,Pasvik,SN99460,69°42′28″N 30°06′04″Ø
Glommavassdraget,2,41 917,705,Ytre Oslofjord,Rena,SN7950,59°10′35″N 10°57′20″Ø
