Date,temperature,snow_mass
2014-01-01,0.411083,45.0983
2014-01-02,0.500125,47.4215
2014-01-03,1.35892,49.5863
2014-01-04,1.88958,48.4212
2014-01-05,0.791333,48.1532
2014-01-06,0.751625,49.6186
2014-01-07,3.02767,48.5641
2014-01-08,1.74913,47.7945
2014-01-09,-1.16742,48.1114
2014-01-10,-3.9495,48.8216
2014-01-11,-5.73017,50.3163
2014-01-12,-9.22588,51.6008
2014-01-13,-11.0329,52.3681
2014-01-14,-8.33704,54.7727
2014-01-15,-7.74662,56.0744
2014-01-16,-6.50892,59.7029
2014-01-17,-7.66542,63.462
2014-01-18,-7.64871,65.7219
2014-01-19,-7.23417,66.7863
2014-01-20,-7.84962,67.1505
2014-01-21,-8.6375,67.3581
2014-01-22,-9.52887,67.615
2014-01-23,-8.90792,68.0001
2014-01-24,-9.21612,68.4672
2014-01-25,-7.08567,69.2088
2014-01-26,-8.01304,69.982
2014-01-27,-6.58208,72.0437
2014-01-28,-4.71471,74.7107
2014-01-29,-6.22767,76.0729
2014-01-30,-7.62604,77.816
2014-01-31,-6.97092,79.7028
2014-02-01,-5.99012,80.9319
2014-02-02,-0.401875,80.6685
2014-02-03,0.041375,76.3599
2014-02-04,-1.51033,76.8723
2014-02-05,-3.08425,77.919
2014-02-06,-2.56225,80.306
2014-02-07,-0.983333,82.8477
2014-02-08,-1.84112,86.4269
2014-02-09,0.167833,86.8888
2014-02-10,0.875417,84.4077
2014-02-11,-0.811458,83.1135
2014-02-12,-1.08,85.0812
2014-02-13,-0.585625,88.666
2014-02-14,0.286958,89.4176
2014-02-15,0.360167,92.0976
2014-02-16,0.381833,92.1195
2014-02-17,-1.21329,92.7888
2014-02-18,-3.29688,93.6984
2014-02-19,-5.04812,94.8292
2014-02-20,-4.91096,96.2052
2014-02-21,-1.47962,100.706
2014-02-22,-0.270875,100.263
2014-02-23,1.56696,95.9196
2014-02-24,2.76083,85.0215
2014-02-25,1.74188,79.4921
2014-02-26,0.768833,79.6247
2014-02-27,1.03575,79.1909
2014-02-28,0.493833,79.0611
2014-03-01,-0.470458,81.8537
2014-03-02,-0.874083,84.6149
2014-03-03,-0.427792,86.8083
2014-03-04,-0.283625,86.6531
2014-03-05,0.563792,85.8016
2014-03-06,1.90108,84.6525
2014-03-07,2.21329,81.7695
2014-03-08,1.83229,81.3022
2014-03-09,3.3455,79.4143
2014-03-10,1.70462,77.4421
2014-03-11,1.13992,77.1962
2014-03-12,1.81683,76.1984
2014-03-13,1.21004,75.9431
2014-03-14,1.01858,78.0194
2014-03-15,0.0819167,81.0009
2014-03-16,-0.731583,82.7661
2014-03-17,-0.652792,84.4127
2014-03-18,-1.17813,85.4808
2014-03-19,-1.46458,88.5596
2014-03-20,1.18592,88.8099
2014-03-21,1.72754,86.8163
2014-03-22,1.26258,86.0137
2014-03-23,0.758833,86.8681
2014-03-24,0.566458,86.7421
2014-03-25,-0.0988333,86.0957
2014-03-26,0.364292,85.5396
2014-03-27,1.98354,84.6299
2014-03-28,3.98479,82.7122
2014-03-29,4.71633,80.4228
2014-03-30,3.27175,78.6925
2014-03-31,1.40179,77.7199
2014-04-01,0.95475,77.1799
2014-04-02,1.38042,77.1178
2014-04-03,1.00571,76.9206
2014-04-04,1.78058,76.5432
2014-04-05,1.30212,76.7582
2014-04-06,3.11483,76.5042
2014-04-07,4.97392,74.5448
2014-04-08,2.66375,73.98
2014-04-09,1.58475,74.39
2014-04-10,1.64908,73.973
2014-04-11,3.22062,73.1934
2014-04-12,2.62529,72.6217
2014-04-13,3.62421,72.3542
2014-04-14,2.39908,72.1478
2014-04-15,2.06913,72.3078
2014-04-16,3.59337,71.7614
2014-04-17,3.29525,70.9387
2014-04-18,3.52325,70.2779
2014-04-19,5.36271,68.2106
2014-04-20,6.83821,65.7917
2014-04-21,7.71942,63.1599
2014-04-22,7.41542,60.8706
2014-04-23,6.66021,58.9358
2014-04-24,5.80821,56.432
2014-04-25,7.61921,53.6546
2014-04-26,8.69004,51.0873
2014-04-27,9.69804,48.9343
2014-04-28,8.94629,47.3199
2014-04-29,5.22083,46.5698
2014-04-30,2.92067,46.4364
2014-05-01,2.38958,46.7449
2014-05-02,3.25129,46.858
2014-05-03,2.69146,47.1673
2014-05-04,2.97488,46.8538
2014-05-05,3.89675,46.0605
2014-05-06,4.21846,45.5036
2014-05-07,3.44288,45.4878
2014-05-08,3.78867,44.6768
2014-05-09,5.16417,42.7932
2014-05-10,6.52117,40.4371
2014-05-11,6.85583,38.0735
2014-05-12,6.29429,36.027
2014-05-13,6.05117,34.635
2014-05-14,5.28642,34.0643
2014-05-15,6.15521,33.7858
2014-05-16,9.36008,32.861
2014-05-17,9.91492,30.8906
2014-05-18,11.9458,28.5458
2014-05-19,13.0602,26.3243
2014-05-20,12.383,24.2633
2014-05-21,12.1717,22.6219
2014-05-22,13.9598,21.4257
2014-05-23,14.0732,20.1819
2014-05-24,13.0879,18.8661
2014-05-25,10.9893,17.8349
2014-05-26,11.4432,16.7592
2014-05-27,10.5724,15.5923
2014-05-28,10.809,14.4375
2014-05-29,12.6683,13.3346
2014-05-30,12.6253,12.2182
2014-05-31,11.2582,11.3523
2014-06-01,12.3047,10.6551
2014-06-02,14.6312,9.75822
2014-06-03,14.2223,8.66177
2014-06-04,13.9689,7.55401
2014-06-05,14.4149,6.54005
2014-06-06,14.157,5.74522
2014-06-07,13.9962,5.24004
2014-06-08,14.8293,4.9451
2014-06-09,14.9646,4.70568
2014-06-10,15.9524,4.47502
2014-06-11,15.1609,4.14798
2014-06-12,12.2266,3.80056
2014-06-13,10.8164,3.56913
2014-06-14,11.5626,3.33204
2014-06-15,12.6568,3.243
2014-06-16,10.6708,3.37425
2014-06-17,10.8107,3.51712
2014-06-18,12.6233,3.34188
2014-06-19,10.609,3.2714
2014-06-20,8.70154,3.36663
2014-06-21,8.19963,3.54647
2014-06-22,9.01167,3.51017
2014-06-23,9.91217,3.22702
2014-06-24,11.3134,2.92742
2014-06-25,11.3363,2.75185
2014-06-26,10.6714,2.57148
2014-06-27,10.4148,2.38201
2014-06-28,10.493,2.20222
2014-06-29,10.6472,2.02113
2014-06-30,11.9313,1.8484
2014-07-01,12.1623,1.6871
2014-07-02,13.5927,1.51435
2014-07-03,12.7836,1.33344
2014-07-04,13.3882,1.18848
2014-07-05,16.5565,0.969996
2014-07-06,16.9988,0.650458
2014-07-07,17.2142,0.349367
2014-07-08,17.7268,0.096975
2014-07-09,20.5264,0.00330833
2014-07-10,20.6042,0
2014-07-11,19.994,0
2014-07-12,18.5581,0
2014-07-13,17.948,0
2014-07-14,17.5572,0
2014-07-15,15.8942,0
2014-07-16,15.8538,0
2014-07-17,15.2755,0
2014-07-18,15.938,0
2014-07-19,17.8893,0
2014-07-20,19.1972,0
2014-07-21,20.6572,0
2014-07-22,21.4092,0
2014-07-23,21.651,0
2014-07-24,21.5391,0
2014-07-25,21.1737,0
2014-07-26,20.6477,0
2014-07-27,18.9545,0
2014-07-28,18.5768,0
2014-07-29,17.7194,0
2014-07-30,16.3567,0
2014-07-31,14.9989,0
2014-08-01,14.9015,0
2014-08-02,16.9184,0
2014-08-03,17.6361,0
2014-08-04,18.5026,0
2014-08-05,16.5657,0
2014-08-06,16.2436,0
2014-08-07,16.3463,0
2014-08-08,15.9792,0
2014-08-09,16.0294,0
2014-08-10,14.8937,0
2014-08-11,14.3545,0
2014-08-12,13.4467,0
2014-08-13,12.823,0
2014-08-14,12.9607,0
2014-08-15,12.8306,0
2014-08-16,11.8837,0
2014-08-17,11.2465,0
2014-08-18,10.9183,0.00783333
2014-08-19,11.9697,0.00325833
2014-08-20,11.7486,0.00075
2014-08-21,11.0897,0.000179167
2014-08-22,10.7634,0.000745833
2014-08-23,11.1821,0.00393333
2014-08-24,11.2272,0.00379167
2014-08-25,11.3506,0.00108333
2014-08-26,11.9536,0.000158333
2014-08-27,11.9602,0
2014-08-28,12.3122,0
2014-08-29,12.5824,0
2014-08-30,11.7593,0
2014-08-31,12.2444,0
2014-09-01,12.0519,0
2014-09-02,13.0368,0
2014-09-03,13.2343,0
2014-09-04,13.0107,0
2014-09-05,12.6859,0
2014-09-06,13.3743,0
2014-09-07,13.4735,0
2014-09-08,12.3573,0
2014-09-09,11.7471,0
2014-09-10,12.2654,0
2014-09-11,12.6383,0
2014-09-12,12.6025,0
2014-09-13,12.4733,0
2014-09-14,12.0481,0
2014-09-15,12.2801,0
2014-09-16,12.3136,0
2014-09-17,11.4766,0
2014-09-18,10.8327,0
2014-09-19,11.3177,0.000108333
2014-09-20,10.7657,0.0111083
2014-09-21,8.83454,0.0456583
2014-09-22,6.38967,0.194942
2014-09-23,6.123,0.196183
2014-09-24,6.7355,0.218717
2014-09-25,7.78979,0.473296
2014-09-26,9.47296,0.462038
2014-09-27,9.67896,0.420738
2014-09-28,9.7345,0.356846
2014-09-29,8.64704,0.339321
2014-09-30,7.75183,0.336333
2014-10-01,8.68771,0.269733
2014-10-02,8.224,0.194237
2014-10-03,8.64612,0.136771
2014-10-04,10.8235,0.0618625
2014-10-05,9.84012,0.0217125
2014-10-06,8.23096,0.0123333
2014-10-07,5.41279,0.136425
2014-10-08,6.86696,0.602217
2014-10-09,7.16196,0.492471
2014-10-10,7.59388,0.39215
2014-10-11,6.964,0.30215
2014-10-12,6.16637,0.335267
2014-10-13,4.30392,0.364337
2014-10-14,4.25112,0.377738
2014-10-15,3.57462,0.460854
2014-10-16,1.51129,1.44148
2014-10-17,1.86738,3.79999
2014-10-18,4.69683,3.45107
2014-10-19,7.39938,1.84863
2014-10-20,5.98117,1.25022
2014-10-21,4.97896,1.18488
2014-10-22,3.23687,1.86263
2014-10-23,4.40621,4.1102
2014-10-24,7.25446,3.51463
2014-10-25,6.40671,2.43584
2014-10-26,7.59725,1.71273
2014-10-27,8.15783,1.50499
2014-10-28,8.64883,1.39624
2014-10-29,3.63138,1.72231
2014-10-30,1.96212,2.43436
2014-10-31,2.17013,3.3576
2014-11-01,5.17604,4.40747
2014-11-02,6.88,3.7736
2014-11-03,5.26713,3.59337
2014-11-04,2.43579,5.12992
2014-11-05,-0.699208,5.47813
2014-11-06,-1.93733,5.65253
2014-11-07,-1.13421,5.9059
2014-11-08,2.49012,6.62753
2014-11-09,4.92408,5.81272
2014-11-10,4.48812,5.36432
2014-11-11,2.93921,5.77301
2014-11-12,2.25725,5.93546
2014-11-13,1.97783,6.82619
2014-11-14,2.45721,8.18386
2014-11-15,2.65425,7.85586
2014-11-16,1.83688,7.72625
2014-11-17,0.629458,7.84978
2014-11-18,0.92425,8.01293
2014-11-19,0.0957083,7.6384
2014-11-20,-0.236667,7.93883
2014-11-21,-1.33892,8.53309
2014-11-22,-1.60654,8.69995
2014-11-23,0.489583,11.6676
2014-11-24,1.158,19.0768
2014-11-25,0.183542,19.256
2014-11-26,-2.32104,19.3491
2014-11-27,-1.74346,19.5836
2014-11-28,-2.11079,20.1445
2014-11-29,-2.61875,20.6458
2014-11-30,-2.25617,21.8792
2014-12-01,-2.39933,22.5774
2014-12-02,-1.21788,24.3956
2014-12-03,-1.44183,24.9919
2014-12-04,0.346292,24.4368
2014-12-05,-0.535375,25.6289
2014-12-06,-2.85083,27.1295
2014-12-07,0.699458,27.1165
2014-12-08,-2.03983,27.3439
2014-12-09,-3.05292,28.6649
2014-12-10,0.482667,30.2433
2014-12-11,0.038125,31.252
2014-12-12,-1.9075,32.1724
2014-12-13,-4.28033,33.5259
2014-12-14,-1.15083,33.4869
2014-12-15,-0.426208,31.3444
2014-12-16,-1.97979,34.4896
2014-12-17,-4.605,35.8883
2014-12-18,-1.58079,37.1861
2014-12-19,-1.95212,38.0337
2014-12-20,-2.52754,40.1247
2014-12-21,-2.50421,42.1084
2014-12-22,-1.76392,43.4928
2014-12-23,-1.60346,45.743
2014-12-24,-6.91562,47.2193
2014-12-25,-11.5247,48.5918
2014-12-26,-8.46404,51.3138
2014-12-27,-11.1155,52.5527
2014-12-28,-9.29042,54.4771
2014-12-29,-4.38246,56.965
2014-12-30,-1.0865,54.3399
2014-12-31,0.906292,50.6445
2015-01-01,1.93004,48.7932
2015-01-02,1.26971,47.3317
2015-01-03,-1.356,49.9417
2015-01-04,-3.32833,52.0241
2015-01-05,-3.46129,53.4411
2015-01-06,-0.0637083,54.7744
2015-01-07,-0.83875,57.1394
2015-01-08,0.337833,57.8798
2015-01-09,-4.08942,59.0833
2015-01-10,-3.66867,65.3208
2015-01-11,-5.9385,70.5335
2015-01-12,-4.26121,73.0762
2015-01-13,-1.75808,72.9505
2015-01-14,-2.38475,74.3596
2015-01-15,-1.14921,76.2968
2015-01-16,-0.0465833,73.661
2015-01-17,-0.99125,74.5413
2015-01-18,-3.09204,76.202
2015-01-19,-5.84492,78.5214
2015-01-20,-5.35338,81.3243
2015-01-21,-4.89829,83.7161
2015-01-22,-7.46683,85.8185
2015-01-23,-8.40308,86.7913
2015-01-24,-2.64383,91.8391
2015-01-25,-4.74825,93.5429
2015-01-26,-0.750833,93.9814
2015-01-27,-2.81775,94.5356
2015-01-28,-0.105667,95.2097
2015-01-29,-2.33862,100.193
2015-01-30,-2.92483,103.118
2015-01-31,-5.26037,105.469
2015-02-01,-6.49871,106.511
2015-02-02,-6.36133,107.803
2015-02-03,-7.23292,108.706
2015-02-04,-9.62054,109.166
2015-02-05,-7.51021,109.763
2015-02-06,-2.39942,109.431
2015-02-07,-1.78475,108.329
2015-02-08,-2.12296,109.139
2015-02-09,0.785292,107.672
2015-02-10,0.671375,105.189
2015-02-11,-0.351792,103.816
2015-02-12,-1.98187,104.291
2015-02-13,-1.99567,105.045
2015-02-14,-2.64071,105.808
2015-02-15,-3.57558,106.266
2015-02-16,-3.27117,107.214
2015-02-17,-0.471917,109.516
2015-02-18,0.918833,109.623
2015-02-19,1.97287,106.701
2015-02-20,0.751292,105.04
2015-02-21,-1.29742,106.051
2015-02-22,-3.02792,107.669
2015-02-23,-0.932625,111.801
2015-02-24,-0.0497917,112.932
2015-02-25,0.223875,112.012
2015-02-26,-0.209583,111.744
2015-02-27,0.081625,113.214
2015-02-28,-0.267833,112.126
2015-03-01,0.816125,114.541
2015-03-02,0.261833,114.853
2015-03-03,-1.97692,114.67
2015-03-04,-2.76796,114.358
2015-03-05,-1.04587,114.619
2015-03-06,1.35142,114.234
2015-03-07,2.74971,111.944
2015-03-08,2.78742,109.404
2015-03-09,1.01004,109.724
2015-03-10,2.51854,109.645
2015-03-11,1.2195,108.664
2015-03-12,1.22354,108.43
2015-03-13,0.818667,107.578
2015-03-14,0.152,106.172
2015-03-15,0.331958,105.622
2015-03-16,1.72771,104.662
2015-03-17,2.11746,103.558
2015-03-18,2.23275,102.229
2015-03-19,1.46596,102.064
2015-03-20,0.886833,103.282
2015-03-21,-2.19854,103.751
2015-03-22,-0.372375,106.534
2015-03-23,1.33017,109.267
2015-03-24,0.219208,107.673
2015-03-25,-1.33333,109.168
