Date,NO,SE,FI,DK,Nordic,EE,LV,LT,Baltic
01-01-2019,315290,453820,191443,104087,1064644.0,19871,5849,14007,39727.0
02-01-2019,400696,526742,220049,104749,1252238.0,23924,13541,14989,52454.0
03-01-2019,492161,522413,232896,90796,1338276.0,24815,19036,17871,61722.0
04-01-2019,418024,510016,213621,126504,1268177.0,25675,16944,9976,52595.0
05-01-2019,415984,465020,195174,81855,1158044.0,22533,15371,11236,49140.0
06-01-2019,432608,481411,199532,70109,1183672.0,24001,16344,6207,46552.0
07-01-2019,458316,512990,213638,103373,1288335.0,30143,17404,9923,57470.0
08-01-2019,393035,533069,201733,140199,1220453.0,28535,15680,10799,55014.0
09-01-2019,421593,564151,213524,130686,1329963.0,29744,20848,7475,58067.0
10-01-2019,510903,539734,226223,82904,1359769.0,37459,25200,7463,70122.0
11-01-2019,404485,550910,223573,129433,1308412.0,35679,16041,10689,62409.0
12-01-2019,370031,490122,216037,114810,1191014.0,29315,11614,8862,49791.0
13-01-2019,350664,476794,198034,121054,1146555.0,24637,12259,8278,45174.0
14-01-2019,409788,574510,218326,149673,1352307.0,28110,15270,10920,54300.0
15-01-2019,458832,539350,223225,129231,1350647.0,32222,15933,13111,61266.0
16-01-2019,464299,523714,219364,140245,1347636.0,35113,21535,9709,66357.0
17-01-2019,499997,538812,223890,111952,1374658.0,38222,14142,13759,66123.0
18-01-2019,549911,560177,226580,93175,1429842.0,36803,23257,11933,71993.0
19-01-2019,487437,532792,220794,87412,1328442.0,30301,14862,9894,55057.0
20-01-2019,474157,505769,232679,81147,1293763.0,31720,16304,8683,56707.0
21-01-2019,566360,526054,245907,114272,1452595.0,45861,25528,10474,81863.0
22-01-2019,574022,512707,248428,106549,1389360.0,44799,24957,8688,78444.0
23-01-2019,578620,521950,239922,105285,1391308.0,46400,25927,9268,81595.0
24-01-2019,596890,535327,246189,89416,1412015.0,44261,28056,9807,82124.0
25-01-2019,570255,524992,237723,99657,1432638.0,37739,24344,9689,71772.0
26-01-2019,477896,480638,229973,98693,1287209.0,29374,16761,5348,51483.0
27-01-2019,423038,505520,219106,110037,1257706.0,28592,17038,10566,56196.0
28-01-2019,510068,535588,250953,102124,1398745.0,38800,25359,11175,75334.0
29-01-2019,552944,529313,241899,98850,1423007.0,38847,25691,8985,73523.0
30-01-2019,556302,529371,227036,117923,1430631.0,40296,24866,8715,73877.0
31-01-2019,555280,542227,222896,129218,1449633.0,37288,26434,8742,72464.0
01-02-2019,536435,537161,224997,108933,1407533.0,39944,23347,7567,70858.0
02-02-2019,457458,500054,230080,91633,1279234.0,34022,16195,11676,61893.0
03-02-2019,426780,495946,236557,91467,1250763.0,27770,15995,7683,51448.0
04-02-2019,494411,522629,232370,139931,1389353.0,36124,23975,8370,68469.0
05-02-2019,510689,540771,214674,131812,1349273.0,36559,18201,12917,67677.0
06-02-2019,529802,542487,225677,105469,1354689.0,32670,19474,11823,63967.0
07-02-2019,472071,519181,220210,120948,1332416.0,24081,23545,9700,57326.0
08-02-2019,419075,527633,207302,134090,1288102.0,21895,21820,11298,55013.0
09-02-2019,369247,464023,189353,118287,1140911.0,22486,12894,13502,48882.0
10-02-2019,355664,442996,196237,91642,1086548.0,20947,12720,14317,47984.0
11-02-2019,409063,534439,203883,121220,1268604.0,19553,18574,12165,50292.0
12-02-2019,463747,542757,219171,100666,1326341.0,20492,16206,14070,50768.0
13-02-2019,395368,545053,213372,108721,1262525.0,19248,16241,16729,52218.0
14-02-2019,430023,543074,218775,89049,1280928.0,20402,17174,10788,48364.0
15-02-2019,402190,545911,215403,85077,1248586.0,20967,16871,11637,49475.0
16-02-2019,333840,491293,205899,104423,1135468.0,19119,9528,11260,39907.0
17-02-2019,358204,452171,204297,68251,1082924.0,18704,11207,7921,37832.0
18-02-2019,410244,528536,222912,86213,1203889.0,19572,15463,8839,43874.0
19-02-2019,376874,517587,204284,122763,1221512.0,20312,14285,12625,47222.0
20-02-2019,425314,538213,230965,91054,1237758.0,21366,18403,14420,54189.0
21-02-2019,453964,534946,224548,91436,1255341.0,20392,22852,10051,53295.0
22-02-2019,436502,559423,235484,87229,1318645.0,18753,23469,10031,52253.0
23-02-2019,343334,520161,208248,74011,1145760.0,21547,12129,10892,44568.0
24-02-2019,338774,488772,201247,69212,1098012.0,19110,8244,8755,36109.0
25-02-2019,401292,540121,213845,73743,1229015.0,22740,14693,10144,47577.0
26-02-2019,407718,518209,210410,61458,1197812.0,20099,16842,11975,48916.0
27-02-2019,383220,546803,218169,82367,1186391.0,19328,11220,10227,40775.0
28-02-2019,386945,531750,219650,72946,1211307.0,20333,14597,13585,48515.0
01-03-2019,465022,521690,227051,65110,1278879.0,19855,20941,14290,55086.0
02-03-2019,354243,515190,219877,83063,1172376.0,20458,19471,9751,49680.0
03-03-2019,318284,460367,202509,92484,1073648.0,16931,13742,12386,43059.0
04-03-2019,401020,516461,215221,109510,1196242.0,18963,20482,12378,51823.0
05-03-2019,438947,528459,231029,107030,1305472.0,21808,16357,13400,51565.0
06-03-2019,449835,522945,235783,109654,1318225.0,20651,25470,7466,53587.0
07-03-2019,394232,509438,210837,124725,1239240.0,24484,22601,13597,60682.0
08-03-2019,344196,530592,204169,134665,1213629.0,22824,16275,14519,53618.0
09-03-2019,336792,480797,198199,128014,1143805.0,23079,14784,13882,51745.0
10-03-2019,329940,497838,195370,92017,1115173.0,20355,20523,11556,52434.0
11-03-2019,421234,568900,227611,69086,1286837.0,21279,23849,11934,57062.0
12-03-2019,412779,536180,217714,124505,1291188.0,21375,26724,10357,58456.0
13-03-2019,354665,553019,219585,132376,1259653.0,20555,25512,13439,59506.0
14-03-2019,388939,511932,222366,107112,1230348.0,21620,25978,12327,59925.0
15-03-2019,386793,495096,202833,103141,1188119.0,21741,25359,11173,58273.0
16-03-2019,315807,454904,181478,105774,1057971.0,20511,19841,9065,49417.0
17-03-2019,303892,453814,178888,124281,1060886.0,21244,21786,9977,53007.0
18-03-2019,380898,512684,191666,119289,1162252.0,23378,21438,14397,59213.0
19-03-2019,431013,489161,191352,76101,1187638.0,22301,25662,12627,60590.0
20-03-2019,378596,517352,199668,97822,1149956.0,22154,21398,11473,55025.0
21-03-2019,338628,508522,202134,104336,1153635.0,20156,23810,11697,55663.0
22-03-2019,381008,496909,214195,73992,1121455.0,21905,23942,9313,55160.0
23-03-2019,302722,478048,212708,95031,1088516.0,20432,18187,10730,49349.0
24-03-2019,285652,451510,206249,94726,1038154.0,19485,19877,9578,48940.0
25-03-2019,359728,483630,199921,97559,1140847.0,19806,25461,8269,53536.0
26-03-2019,381785,488740,193680,104895,1125243.0,18918,27408,12846,59172.0
27-03-2019,373549,492677,202242,106123,1174594.0,19260,29047,8369,56676.0
28-03-2019,367370,512708,199920,84420,1164430.0,19477,28532,7902,55911.0
29-03-2019,321345,512015,192280,111011,1136658.0,19224,20764,14495,54483.0
30-03-2019,303720,464632,184196,82872,1035425.0,17471,17166,12152,46789.0
31-03-2019,284706,443208,164685,87372,979977.0,18067,16829,12963,47859.0
