Date,Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,FRE Buy,FRE Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE Buy,EE Sell,LV Buy,LV Sell,LT Buy,LT Sell
01-01-2019,962979.3,117113.9,36893.1,101671.6,95138.0,77547.3,55707.9,47729.8,32519.2,50832.2,69508.3,33212.0,34358.3,45813.7,79047.5,195675.6,252704.5,52583.4,38112.2,183376.8,153319.3,0.0,0.0,35378.6,83233.3,26206.4,39680.1,19671.2,16915.0,20882.6,9939.0,30864.8,41499.9
02-01-2019,1159437.5,138160.7,41818.1,114813.9,134716.3,85246.1,65215.6,52813.6,57187.3,56956.8,90668.5,37718.5,72954.4,46475.4,121775.9,249456.9,251131.7,77782.9,32165.2,207563.8,172685.2,0.0,0.0,52203.5,77572.9,36449.1,37188.5,23760.0,21870.0,20755.2,13790.4,37286.6,46785.0
03-01-2019,1256698.7,135422.6,47680.0,118955.3,163173.1,83231.6,76809.2,50525.5,70498.8,56783.1,120557.6,37395.8,85047.3,51476.9,145344.8,273620.3,239580.3,92570.6,22356.2,228305.7,182869.7,0.0,0.0,71610.4,64639.8,45607.7,27492.6,24150.0,22507.5,22100.1,19033.7,40480.2,44750.8
04-01-2019,1166200.5,125737.4,39853.8,114148.9,138564.2,81320.0,72474.7,48673.7,64103.6,54933.6,90639.5,36127.8,81531.6,46880.7,137953.7,248262.7,232360.0,87206.6,20119.8,218604.1,169966.7,0.0,0.0,40871.3,81467.4,39955.3,34127.7,25552.9,22880.5,22486.7,16980.7,44999.9,32741.8
05-01-2019,1118875.1,107772.5,40112.7,108807.0,146128.6,78296.5,67563.8,46843.6,66781.1,51823.2,87387.2,36671.1,73341.2,49775.8,118020.2,239779.4,235699.8,79375.1,20030.9,215372.8,162089.5,0.0,0.0,49192.1,67330.9,38477.3,30062.4,24064.7,20509.0,20306.2,14356.3,38638.6,35893.2
06-01-2019,1126034.0,110803.8,40306.8,108948.3,153373.2,76573.3,70296.3,46289.6,74078.9,51791.9,87811.3,34335.4,77701.6,42905.6,126795.6,244185.7,236242.7,89794.1,18176.5,202321.8,164550.4,0.0,0.0,60282.8,52484.7,44481.4,21383.1,24044.7,22557.8,20595.6,15847.9,36410.8,32177.8
07-01-2019,1213829.1,145644.1,57252.1,115969.0,165046.5,82741.5,69262.8,49602.3,66964.7,56812.7,96065.3,34550.8,85699.7,50756.9,138412.5,262451.6,237319.1,91439.2,20800.9,205761.2,175166.2,0.0,0.0,50632.6,70302.6,42963.1,28755.3,25936.5,28787.8,23288.1,16778.1,46644.9,28661.1
08-01-2019,1171011.5,147756.3,52106.2,109894.0,135938.9,83350.5,69605.2,49047.5,55535.1,56496.9,73721.3,36404.6,71670.2,49577.5,141122.2,247927.4,247633.6,86087.3,25198.6,209662.5,163652.6,0.0,0.0,35059.9,90082.7,35197.8,41147.0,26000.2,26579.0,23892.9,15565.0,44935.3,31884.1
09-01-2019,1207202.1,151183.7,53016.6,118352.2,154202.3,85301.2,69029.2,49721.7,64988.6,58621.6,79788.2,37792.4,81653.4,49782.2,145050.5,259059.3,245602.1,87512.5,29860.8,210903.6,164023.6,0.0,0.0,39690.7,83520.8,36394.0,38717.5,27152.2,26811.2,24438.1,20896.8,47286.9,26166.6
10-01-2019,1272869.6,156276.4,58341.6,121379.0,180846.2,84192.7,76481.2,45150.7,75566.6,57015.3,113612.6,35716.2,85287.7,51888.9,153326.5,274818.8,242762.9,106755.7,20856.9,216012.7,177222.4,0.0,0.0,69085.8,60820.8,41883.5,24982.0,27028.7,35400.6,24667.6,24229.2,44784.6,26919.4
11-01-2019,1166017.8,147940.2,50040.8,110028.0,137693.9,83560.8,69458.6,44208.2,63731.3,55350.1,68987.1,33952.9,85208.3,46032.9,148446.7,244624.5,243345.8,91608.7,21164.4,209132.7,166914.1,0.0,0.0,41680.3,79364.5,39866.8,32949.8,26013.8,34093.3,23989.3,15956.9,44263.2,25027.0
12-01-2019,1118910.6,141773.0,39789.4,106824.5,123668.7,82617.7,65780.7,47248.4,63751.4,54193.3,68021.4,33282.9,82625.7,47100.2,129975.0,249687.3,228738.5,80848.3,21268.5,195977.4,177096.9,0.0,0.0,32328.6,77314.1,32434.3,38907.2,23870.3,28865.4,21256.0,11741.3,41051.2,33087.0
13-01-2019,1114154.8,141782.5,41375.9,103896.4,113997.4,80818.3,68686.3,49461.8,62001.3,53473.8,64971.3,34469.8,68568.1,53164.4,124746.8,246010.1,236352.1,69384.8,30575.3,203248.6,156243.1,0.0,0.0,38432.1,98943.9,34930.1,52079.7,23699.7,23721.3,20044.6,12158.5,35075.6,33715.9
14-01-2019,1195226.3,151903.5,43673.5,113324.5,134929.3,87112.6,71510.1,54526.2,62196.1,58371.5,76095.9,35307.2,75298.9,53306.5,142973.7,255294.7,250961.5,79984.1,30584.2,212877.9,162895.6,0.0,0.0,44765.3,104740.9,33685.5,43373.7,26130.2,25267.8,23063.2,12540.9,42754.6,35500.0
15-01-2019,1242575.9,156103.0,49146.7,115773.4,160004.3,91872.3,69103.2,54118.4,74497.0,60221.3,99619.9,37565.7,85485.2,50212.9,143153.3,277051.9,243557.1,86177.6,25983.8,217260.3,166341.2,0.0,0.0,42849.3,79980.2,36817.2,41949.4,27239.6,30069.7,23412.0,15627.4,43955.7,36283.5
16-01-2019,1248585.0,156008.8,50016.9,113412.7,164216.6,90902.7,70881.4,55808.9,77182.0,58830.8,100459.2,38782.7,86124.8,56572.7,131956.7,282584.4,240094.1,86953.5,27059.7,221890.9,165752.2,0.0,0.0,37739.2,86279.2,35106.2,40746.5,27427.7,31960.4,23161.1,21386.4,41396.4,32624.2
