Date,Turnover at system price,NO1 Buy,NO1 Sell,NO2 Buy,NO2 Sell,NO3 Buy,NO3 Sell,NO4 Buy,NO4 Sell,NO5 Buy,NO5 Sell,SE1 Buy,SE1 Sell,SE2 Buy,SE2 Sell,SE3 Buy,SE3 Sell,SE4 Buy,SE4 Sell,FI Buy,FI Sell,DK1 Buy,DK1 Sell,DK2 Buy,DK2 Sell,EE BUY,EE SELL,EE Buy,EE Sell,LV BUY,LV SELL,LV Buy,LV Sell,LT BUY,LT SELL,LT Buy,LT Sell
01-01-2020,1017763.9,111751.8,44984.1,92658.8,95713.8,72117.2,55633.7,43825.5,59519.3,50950.7,74952.2,30527.8,37985.8,40660.8,107056.3,186293.7,252246.2,50738.0,22483.3,175506.9,168109.2,39272.1,77702.3,32003.4,22590.8,nan,nan,18414.4,7015.8,nan,nan,17324.2,18366.9,nan,nan,26453.3,31177.9
02-01-2020,1099177.8,122295.4,47036.6,97454.0,104393.4,77627.4,58368.6,46115.7,58560.5,52914.1,73786.1,31833.5,47477.4,42617.3,134445.4,197245.8,250415.9,61051.8,20666.3,189289.8,178669.8,47190.2,102543.4,35020.8,23325.3,nan,nan,21721.5,7408.9,nan,nan,20916.1,18804.4,nan,nan,32296.8,44304.5
03-01-2020,1092221.7,119400.9,44865.9,97473.1,105915.8,79018.1,65795.3,45963.2,56181.4,51782.4,69359.6,30959.5,40297.9,39622.0,127088.3,201121.1,251045.2,58022.7,25609.5,186791.3,175670.4,46949.6,101496.6,34030.6,27185.6,nan,nan,22209.8,8416.2,nan,nan,21786.9,20293.0,nan,nan,32846.6,31964.0
04-01-2020,1064486.8,122156.9,44424.1,101921.4,102000.1,78035.1,58988.0,45086.7,53937.5,52541.5,74023.1,31235.1,37027.5,38811.2,115282.6,207950.5,248273.2,55021.7,27479.5,181535.9,164729.5,45513.2,103797.3,29972.0,26772.6,nan,nan,20345.4,7761.2,nan,nan,19212.3,19452.5,nan,nan,31467.0,24839.8
05-01-2020,1122492.8,123150.9,49642.5,101631.3,117611.1,79842.3,68478.8,46029.7,74630.8,53010.3,96871.5,31714.0,54609.9,39707.1,134732.6,222482.8,239050.2,62565.6,17138.5,186933.7,173219.0,44257.8,74473.8,35288.1,21533.3,nan,nan,20596.7,6961.7,nan,nan,18906.6,20668.3,nan,nan,29145.5,27340.9
06-01-2020,1134176.6,121855.1,48369.4,99641.7,129263.0,82637.1,63418.4,45711.5,75011.4,52673.5,97086.4,30929.1,57118.8,41938.7,137600.6,205276.9,239891.0,57496.6,17321.6,184967.0,167797.8,53061.9,78449.3,38632.6,22491.5,nan,nan,23902.5,5316.3,nan,nan,22332.2,20331.7,nan,nan,33961.1,30483.3
07-01-2020,1171839.1,124857.9,52951.4,100611.9,128174.3,79704.6,69169.9,44363.2,75289.0,53245.4,89089.9,32127.9,61560.7,43663.8,150338.7,220869.4,241169.6,68266.4,15883.4,192446.2,176910.5,52935.5,87471.2,38723.1,24374.2,nan,nan,24253.7,6357.9,nan,nan,22596.1,16851.9,nan,nan,35904.0,44659.5
08-01-2020,1141804.2,124889.2,52433.2,97634.1,110677.4,78433.7,66365.7,44072.5,63309.0,52914.6,72990.6,32216.4,60979.3,42033.3,147222.2,211910.4,250313.1,61547.3,23698.1,191392.8,180507.1,46088.3,86470.6,37795.7,24870.8,nan,nan,23446.4,8196.2,nan,nan,22715.5,18560.7,nan,nan,41575.1,31023.5
09-01-2020,1207963.0,132555.1,51896.2,105902.3,166599.6,80524.8,70811.5,45685.8,80660.3,54370.3,103578.7,31503.8,64254.5,41457.3,159540.5,238492.0,234974.7,70260.6,14781.7,192121.2,174842.8,53100.3,61722.4,39881.7,23080.3,nan,nan,23955.3,11566.0,nan,nan,22371.0,22006.4,nan,nan,36228.4,25028.0
10-01-2020,1217193.2,130168.0,48744.8,109029.9,170807.8,85946.0,69957.8,45923.7,79846.0,55815.9,108495.6,32634.4,86440.1,46295.8,157474.8,245729.5,225851.7,68490.6,14193.9,201860.9,165687.5,48166.5,63743.8,37748.5,24613.0,nan,nan,24265.4,9205.5,nan,nan,22792.1,24283.1,nan,nan,35579.9,26892.6
11-01-2020,1121494.0,116498.0,48388.8,98890.8,103424.6,78309.1,67231.3,44291.2,66442.3,51981.1,65864.5,30875.2,51901.6,39525.8,152335.9,214210.7,239976.8,60217.4,20411.5,184254.8,176790.5,46635.8,104130.7,32803.9,24607.1,nan,nan,21631.8,8558.1,nan,nan,20142.7,17722.3,nan,nan,32005.8,28459.9
12-01-2020,1030605.1,112615.1,45941.8,99721.0,92143.0,77414.0,64348.1,43666.7,57409.9,51507.3,67507.5,30005.3,45713.8,36461.6,119825.3,197009.1,242609.8,55296.8,23169.3,173483.7,164482.7,46428.1,69730.6,31098.7,26537.2,nan,nan,20534.7,10792.9,nan,nan,19860.4,16956.9,nan,nan,37980.3,22644.0
13-01-2020,1199126.4,131584.7,51679.7,105510.9,155058.1,81753.2,68635.5,45768.5,74809.8,54733.0,102281.6,31975.6,67536.7,40448.1,162732.3,231764.7,232581.4,70130.7,15174.4,193992.3,169014.7,56146.8,76642.1,38503.4,22350.5,nan,nan,24267.3,10186.3,nan,nan,22358.0,22434.1,nan,nan,36069.7,25175.3
14-01-2020,1151683.3,125673.7,49999.2,100446.6,122170.4,81745.0,64200.7,47388.2,63102.2,55265.9,71449.8,32034.9,58936.1,43352.1,155719.6,221490.3,241418.2,63373.6,24568.1,191629.6,167220.3,49016.9,105170.0,33454.0,24169.5,nan,nan,23773.2,10882.1,nan,nan,22847.3,22106.4,nan,nan,40329.5,22036.7
15-01-2020,1124169.6,124639.8,49917.5,98895.2,129836.3,81459.0,67799.2,46337.6,63797.4,54649.8,73284.9,31702.4,48483.4,41547.2,140869.1,213220.7,243842.8,57674.0,28024.2,186869.0,154863.2,48717.1,96312.5,32248.3,24239.6,nan,nan,23052.8,11334.6,nan,nan,22684.9,18886.0,nan,nan,39770.9,24363.8
16-01-2020,1165407.1,125853.3,51280.0,97435.6,152487.3,80820.9,78746.9,45818.9,69927.0,54374.6,75828.1,32710.1,49283.4,43409.7,153495.8,216467.9,244075.6,64450.2,21491.8,193619.7,154032.0,47918.9,86590.1,37143.0,26600.1,nan,nan,23041.0,11063.4,nan,nan,22025.4,20384.9,nan,nan,38176.8,27122.5
17-01-2020,1179540.1,115200.3,46041.9,100522.3,157935.9,81186.1,71262.3,46771.3,71737.1,54321.9,80646.0,32601.3,66338.6,42513.6,161997.2,223438.8,235982.6,65950.3,18010.8,194180.2,162898.6,47898.9,78561.6,37873.9,27543.0,nan,nan,23265.9,11247.9,nan,nan,21992.0,21495.0,nan,nan,37941.7,22493.0
18-01-2020,1104354.7,110765.6,45213.4,96757.2,129712.6,79245.4,73225.8,45445.5,64821.1,52852.8,78422.1,32609.2,42294.9,45494.7,140096.0,206406.1,231396.6,57461.6,18755.6,179589.8,166586.7,44435.7,85100.0,32770.1,28724.2,nan,nan,20654.4,5252.7,nan,nan,20060.0,17541.6,nan,nan,31984.6,32430.0
19-01-2020,1109514.0,113215.5,48013.5,95847.6,118387.2,76759.0,78413.5,44240.1,63633.8,52158.3,78722.7,31776.6,45070.9,38725.3,163058.0,215466.2,230653.7,63908.4,13405.5,178787.4,165777.5,42862.2,81326.1,35732.1,21853.4,nan,nan,19976.6,8694.9,nan,nan,19295.6,18188.8,nan,nan,32953.4,23525.5
20-01-2020,1164454.0,119831.7,48541.8,100363.7,129359.3,77328.4,76287.8,44835.0,64170.5,53731.0,82969.2,32492.6,56881.8,41000.0,176429.0,223361.7,240668.4,68074.0,19021.8,194458.6,170145.1,48600.5,74956.1,40436.3,23698.0,nan,nan,23041.1,10818.2,nan,nan,21952.1,22732.7,nan,nan,40542.4,26893.5
21-01-2020,1147078.2,117136.3,49557.0,100079.8,121829.0,77669.7,74445.4,43961.1,56556.5,53485.3,69373.3,32066.8,54456.3,39718.8,167243.2,212776.9,241479.0,62198.2,24665.1,191110.5,166581.5,51733.3,92568.0,35205.8,28107.7,nan,nan,23189.9,11169.8,nan,nan,22006.2,18262.5,nan,nan,41741.2,25769.9
22-01-2020,1170017.2,125391.9,48715.0,102119.8,141249.7,79886.9,76340.9,45103.6,57998.6,54177.7,87254.8,34207.1,63801.8,41495.0,172330.7,227378.8,237465.2,68401.8,18493.0,197857.8,167407.9,53886.0,70890.5,39074.3,25508.9,nan,nan,23140.8,14058.6,nan,nan,22336.7,20135.0,nan,nan,37822.8,34239.8
