Date,DK1,DK2
01-01-2019,63850,21721
02-01-2019,35360,18135
03-01-2019,20397,6339
04-01-2019,66074,14207
05-01-2019,25268,6683
06-01-2019,14502,640
07-01-2019,41637,9019
08-01-2019,74831,22232
09-01-2019,58813,19261
10-01-2019,14622,2964
11-01-2019,61559,13215
12-01-2019,46528,14548
13-01-2019,67552,19887
14-01-2019,77264,22716
15-01-2019,57328,20016
16-01-2019,68663,19441
17-01-2019,33493,17989
18-01-2019,17065,7301
19-01-2019,16986,1983
20-01-2019,11720,1193
21-01-2019,31024,11516
22-01-2019,28462,6587
23-01-2019,23874,7068
24-01-2019,9220,1941
25-01-2019,16972,3040
26-01-2019,25282,3647
27-01-2019,40267,10072
28-01-2019,23512,4383
29-01-2019,13004,6990
30-01-2019,31074,10434
31-01-2019,42922,8279
01-02-2019,26863,7069
02-02-2019,13801,3676
03-02-2019,13534,4619
04-02-2019,62971,15268
05-02-2019,59143,20399
06-02-2019,28907,10123
07-02-2019,50361,14701
08-02-2019,68285,21218
09-02-2019,70926,23095
10-02-2019,33594,12055
11-02-2019,57642,18959
12-02-2019,34062,10186
13-02-2019,46281,17611
14-02-2019,25994,6664
15-02-2019,27962,4781
16-02-2019,48900,11202
17-02-2019,22633,4258
18-02-2019,34951,5012
19-02-2019,66472,16318
20-02-2019,33784,11807
21-02-2019,29966,12190
22-02-2019,22244,8601
23-02-2019,16662,3724
24-02-2019,17554,2832
25-02-2019,18230,3970
26-02-2019,9668,2498
27-02-2019,29584,7403
28-02-2019,18296,7325
01-03-2019,5639,1046
02-03-2019,26700,4483
03-03-2019,47082,14251
04-03-2019,52204,20305
05-03-2019,36085,18660
06-03-2019,40293,11970
07-03-2019,54495,17591
08-03-2019,69354,22039
09-03-2019,77023,20725
10-03-2019,32786,12977
11-03-2019,8433,2039
12-03-2019,57186,14007
13-03-2019,58834,21812
14-03-2019,34460,15513
15-03-2019,39929,17470
16-03-2019,50439,17023
17-03-2019,78093,20840
18-03-2019,55931,18576
19-03-2019,15037,2910
20-03-2019,38007,10659
21-03-2019,48692,13592
22-03-2019,23514,3485
23-03-2019,46819,8433
24-03-2019,45495,6440
25-03-2019,39740,10927
26-03-2019,47980,12028
27-03-2019,48381,12402
28-03-2019,31829,5470
29-03-2019,57881,10053
30-03-2019,37508,6574
31-03-2019,46127,9114
01-04-2019,7852,3096
02-04-2019,54916,16906
03-04-2019,21871,6782
04-04-2019,25115,9273
05-04-2019,24643,10069
06-04-2019,13520,4990
07-04-2019,10229,1666
08-04-2019,27069,5407
09-04-2019,26126,3090
10-04-2019,20074,2865
11-04-2019,9230,1655
12-04-2019,12184,4192
13-04-2019,21211,13064
14-04-2019,30411,14354
15-04-2019,24382,10409
16-04-2019,36044,11519
17-04-2019,33329,8447
18-04-2019,20428,7000
19-04-2019,10894,5352
20-04-2019,2554,818
21-04-2019,2831,482
22-04-2019,32966,9534
23-04-2019,59804,18478
24-04-2019,61401,14102
25-04-2019,25533,6039
26-04-2019,15774,9364
27-04-2019,7289,3509
28-04-2019,4117,2231
29-04-2019,8282,4043
30-04-2019,16181,3549
01-05-2019,64453,17029
02-05-2019,71881,22542
03-05-2019,54127,16475
04-05-2019,31536,10802
05-05-2019,41839,6927
06-05-2019,56575,16460
07-05-2019,49269,11757
08-05-2019,15961,5411
09-05-2019,23453,4100
10-05-2019,27345,4061
11-05-2019,40065,3655
12-05-2019,47778,9913
13-05-2019,30134,5946
14-05-2019,2861,794
15-05-2019,4033,2126
16-05-2019,29026,13220
17-05-2019,45009,8622
18-05-2019,14472,6712
19-05-2019,10667,8116
20-05-2019,7683,3068
21-05-2019,11117,2815
22-05-2019,35871,11054
23-05-2019,30421,4315
24-05-2019,49871,9617
25-05-2019,46440,10540
26-05-2019,31694,12456
27-05-2019,37930,13984
28-05-2019,46543,6174
29-05-2019,24682,5045
30-05-2019,54208,14777
31-05-2019,7419,5939
01-06-2019,40982,8979
02-06-2019,21398,4350
03-06-2019,21892,5902
04-06-2019,6476,2019
05-06-2019,21069,6156
06-06-2019,29490,10338
07-06-2019,8275,3352
08-06-2019,54066,13739
09-06-2019,50411,9900
10-06-2019,12567,11403
11-06-2019,32160,6575
12-06-2019,20932,7018
13-06-2019,25067,3569
14-06-2019,13045,5308
15-06-2019,21840,9539
16-06-2019,20210,5694
17-06-2019,16129,1625
18-06-2019,12626,5742
19-06-2019,10168,3922
20-06-2019,11597,3495
21-06-2019,15814,2885
22-06-2019,9762,1312
23-06-2019,4836,2243
24-06-2019,21152,5276
25-06-2019,19014,4695
26-06-2019,31836,9516
27-06-2019,45387,12971
28-06-2019,12091,2650
29-06-2019,16122,2231
30-06-2019,40107,10619
01-07-2019,56609,14391
02-07-2019,64649,19814
03-07-2019,50852,12625
04-07-2019,61347,17855
05-07-2019,27194,11608
06-07-2019,49256,12567
07-07-2019,49724,16822
08-07-2019,24442,9880
09-07-2019,25233,9305
10-07-2019,17982,5994
11-07-2019,2284,790
12-07-2019,1621,655
13-07-2019,13849,2658
14-07-2019,15154,2306
15-07-2019,20102,6912
16-07-2019,17131,5443
17-07-2019,2368,1710
18-07-2019,5153,1887
19-07-2019,3460,3250
20-07-2019,21400,4119
21-07-2019,32235,10803
22-07-2019,25807,4188
23-07-2019,12901,3109
24-07-2019,6875,1932
25-07-2019,14301,5472
26-07-2019,17856,5115
27-07-2019,38040,14932
28-07-2019,25119,11033
29-07-2019,5489,1830
30-07-2019,10929,1950
31-07-2019,18253,4188
01-08-2019,3937,1046
02-08-2019,1486,612
03-08-2019,3537,746
04-08-2019,5775,2490
05-08-2019,3454,496
06-08-2019,19276,4105
07-08-2019,20722,3086
08-08-2019,30588,11306
09-08-2019,17214,5840
10-08-2019,50126,14136
11-08-2019,54644,15105
12-08-2019,49687,7236
13-08-2019,23843,7890
14-08-2019,18445,6133
15-08-2019,21491,9055
16-08-2019,19374,5582
17-08-2019,49796,9625
18-08-2019,15203,3320
