Date,DK1,DK2,EE,LV,LT
01-01-2014,38111,8029,1813,188,1634
02-01-2014,47334,14514,725,150,1347
03-01-2014,48831,13295,924,169,1151
04-01-2014,49814,14759,1954,519,2298
05-01-2014,24402,6923,918,185,1571
06-01-2014,56378,16369,651,269,2135
07-01-2014,63909,18525,2466,675,3255
08-01-2014,57407,15696,2306,727,2642
09-01-2014,46278,16643,1168,537,3515
10-01-2014,51593,20215,1827,777,4903
11-01-2014,48154,16850,788,387,2858
12-01-2014,43933,16747,1101,230,1850
13-01-2014,38721,9357,1124,124,820
14-01-2014,6360,1004,28,27,715
15-01-2014,35226,5132,362,91,984
16-01-2014,66653,18403,853,73,479
17-01-2014,50552,9794,560,190,2352
18-01-2014,63269,15921,1029,289,1802
19-01-2014,81191,24066,899,386,3515
20-01-2014,65035,21383,1081,436,4133
21-01-2014,37745,11234,673,328,2645
22-01-2014,57188,15649,719,143,1243
23-01-2014,68251,17193,835,122,985
24-01-2014,63308,16082,324,109,1238
25-01-2014,68106,15605,499,130,1183
26-01-2014,68769,15725,352,440,3169
27-01-2014,60111,13129,1894,801,4391
28-01-2014,59399,9807,3086,707,4314
29-01-2014,57822,14695,3043,914,4708
30-01-2014,44085,12652,3082,860,4545
31-01-2014,34211,6037,3984,862,4869
01-02-2014,53189,12450,3323,673,4388
02-02-2014,47564,6574,1893,299,2543
03-02-2014,20839,3888,267,43,408
04-02-2014,27865,4315,221,263,2008
05-02-2014,33365,4738,913,242,1663
06-02-2014,48528,12890,1365,211,1223
07-02-2014,54337,18440,1232,373,2503
08-02-2014,54940,17295,3537,654,2835
09-02-2014,65411,17768,2309,404,2023
10-02-2014,32236,8569,443,42,194
11-02-2014,14941,6383,251,94,1387
12-02-2014,45376,11715,1188,292,1835
13-02-2014,56925,13205,1039,159,1096
14-02-2014,40767,6960,384,52,922
15-02-2014,76991,21677,959,267,2141
16-02-2014,70401,21847,3140,672,2933
17-02-2014,40613,10959,2770,970,4542
18-02-2014,21099,6908,2425,469,2802
19-02-2014,6212,3299,254,26,289
20-02-2014,29557,9076,348,65,845
21-02-2014,30197,9316,1474,257,1529
22-02-2014,59856,14756,2559,432,912
23-02-2014,65598,14870,3247,504,915
24-02-2014,50703,13615,4399,564,2142
25-02-2014,31486,8422,3025,388,2497
26-02-2014,15595,2018,774,183,1259
27-02-2014,27204,1566,293,67,1171
28-02-2014,11801,2416,348,103,1138
01-03-2014,3046,1392,528,89,785
02-03-2014,30105,3868,568,119,1111
03-03-2014,47459,12181,1394,206,1855
04-03-2014,8716,2441,216,279,1632
05-03-2014,3568,627,858,97,440
06-03-2014,36364,4187,828,28,96
07-03-2014,66966,12886,3979,486,930
08-03-2014,33874,5117,4491,615,2314
09-03-2014,49845,11414,4268,776,2486
10-03-2014,21034,6909,3235,757,2962
11-03-2014,5330,1695,2628,179,847
12-03-2014,10018,343,2174,265,1285
13-03-2014,20603,2374,1630,268,2051
14-03-2014,46855,9050,3966,556,1996
15-03-2014,71357,21010,3101,840,4686
16-03-2014,66906,18582,3215,602,3191
17-03-2014,65597,19432,277,366,2875
18-03-2014,40875,14036,480,182,1809
19-03-2014,57330,15720,940,266,2090
20-03-2014,69550,18031,1657,470,2513
21-03-2014,46573,9717,4195,736,3047
22-03-2014,41745,6442,1911,191,974
23-03-2014,17944,4647,1315,86,311
24-03-2014,2623,542,290,71,1106
25-03-2014,20873,6007,2576,616,2232
26-03-2014,48410,7638,3557,169,432
27-03-2014,15395,3378,805,199,880
28-03-2014,13673,5681,1173,300,1528
29-03-2014,11104,2017,743,84,582
30-03-2014,1002,674,1086,52,114
31-03-2014,3697,701,1073,126,484
01-04-2014,15699,5468,467,80,415
02-04-2014,23696,9259,867,26,116
03-04-2014,17502,6977,967,124,745
04-04-2014,48412,15790,1141,135,831
05-04-2014,24469,3899,2516,207,1124
06-04-2014,23266,5472,1297,404,1232
07-04-2014,21225,5474,200,84,795
08-04-2014,46629,12938,1218,102,631
09-04-2014,52962,17867,3189,134,1362
10-04-2014,3902,2092,1394,243,1413
11-04-2014,8003,2233,3217,312,1368
12-04-2014,35010,2455,1825,255,547
13-04-2014,62006,16312,3888,627,2195
14-04-2014,58134,13951,1323,290,1607
15-04-2014,36119,12584,1099,323,841
16-04-2014,8593,682,958,218,1340
17-04-2014,53689,11576,3258,582,1310
18-04-2014,35175,4493,1750,319,1650
19-04-2014,6969,5338,315,146,1051
20-04-2014,24283,12292,521,222,1901
