Date,SE1,SE2,SE3,SE4,DK1,DK2,EE,LV,LT
01-01-2015,,,,,68676,16953,3036,571,3703
02-01-2015,,,,,74827,21390,5143,980,4917
03-01-2015,,,,,59688,18217,4858,887,4731
04-01-2015,,,,,45770,15376,4432,860,4659
05-01-2015,,,,,14259,6209,2765,372,2643
06-01-2015,,,,,34851,7653,760,86,732
07-01-2015,,,,,41383,10730,4575,556,3360
08-01-2015,,,,,56485,16847,4582,809,3350
09-01-2015,,,,,65035,20831,907,392,2442
10-01-2015,,,,,49592,14905,1561,419,2220
11-01-2015,,,,,63025,18905,2667,711,4516
12-01-2015,,,,,71279,18497,2027,437,3507
13-01-2015,,,,,36656,11635,4406,648,4151
14-01-2015,,,,,42172,12628,2838,442,2756
15-01-2015,,,,,68893,18412,3073,527,2511
16-01-2015,,,,,64764,16777,5791,878,3332
17-01-2015,,,,,44090,11793,4170,457,1418
18-01-2015,,,,,17240,6541,3632,493,1271
19-01-2015,,,,,5752,2335,570,61,177
20-01-2015,,,,,10601,1399,835,344,1603
21-01-2015,,,,,2557,394,1946,225,994
22-01-2015,,,,,1032,256,418,12,67
23-01-2015,,,,,15362,1171,660,32,130
24-01-2015,1649.0,8635.0,23540.0,12469.0,42252,11325,1461,42,282
25-01-2015,3846.0,12525.0,5367.0,2023.0,15686,3705,625,8,68
26-01-2015,7285.0,13393.0,19185.0,11517.0,38148,10973,981,59,555
27-01-2015,6934.0,19305.0,11410.0,5401.0,33236,9947,1633,80,1299
28-01-2015,3482.0,14867.0,31432.0,19181.0,61524,15988,3609,124,1180
29-01-2015,4252.0,15752.0,26446.0,23085.0,38385,18481,4569,266,3473
30-01-2015,2873.0,8382.0,10450.0,5521.0,5159,2244,2248,347,3623
31-01-2015,2934.0,11835.0,12429.0,3267.0,8617,6876,2715,258,1498
01-02-2015,7347.0,22891.0,16414.0,10883.0,21597,9929,2758,521,4008
02-02-2015,5417.0,15017.0,11350.0,2322.0,15287,7152,2836,364,2888
03-02-2015,2787.0,9125.0,12362.0,3428.0,17574,2758,982,210,1082
04-02-2015,982.0,3691.0,8005.0,2563.0,14785,2001,272,76,439
05-02-2015,6416.0,14694.0,7024.0,1877.0,6012,1697,343,7,1
06-02-2015,7544.0,24228.0,17599.0,5861.0,21189,2071,3579,330,1436
07-02-2015,8655.0,27251.0,32429.0,21660.0,69633,17457,2095,584,3403
08-02-2015,5582.0,20177.0,31574.0,22861.0,55566,16983,4917,733,3706
09-02-2015,6420.0,24172.0,23369.0,12450.0,58344,9904,784,58,487
10-02-2015,8870.0,27153.0,20254.0,9571.0,50723,5417,2543,39,528
11-02-2015,8881.0,25083.0,24430.0,6400.0,15799,2085,2514,109,441
12-02-2015,9044.0,19310.0,19744.0,4488.0,8106,587,3247,562,1405
13-02-2015,4098.0,7574.0,6626.0,1260.0,14234,1384,976,107,541
14-02-2015,2001.0,4829.0,6395.0,3738.0,24771,4955,996,39,261
15-02-2015,8257.0,22736.0,21934.0,23433.0,55959,17874,2611,446,2930
16-02-2015,10183.0,27598.0,21141.0,22628.0,51250,14392,2725,451,3253
17-02-2015,9455.0,25613.0,27091.0,10372.0,24490,3271,4642,630,3970
18-02-2015,7204.0,21520.0,36464.0,22521.0,64549,13683,3627,795,4046
19-02-2015,7091.0,22164.0,37984.0,18951.0,70430,13731,3068,577,3176
20-02-2015,6758.0,13751.0,27495.0,17474.0,40200,14220,4425,684,1950
21-02-2015,5167.0,10050.0,8906.0,8274.0,5457,9021,3239,429,2938
22-02-2015,3568.0,9112.0,21083.0,17342.0,30826,11351,4911,748,2308
23-02-2015,5388.0,22262.0,29313.0,20548.0,47914,16094,3317,330,1309
24-02-2015,7591.0,18006.0,22267.0,14993.0,49827,14474,2028,121,504
25-02-2015,4043.0,12509.0,24825.0,8872.0,18612,6806,1450,123,351
26-02-2015,4644.0,19953.0,21789.0,9819.0,37405,8940,69,2,73
27-02-2015,9815.0,25795.0,20238.0,7715.0,8028,5130,47,13,290
28-02-2015,7776.0,21978.0,18721.0,5224.0,39418,6361,254,14,126
01-03-2015,10290.0,29181.0,32944.0,21584.0,58242,15797,2336,305,2126
02-03-2015,7934.0,15413.0,10616.0,9946.0,31919,14956,2096,137,1084
03-03-2015,2043.0,1040.0,10834.0,17921.0,28605,10805,1728,335,4429
04-03-2015,897.0,2800.0,8569.0,5223.0,21151,7785,1996,99,724
05-03-2015,2906.0,12669.0,10955.0,4312.0,21742,4986,146,4,219
06-03-2015,6505.0,17092.0,18058.0,11945.0,29854,8690,3078,386,1432
07-03-2015,9898.0,28244.0,38675.0,21461.0,61151,15197,3109,549,1949
08-03-2015,8710.0,23327.0,37614.0,18773.0,48756,11889,4525,909,3632
09-03-2015,9634.0,22749.0,14493.0,6726.0,15313,3936,1833,187,1112
10-03-2015,4470.0,17653.0,37348.0,19619.0,52999,10300,3848,504,932
11-03-2015,5417.0,14132.0,16022.0,10525.0,19132,8415,1864,153,515
12-03-2015,8303.0,16254.0,9637.0,4068.0,4389,1673,1246,322,2049
13-03-2015,9248.0,21759.0,11230.0,12484.0,16701,9380,2100,501,3281
14-03-2015,4331.0,5276.0,16806.0,14888.0,26672,11615,1978,261,1744
15-03-2015,5383.0,10511.0,14708.0,13033.0,29829,13268,1414,257,1406
16-03-2015,6594.0,13278.0,12106.0,14386.0,45854,15313,1448,363,2116
17-03-2015,4738.0,8463.0,13874.0,15528.0,26080,11042,1190,356,2399
18-03-2015,2624.0,6351.0,6405.0,11355.0,7912,7491,319,144,846
19-03-2015,8981.0,18185.0,6953.0,2402.0,4479,574,1192,39,123
20-03-2015,5523.0,8681.0,3505.0,3146.0,14876,2482,758,84,734
21-03-2015,2628.0,6652.0,18201.0,13809.0,34682,7909,3021,367,1666
