Date,SE1,SE2,SE3,SE4,FI,DK1,DK2,EE,LV,LT
01-01-2019,,,,,22288.0,63850,21721,3736,968,9531
02-01-2019,,,,,31655.0,35360,18135,4110,1046,9366
03-01-2019,,,,,22982.0,20397,6339,3137,659,8209
04-01-2019,,,,,8195.0,66074,14207,1634,168,3169
05-01-2019,,,,,2464.0,25268,6683,1755,324,5633
06-01-2019,,,,,12806.0,14502,640,778,48,1296
07-01-2019,,,,,21442.0,41637,9019,2028,344,2134
08-01-2019,,,,,5074.0,74831,22232,1462,490,4477
09-01-2019,,,,,7698.0,58813,19261,335,18,1135
10-01-2019,,,,,18030.0,14622,2964,729,95,223
11-01-2019,,,,,39519.0,61559,13215,3684,662,4986
12-01-2019,,,,,31727.0,46528,14548,1959,240,4578
13-01-2019,,,,,14814.0,67552,19887,926,128,4006
14-01-2019,,,,,17090.0,77264,22716,1856,684,6626
15-01-2019,,,,,14320.0,57328,20016,1139,610,5595
16-01-2019,,,,,5799.0,68663,19441,1687,354,3555
17-01-2019,,,,,7657.0,33493,17989,3138,772,9161
18-01-2019,,,,,4643.0,17065,7301,1478,350,3963
19-01-2019,,,,,7020.0,16986,1983,2256,580,5589
20-01-2019,,,,,15093.0,11720,1193,2629,359,4384
21-01-2019,,,,,12672.0,31024,11516,528,115,1672
22-01-2019,,,,,14743.0,28462,6587,698,167,1528
23-01-2019,,,,,8975.0,23874,7068,1305,207,1512
24-01-2019,,,,,9298.0,9220,1941,346,51,1025
25-01-2019,,,,,11218.0,16972,3040,889,166,4051
26-01-2019,,,,,17338.0,25282,3647,238,21,628
27-01-2019,,,,,7725.0,40267,10072,565,374,6293
28-01-2019,,,,,28787.0,23512,4383,2782,466,6706
29-01-2019,,,,,20011.0,13004,6990,1102,112,2813
30-01-2019,,,,,3064.0,31074,10434,1441,100,1659
31-01-2019,,,,,618.0,42922,8279,297,136,2748
01-02-2019,,,,,5576.0,26863,7069,2138,157,2532
02-02-2019,,,,,26459.0,13801,3676,1838,277,7081
03-02-2019,,,,,35378.0,13534,4619,2898,478,3186
04-02-2019,,,,,16680.0,62971,15268,1553,227,3347
05-02-2019,,,,,3431.0,59143,20399,4118,1019,8034
06-02-2019,,,,,8628.0,28907,10123,1317,296,3023
07-02-2019,,,,,13323.0,50361,14701,2308,462,4335
08-02-2019,,,,,14447.0,68285,21218,4299,943,6093
09-02-2019,,,,,15713.0,70926,23095,4714,870,8586
10-02-2019,,,,,23622.0,33594,12055,4526,954,9091
11-02-2019,,,,,8925.0,57642,18959,1385,440,6897
12-02-2019,,,,,17524.0,34062,10186,3236,693,7816
13-02-2019,,,,,13792.0,46281,17611,1751,621,7595
14-02-2019,,,,,26007.0,25994,6664,2945,400,3954
15-02-2019,,,,,35414.0,27962,4781,3141,411,5031
16-02-2019,,,,,35713.0,48900,11202,3438,812,6076
17-02-2019,,,,,26009.0,22633,4258,3024,111,2567
18-02-2019,,,,,31756.0,34951,5012,2549,252,2341
