Date,Hour,DK1,DK2
01-01-2018,00 - 01,1729.0,649.0
01-01-2018,01 - 02,1763.0,613.0
01-01-2018,02 - 03,1508.0,663.0
01-01-2018,03 - 04,1514.0,723.0
01-01-2018,04 - 05,1523.0,713.0
01-01-2018,05 - 06,1493.0,703.0
01-01-2018,06 - 07,1578.0,727.0
01-01-2018,07 - 08,1529.0,753.0
01-01-2018,08 - 09,1651.0,758.0
01-01-2018,09 - 10,1839.0,758.0
01-01-2018,10 - 11,2208.0,771.0
01-01-2018,11 - 12,2248.0,774.0
01-01-2018,12 - 13,2344.0,773.0
01-01-2018,13 - 14,2590.0,780.0
01-01-2018,14 - 15,2514.0,777.0
01-01-2018,15 - 16,2340.0,755.0
01-01-2018,16 - 17,2053.0,741.0
01-01-2018,17 - 18,1855.0,694.0
01-01-2018,18 - 19,1751.0,651.0
01-01-2018,19 - 20,1739.0,632.0
01-01-2018,20 - 21,1721.0,603.0
01-01-2018,21 - 22,1745.0,592.0
01-01-2018,22 - 23,1601.0,530.0
01-01-2018,23 - 00,1549.0,460.0
02-01-2018,00 - 01,1468.0,434.0
02-01-2018,01 - 02,1406.0,391.0
02-01-2018,02 - 03,1343.0,308.0
02-01-2018,03 - 04,1227.0,235.0
02-01-2018,04 - 05,1206.0,192.0
02-01-2018,05 - 06,1106.0,173.0
02-01-2018,06 - 07,1096.0,185.0
02-01-2018,07 - 08,1160.0,204.0
02-01-2018,08 - 09,1120.0,202.0
02-01-2018,09 - 10,1043.0,213.0
02-01-2018,10 - 11,977.0,214.0
02-01-2018,11 - 12,842.0,242.0
02-01-2018,12 - 13,757.0,254.0
02-01-2018,13 - 14,804.0,289.0
02-01-2018,14 - 15,787.0,293.0
02-01-2018,15 - 16,771.0,289.0
02-01-2018,16 - 17,854.0,233.0
02-01-2018,17 - 18,939.0,272.0
02-01-2018,18 - 19,1000.0,311.0
02-01-2018,19 - 20,1153.0,301.0
02-01-2018,20 - 21,1236.0,313.0
02-01-2018,21 - 22,1326.0,331.0
02-01-2018,22 - 23,1529.0,416.0
02-01-2018,23 - 00,1795.0,444.0
03-01-2018,00 - 01,1970.0,439.0
03-01-2018,01 - 02,2267.0,532.0
03-01-2018,02 - 03,2543.0,574.0
03-01-2018,03 - 04,2411.0,601.0
03-01-2018,04 - 05,2601.0,667.0
03-01-2018,05 - 06,2718.0,828.0
03-01-2018,06 - 07,3077.0,832.0
03-01-2018,07 - 08,2942.0,828.0
03-01-2018,08 - 09,2765.0,831.0
03-01-2018,09 - 10,2446.0,772.0
03-01-2018,10 - 11,1972.0,689.0
03-01-2018,11 - 12,1691.0,625.0
03-01-2018,12 - 13,1352.0,540.0
03-01-2018,13 - 14,980.0,441.0
03-01-2018,14 - 15,750.0,373.0
03-01-2018,15 - 16,465.0,319.0
03-01-2018,16 - 17,289.0,384.0
03-01-2018,17 - 18,262.0,326.0
03-01-2018,18 - 19,280.0,138.0
03-01-2018,19 - 20,306.0,128.0
03-01-2018,20 - 21,398.0,232.0
03-01-2018,21 - 22,559.0,179.0
03-01-2018,22 - 23,720.0,181.0
03-01-2018,23 - 00,856.0,119.0
04-01-2018,00 - 01,859.0,132.0
04-01-2018,01 - 02,903.0,175.0
04-01-2018,02 - 03,975.0,382.0
04-01-2018,03 - 04,1024.0,545.0
04-01-2018,04 - 05,1093.0,578.0
04-01-2018,05 - 06,1081.0,535.0
04-01-2018,06 - 07,999.0,520.0
04-01-2018,07 - 08,849.0,511.0
04-01-2018,08 - 09,769.0,518.0
04-01-2018,09 - 10,707.0,529.0
04-01-2018,10 - 11,647.0,468.0
04-01-2018,11 - 12,619.0,401.0
04-01-2018,12 - 13,602.0,317.0
04-01-2018,13 - 14,532.0,297.0
04-01-2018,14 - 15,411.0,241.0
04-01-2018,15 - 16,279.0,214.0
04-01-2018,16 - 17,178.0,182.0
04-01-2018,17 - 18,108.0,123.0
04-01-2018,18 - 19,96.0,124.0
04-01-2018,19 - 20,99.0,116.0
04-01-2018,20 - 21,113.0,110.0
04-01-2018,21 - 22,103.0,127.0
04-01-2018,22 - 23,98.0,150.0
04-01-2018,23 - 00,107.0,173.0
05-01-2018,00 - 01,143.0,135.0
05-01-2018,01 - 02,177.0,97.0
05-01-2018,02 - 03,232.0,154.0
05-01-2018,03 - 04,223.0,419.0
05-01-2018,04 - 05,195.0,475.0
05-01-2018,05 - 06,178.0,482.0
05-01-2018,06 - 07,122.0,469.0
05-01-2018,07 - 08,97.0,470.0
05-01-2018,08 - 09,89.0,461.0
05-01-2018,09 - 10,75.0,428.0
05-01-2018,10 - 11,56.0,376.0
05-01-2018,11 - 12,52.0,213.0
05-01-2018,12 - 13,53.0,198.0
05-01-2018,13 - 14,57.0,279.0
05-01-2018,14 - 15,71.0,219.0
05-01-2018,15 - 16,81.0,171.0
05-01-2018,16 - 17,57.0,159.0
05-01-2018,17 - 18,73.0,168.0
05-01-2018,18 - 19,96.0,134.0
05-01-2018,19 - 20,126.0,112.0
05-01-2018,20 - 21,95.0,80.0
05-01-2018,21 - 22,94.0,67.0
05-01-2018,22 - 23,113.0,71.0
05-01-2018,23 - 00,69.0,69.0
06-01-2018,00 - 01,38.0,67.0
06-01-2018,01 - 02,49.0,67.0
06-01-2018,02 - 03,62.0,79.0
06-01-2018,03 - 04,58.0,80.0
06-01-2018,04 - 05,74.0,65.0
06-01-2018,05 - 06,80.0,64.0
06-01-2018,06 - 07,94.0,75.0
06-01-2018,07 - 08,123.0,104.0
06-01-2018,08 - 09,134.0,137.0
06-01-2018,09 - 10,161.0,201.0
06-01-2018,10 - 11,270.0,211.0
06-01-2018,11 - 12,480.0,139.0
06-01-2018,12 - 13,518.0,122.0
06-01-2018,13 - 14,550.0,162.0
06-01-2018,14 - 15,637.0,183.0
06-01-2018,15 - 16,667.0,163.0
06-01-2018,16 - 17,737.0,172.0
06-01-2018,17 - 18,849.0,201.0
06-01-2018,18 - 19,919.0,257.0
06-01-2018,19 - 20,828.0,324.0
06-01-2018,20 - 21,716.0,365.0
06-01-2018,21 - 22,616.0,319.0
06-01-2018,22 - 23,532.0,330.0
06-01-2018,23 - 00,441.0,310.0
07-01-2018,00 - 01,330.0,267.0
07-01-2018,01 - 02,231.0,223.0
07-01-2018,02 - 03,130.0,209.0
07-01-2018,03 - 04,109.0,223.0
07-01-2018,04 - 05,121.0,206.0
07-01-2018,05 - 06,150.0,159.0
07-01-2018,06 - 07,192.0,117.0
07-01-2018,07 - 08,279.0,93.0
07-01-2018,08 - 09,374.0,87.0
07-01-2018,09 - 10,475.0,91.0
07-01-2018,10 - 11,480.0,106.0
07-01-2018,11 - 12,408.0,81.0
07-01-2018,12 - 13,401.0,68.0
07-01-2018,13 - 14,447.0,63.0
07-01-2018,14 - 15,459.0,66.0
07-01-2018,15 - 16,486.0,72.0
07-01-2018,16 - 17,596.0,79.0
07-01-2018,17 - 18,640.0,80.0
07-01-2018,18 - 19,714.0,77.0
07-01-2018,19 - 20,772.0,84.0
07-01-2018,20 - 21,829.0,78.0
07-01-2018,21 - 22,807.0,82.0
07-01-2018,22 - 23,741.0,78.0
07-01-2018,23 - 00,794.0,83.0
08-01-2018,00 - 01,772.0,84.0
08-01-2018,01 - 02,748.0,87.0
08-01-2018,02 - 03,670.0,84.0
08-01-2018,03 - 04,518.0,82.0
08-01-2018,04 - 05,419.0,80.0
08-01-2018,05 - 06,391.0,78.0
08-01-2018,06 - 07,274.0,81.0
08-01-2018,07 - 08,232.0,78.0
08-01-2018,08 - 09,215.0,76.0
08-01-2018,09 - 10,174.0,71.0
08-01-2018,10 - 11,132.0,71.0
08-01-2018,11 - 12,111.0,73.0
08-01-2018,12 - 13,101.0,72.0
08-01-2018,13 - 14,95.0,73.0
08-01-2018,14 - 15,105.0,77.0
08-01-2018,15 - 16,143.0,95.0
08-01-2018,16 - 17,223.0,119.0
08-01-2018,17 - 18,355.0,159.0
08-01-2018,18 - 19,503.0,195.0
08-01-2018,19 - 20,706.0,229.0
08-01-2018,20 - 21,906.0,296.0
