Class,MAE,MAPE
d -10,2311.4421660052913,5.380538343402524
d 0,2197.0596247117082,5.139821618679771
d 1,1891.4148683184103,4.504787801390401
d 5,1804.2084567053316,4.3364345803647755
d 11,1773.1411271367524,4.27959765926212
d 20,1744.6852876984128,4.227909970610263
d 32,1735.7885031712117,4.221535260693007
d 46,1754.60559837539,4.293227130513853
d 75,1781.6929310812643,4.375285572786021
d 107,1806.19862315154,4.449102002682989
d 195,1872.6752850698683,4.6354865477946
d 210,1959.28810660019,4.8776483953343535
