Period,Date,Hour,Demand Forecast
77,2019-08-18,0,28005.811667421996
77,2019-08-18,1,27068.107434767997
77,2019-08-18,2,26572.607809525332
77,2019-08-18,3,26326.298402791334
77,2019-08-18,4,26121.760766789997
77,2019-08-18,5,26059.823313634664
77,2019-08-18,6,26380.313623566333
77,2019-08-18,7,27311.53602972733
77,2019-08-18,8,28754.102525891667
77,2019-08-18,9,30080.716348125665
77,2019-08-18,10,30918.31237161
77,2019-08-18,11,31257.527958077
77,2019-08-18,12,31138.694472371997
77,2019-08-18,13,30901.027500961998
77,2019-08-18,14,30718.095953270666
77,2019-08-18,15,30706.572706172
77,2019-08-18,16,30956.48312762433
77,2019-08-18,17,31606.106182811665
77,2019-08-18,18,32765.632922114997
77,2019-08-18,19,33598.90772793733
77,2019-08-18,20,34132.57810919433
77,2019-08-18,21,34389.690560083334
77,2019-08-18,22,33387.16806249933
77,2019-08-18,23,31044.347886751664
77,2019-08-19,0,28190.89033547327
77,2019-08-19,1,27293.6046524788
77,2019-08-19,2,26919.392933173134
77,2019-08-19,3,26860.177012755532
77,2019-08-19,4,27167.7708215914
77,2019-08-19,5,28593.8875716486
77,2019-08-19,6,32811.377014724334
77,2019-08-19,7,36516.48425752
77,2019-08-19,8,37955.76010100333
77,2019-08-19,9,38178.642245908464
77,2019-08-19,10,38149.034285699665
77,2019-08-19,11,38010.86380472527
77,2019-08-19,12,37715.606645976404
77,2019-08-19,13,37418.70460054927
77,2019-08-19,14,37048.60509793926
77,2019-08-19,15,36696.599348790194
77,2019-08-19,16,36484.4089672938
77,2019-08-19,17,36825.722953034136
77,2019-08-19,18,37003.37071428693
77,2019-08-19,19,36930.9957004432
77,2019-08-19,20,36679.3280386684
77,2019-08-19,21,36310.05097939753
77,2019-08-19,22,34740.829088331135
77,2019-08-19,23,31942.0544052604
77,2019-08-20,0,29309.0688799104
77,2019-08-20,1,28159.6286785848
77,2019-08-20,2,27750.533967162
77,2019-08-20,3,27549.2991192354
77,2019-08-20,4,27729.830793507
77,2019-08-20,5,29184.8498379804
77,2019-08-20,6,33190.4998767498
77,2019-08-20,7,36669.461177736
77,2019-08-20,8,38019.308100042
77,2019-08-20,9,38261.1211683324
77,2019-08-20,10,38262.777422224804
77,2019-08-20,11,38130.2771108328
77,2019-08-20,12,37729.463668872006
77,2019-08-20,13,37448.7286341102
77,2019-08-20,14,37168.8217262946
77,2019-08-20,15,36878.1491681784
77,2019-08-20,16,36587.4766100622
77,2019-08-20,17,36830.945932245
77,2019-08-20,18,36968.4150053142
77,2019-08-20,19,36965.102497529406
77,2019-08-20,20,36554.3515322142
77,2019-08-20,21,36223.9288806804
77,2019-08-20,22,34657.11269847
77,2019-08-20,23,31896.9655867854
77,2019-08-21,0,28503.228511461377
77,2019-08-21,1,27523.750089163113
77,2019-08-21,2,27078.31093943743
77,2019-08-21,3,26819.82617737033
77,2019-08-21,4,27058.802655507836
77,2019-08-21,5,28443.890814508868
77,2019-08-21,6,32434.9605684379
77,2019-08-21,7,36136.65744407798
77,2019-08-21,8,37438.83539637824
77,2019-08-21,9,37636.35677116537
77,2019-08-21,10,37682.68894549814
77,2019-08-21,11,37541.2538870086
77,2019-08-21,12,37122.63862768611
77,2019-08-21,13,36769.05098146225
77,2019-08-21,14,36456.10559342505
77,2019-08-21,15,36246.39154118193
77,2019-08-21,16,36062.688534178276
77,2019-08-21,17,36444.72576113279
77,2019-08-21,18,36469.111116044776
77,2019-08-21,19,36361.00270926829
77,2019-08-21,20,35952.95443707432
77,2019-08-21,21,35548.97039069902
77,2019-08-21,22,33889.14056635623
77,2019-08-21,23,31223.008429311994
77,2019-08-22,0,28918.249870705193
77,2019-08-22,1,27831.77116183338
77,2019-08-22,2,27374.003657414625
77,2019-08-22,3,27241.686658830393
77,2019-08-22,4,27441.3949237743
77,2019-08-22,5,28869.76103271469
77,2019-08-22,6,32909.94963544828
77,2019-08-22,7,36438.12898279069
77,2019-08-22,8,37692.26401284998
77,2019-08-22,9,37871.4261600013
77,2019-08-22,10,37913.340240298174
77,2019-08-22,11,37785.954309984154
77,2019-08-22,12,37386.53778009633
77,2019-08-22,13,37085.742615612915
77,2019-08-22,14,36803.02803478697
77,2019-08-22,15,36518.66976453762
77,2019-08-22,16,36295.12800295431
77,2019-08-22,17,36678.92948331977
77,2019-08-22,18,36849.87318335406
77,2019-08-22,19,37001.91445501918
77,2019-08-22,20,36582.77365205047
77,2019-08-22,21,36097.885272145504
77,2019-08-22,22,34501.040997305936
77,2019-08-22,23,31753.614126081688
77,2019-08-23,0,29496.622042387502
77,2019-08-23,1,28615.2109194875
77,2019-08-23,2,28167.878206737503
77,2019-08-23,3,27988.945121637502
77,2019-08-23,4,28220.067023225
77,2019-08-23,5,29604.313251012503
77,2019-08-23,6,33839.062931712506
77,2019-08-23,7,37319.14575812501
77,2019-08-23,8,38808.59801280001
77,2019-08-23,9,39010.726127450005
77,2019-08-23,10,38843.39055712501
77,2019-08-23,11,38550.96750601251
77,2019-08-23,12,37942.926374237504
77,2019-08-23,13,37255.3594268625
77,2019-08-23,14,36533.828329075004
77,2019-08-23,15,36035.9635876625
77,2019-08-23,16,35788.273807825004
77,2019-08-23,17,36311.818760525006
77,2019-08-23,18,36608.383781200006
77,2019-08-23,19,36452.64572565001
77,2019-08-23,20,35890.166259062506
77,2019-08-23,21,35427.094061975
77,2019-08-23,22,33991.48741161251
77,2019-08-23,23,31689.380728775006
77,2019-08-24,0,29096.893923544194
77,2019-08-24,1,27827.366409905397
77,2019-08-24,2,27259.536027211794
77,2019-08-24,3,26952.8193567672
77,2019-08-24,4,26742.457323800398
77,2019-08-24,5,26813.803887428996
77,2019-08-24,6,27564.781634488798
77,2019-08-24,7,29019.6631072452
77,2019-08-24,8,30990.887751829196
77,2019-08-24,9,32421.496682320198
77,2019-08-24,10,32915.03837505
77,2019-08-24,11,32750.2793002788
77,2019-08-24,12,32217.018902023796
77,2019-08-24,13,31729.3614619644
77,2019-08-24,14,31390.281401832595
77,2019-08-24,15,31300.546548608996
77,2019-08-24,16,31530.032402754598
77,2019-08-24,17,32144.201275227595
77,2019-08-24,18,32893.70795911979
77,2019-08-24,19,33242.349929840995
77,2019-08-24,20,33179.82974521799
77,2019-08-24,21,33145.99529236319
77,2019-08-24,22,32236.142723202593
77,2019-08-24,23,30167.092377973197
77,2019-08-25,0,28526.337018343256
77,2019-08-25,1,27571.204302253074
77,2019-08-25,2,27066.495155809105
77,2019-08-25,3,26815.607760338415
77,2019-08-25,4,26607.268519655143
77,2019-08-25,5,26544.17987634965
77,2019-08-25,6,26870.62692601181
77,2019-08-25,7,27819.157342221184
77,2019-08-25,8,29288.53586013873
77,2019-08-25,9,30639.806569077376
77,2019-08-25,10,31492.970431452868
77,2019-08-25,11,31838.490791881803
77,2019-08-25,12,31717.448627400325
77,2019-08-25,13,31475.364298437376
77,2019-08-25,14,31289.032724023473
77,2019-08-25,15,31277.295302013146
77,2019-08-25,16,31531.850641862067
77,2019-08-25,17,32193.54780769413
77,2019-08-25,18,33374.62589748307
77,2019-08-25,19,34223.388226604686
77,2019-08-25,20,34766.977583457854
77,2019-08-25,21,35028.86881206323
77,2019-08-25,22,34007.71309716497
77,2019-08-25,23,31621.348484690792
77,2019-08-26,0,29322.56664317361
77,2019-08-26,1,28389.260921911467
77,2019-08-26,2,28000.027096820475
77,2019-08-26,3,27938.43405197091
77,2019-08-26,4,28258.375701606146
77,2019-08-26,5,29741.74153173314
77,2019-08-26,6,34128.53505935208
77,2019-08-26,7,37982.37765723104
77,2019-08-26,8,39479.43083065793
77,2019-08-26,9,39711.26020780004
77,2019-08-26,10,39680.46368537527
77,2019-08-26,11,39536.74658072628
77,2019-08-26,12,39229.63681543471
77,2019-08-26,13,38920.81613223064
77,2019-08-26,14,38535.85960192086
77,2019-08-26,15,38169.72316864846
77,2019-08-26,16,37949.01475793752
77,2019-08-26,17,38304.03022477876
77,2019-08-26,18,38488.809359327446
77,2019-08-26,19,38413.528971177984
77,2019-08-26,20,38151.758530567335
77,2019-08-26,21,37767.657459213806
77,2019-08-26,22,36135.44177070037
77,2019-08-26,23,33224.31494260223
77,2019-08-27,0,29737.078982453357
77,2019-08-27,1,28570.853122721066
77,2019-08-27,2,28155.784264862454
77,2019-08-27,3,27951.610717373296
77,2019-08-27,4,28134.778755861513
77,2019-08-27,5,29611.045928447707
77,2019-08-27,6,33675.19180994993
77,2019-08-27,7,37204.957542468204
77,2019-08-27,8,38574.51672932961
77,2019-08-27,9,38819.86107446061
77,2019-08-27,10,38821.54151518069
77,2019-08-27,11,38687.10625757466
77,2019-08-27,12,38280.43960331643
77,2019-08-27,13,37995.60490126365
77,2019-08-27,14,37711.61041957092
77,2019-08-27,15,37416.6930731977
77,2019-08-27,16,37121.775726824475
77,2019-08-27,17,37368.80051267555
77,2019-08-27,18,37508.2770924418
77,2019-08-27,19,37504.916211001655
77,2019-08-27,20,37088.16691242297
77,2019-08-27,21,36752.91898876794
77,2019-08-27,22,35163.22206757665
77,2019-08-27,23,32362.76760757109
77,2019-08-28,0,29528.109597971823
77,2019-08-28,1,28513.41239653579
77,2019-08-28,2,28051.956739783134
77,2019-08-28,3,27784.177727287977
77,2019-08-28,4,28031.747002991044
77,2019-08-28,5,29466.63831522923
77,2019-08-28,6,33601.2136339437
77,2019-08-28,7,37436.011190242214
77,2019-08-28,8,38785.011121114025
77,2019-08-28,9,38989.634706133904
77,2019-08-28,10,39037.63283101511
77,2019-08-28,11,38891.11223927247
77,2019-08-28,12,38457.44497060894
77,2019-08-28,13,38091.14349125236
77,2019-08-28,14,37766.945630212635
77,2019-08-28,15,37549.6909596977
77,2019-08-28,16,37359.38260490555
77,2019-08-28,17,37755.15661708392
