Period,Date,Hour,System Price,Forecast,Upper,Lower
2,2019-06-04,0,27.0,28.74,39.466,19.742
2,2019-06-04,1,24.31,27.345,39.466,17.762
2,2019-06-04,2,22.61,26.378,39.466,15.905
2,2019-06-04,3,20.61,25.86,39.466,14.802
2,2019-06-04,4,20.46,25.39,39.466,13.33
2,2019-06-04,5,29.81,29.017,39.466,19.623
2,2019-06-04,6,36.29,35.568,41.038,28.526
2,2019-06-04,7,37.23,37.601,43.071,28.526
2,2019-06-04,8,37.81,38.329,43.799,28.526
2,2019-06-04,9,37.75,38.283,43.753,28.526
2,2019-06-04,10,37.41,38.11,43.58,28.526
2,2019-06-04,11,37.16,37.815,43.285,28.526
2,2019-06-04,12,36.57,37.428,42.898,28.526
2,2019-06-04,13,36.17,37.094,42.564,28.526
2,2019-06-04,14,35.47,36.767,42.237,28.526
2,2019-06-04,15,34.41,36.333,41.803,28.526
2,2019-06-04,16,34.79,36.061,41.531,28.526
2,2019-06-04,17,36.22,36.453,41.923,28.526
2,2019-06-04,18,36.53,36.626,42.096,28.526
2,2019-06-04,19,36.35,36.658,42.128,28.526
2,2019-06-04,20,35.78,35.953,41.423,28.526
2,2019-06-04,21,34.63,35.3,40.77,28.526
2,2019-06-04,22,32.11,34.808,40.278,27.894
2,2019-06-04,23,25.48,32.295,39.466,24.666
2,2019-06-05,0,27.08,31.798,39.626,23.889
2,2019-06-05,1,24.96,30.555,39.626,22.639
2,2019-06-05,2,20.54,29.634,39.626,20.056
2,2019-06-05,3,19.17,28.973,39.626,20.718
2,2019-06-05,4,12.14,28.455,39.626,19.617
2,2019-06-05,5,25.14,31.933,39.626,23.397
2,2019-06-05,6,33.13,36.421,42.051,28.366
2,2019-06-05,7,35.38,38.56,44.19,28.366
2,2019-06-05,8,36.36,39.259,44.889,28.366
2,2019-06-05,9,36.28,39.282,44.912,28.366
2,2019-06-05,10,36.26,39.235,44.865,28.366
2,2019-06-05,11,36.09,38.914,44.544,28.366
2,2019-06-05,12,36.04,38.567,44.197,28.366
2,2019-06-05,13,35.47,38.235,43.865,28.366
2,2019-06-05,14,35.18,37.898,43.528,28.366
2,2019-06-05,15,34.77,37.42,43.05,28.366
2,2019-06-05,16,34.44,37.078,42.708,28.366
2,2019-06-05,17,34.6,37.476,43.106,28.366
2,2019-06-05,18,34.92,37.702,43.332,28.366
2,2019-06-05,19,34.81,37.76,43.39,28.366
2,2019-06-05,20,34.45,37.044,42.674,28.366
2,2019-06-05,21,34.04,36.487,42.117,28.366
2,2019-06-05,22,32.67,36.019,41.649,28.366
2,2019-06-05,23,28.48,34.365,39.995,27.862
2,2019-06-06,0,13.83,25.302,39.806,14.152
2,2019-06-06,1,10.21,24.333,39.806,10.934
2,2019-06-06,2,7.78,23.374,39.806,11.209
2,2019-06-06,3,7.18,22.83,39.806,9.099
2,2019-06-06,4,4.3,22.036,39.806,7.203
2,2019-06-06,5,9.03,25.765,39.806,14.227
2,2019-06-06,6,29.21,33.191,39.806,25.543
2,2019-06-06,7,31.13,36.3,42.11,28.186
2,2019-06-06,8,32.14,37.066,42.876,28.186
2,2019-06-06,9,32.21,36.943,42.753,28.186
2,2019-06-06,10,31.52,36.628,42.438,28.186
2,2019-06-06,11,31.04,36.261,42.071,28.186
2,2019-06-06,12,28.62,35.859,41.669,28.186
