Period,Date,Hour,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
77,2019-08-18,0,18084.75854246486,18658.150253363397,19231.54196426193,19804.933675160468,20378.325386059005,20951.717096957538,21525.108807856075,22098.50051875461,22671.892229653145,23245.28394055168,23818.675651450216,24392.067362348753,24965.459073247286,25538.850784145823,26112.24249504436,26685.634205942893,27259.02591684143,30338.862196662856,36463.42209223572,39147.6011857,40730.33739844286,41953.06916932571,42788.42817586709,43623.78718240848,44459.14618894986,45294.50519549124,46129.86420203263,46965.22320857401
77,2019-08-18,1,18301.082908227432,18840.794308097986,19380.505707968536,19920.21710783909,20459.92850770964,20999.639907580193,21539.351307450743,22079.062707321296,22618.774107191846,23158.4855070624,23698.19690693295,24237.908306803503,24777.619706674057,25317.331106544607,25857.042506415157,26396.75390628571,27435.967154177142,30588.976151245715,36891.725530017146,39572.033244337144,41169.868829508574,42405.61796797857,43252.66305145748,44099.70813493638,44946.75321841528,45793.79830189419,46640.8433853731,47487.888468852
77,2019-08-18,2,18561.544057594285,19100.574848648856,19639.605639703426,20178.636430757997,20717.667221812568,21256.698012867142,21795.728803921713,22334.759594976284,22873.790386030854,23412.821177085425,23951.851968139996,24490.882759194566,25029.91355024914,25568.944341303708,26107.975132358282,26647.005923412853,27668.880288602853,30824.500017162853,37128.72448833,39820.42099190286,41420.84668265143,42670.20984970715,43519.98134286354,44369.75283601993,45219.52432917632,46069.295822332715,46919.067315489105,47768.838808645494
77,2019-08-18,3,18580.084514278715,19117.983504968513,19655.882495658316,20193.781486348114,20731.680477037913,21269.579467727715,21807.478458417514,22345.377449107313,22883.276439797115,23421.175430486914,23959.074421176716,24496.973411866515,25034.872402556313,25572.771393246112,26110.670383935914,26648.569374625713,27671.735669519996,30833.908031047144,37136.74731742858,39810.092348157144,41402.88676988,42659.18068986001,43519.25566652126,44379.330643182504,45239.405619843754,46099.480596505,46959.555573166246,47819.630549827496
77,2019-08-18,4,18629.685781488006,19166.52721450538,19703.368647522748,20240.21008054012,20777.05151355749,21313.892946574862,21850.73437959223,22387.575812609604,22924.417245626973,23461.258678644346,23998.100111661715,24534.941544679088,25071.782977696457,25608.62441071383,26145.465843731203,26682.307276748572,27714.004788925715,30856.534471201423,37065.77464686286,39778.34687487714,41398.59044371429,42681.94170805715,43549.840802655795,44417.73989725443,45285.63899185308,46153.53808645172,47021.43718105036,47889.336275649
77,2019-08-18,5,18962.26146671915,19500.02500474692,20037.78854277469,20575.552080802463,21113.31561883023,21651.079156858003,22188.842694885774,22726.606232913546,23264.369770941317,23802.13330896909,24339.89684699686,24877.660385024632,25415.423923052404,25953.187461080175,26490.950999107943,27028.714537135715,28027.020084925713,31077.422500538578,36915.54257509285,39615.17284277142,41203.74112171429,42458.64408464999,43342.00490572499,44225.365726799995,45108.726547875,45992.08736895,46875.448190025,47758.809011100006
77,2019-08-18,6,18813.535070561997,19359.859977999768,19906.184885437542,20452.509792875313,20998.834700313084,21545.159607750855,22091.48451518863,22637.8094226264,23184.13433006417,23730.459237501942,24276.784144939716,24823.109052377487,25369.43395981526,25915.758867253033,26462.083774690804,27008.408682128575,27927.609104400002,30881.67606737143,36786.56254573571,39542.46918705713,41091.44966311857,42241.93320594,43132.67871065874,44023.4242153775,44914.16972009625,45804.915224815,46695.660729533745,47586.4062342525
77,2019-08-18,7,18489.686387749716,19062.242325347353,19634.798262944994,20207.35420054263,20779.91013814027,21352.46607573791,21925.022013335547,22497.577950933184,23070.133888530825,23642.689826128462,24215.245763726103,24787.80170132374,25360.357638921378,25932.913576519015,26505.469514116656,27078.025451714293,28098.625266514286,30962.861104674288,36677.94852911429,39440.06350381714,40981.16428670143,41910.17519577637,42839.18610485131,43768.19701392625,44697.20792300118,45626.21883207612,46555.22974115106,47484.240650226
77,2019-08-18,8,18737.984455767,19332.2314702852,19926.4784848034,20520.7254993216,21114.9725138398,21709.219528358,22303.466542876202,22897.7135573944,23491.9605719126,24086.2075864308,24680.454600949,25274.701615467202,25868.9486299854,26463.1956445036,27057.4426590218,27651.68967354,28710.73165536857,31524.347920620003,37210.57453461428,40007.76959474286,41532.656934657134,42456.29192629662,43379.92691793609,44303.561909575576,45227.19690121506,46150.83189285454,47074.46688449402,47998.1018761335
77,2019-08-18,9,18197.06142605657,18808.051411290893,19419.04139652522,20030.03138175954,20641.021366993868,21252.01135222819,21863.001337462516,22473.99132269684,23084.981307931164,23695.971293165487,24306.961278399813,24917.951263634135,25528.94124886846,26139.931234102783,26750.921219337106,27361.911204571432,28472.27543074,31501.449241724284,37643.86918008286,40504.88559707143,42056.49229737429,42972.12014080996,43887.74798424563,44803.3758276813,45719.00367111698,46634.63151455265,47550.259357988325,48465.887201424
