Period,Date,Hour,System Price,Forecast,Upper,Lower,Pos,Neg
1,2019-06-03,00:00:00,26.28,29.086,39.982,20.745,0,1
1,2019-06-03,01:00:00,23.25,28.116,39.982,17.997,0,1
1,2019-06-03,02:00:00,21.84,27.165,39.982,15.784,0,1
1,2019-06-03,03:00:00,20.08,26.531,39.982,15.641,0,1
1,2019-06-03,04:00:00,20.06,26.324,39.982,13.918,0,1
1,2019-06-04,01:00:00,24.31,27.66,40.142,17.742,0,1
1,2019-06-04,02:00:00,22.61,26.571,40.142,14.987,0,1
1,2019-06-04,03:00:00,20.61,25.983,40.142,14.381,0,1
1,2019-06-04,04:00:00,20.46,25.681,40.142,13.692,0,1
1,2019-06-04,23:00:00,25.48,32.725,40.142,24.771,0,1
1,2019-06-05,01:00:00,24.96,30.952,40.322,22.451,0,1
1,2019-06-05,02:00:00,20.54,29.909,40.322,21.896,0,1
1,2019-06-05,03:00:00,19.17,29.177,40.322,19.918,0,1
1,2019-06-05,04:00:00,12.14,28.849,40.322,19.332,0,1
1,2019-06-05,05:00:00,25.14,32.113,40.322,23.084,0,1
1,2019-06-06,00:00:00,13.83,25.538,40.472,14.085,0,1
1,2019-06-06,01:00:00,10.21,24.571,40.472,12.479,0,1
1,2019-06-06,02:00:00,7.78,23.49,40.472,8.959,0,1
1,2019-06-06,03:00:00,7.18,22.874,40.472,8.981,0,1
1,2019-06-06,04:00:00,4.3,22.216,40.472,7.16,0,1
1,2019-06-06,05:00:00,9.03,25.81,40.472,13.984,0,1
1,2019-06-06,16:00:00,25.6,34.499,40.472,27.876,0,1
1,2019-06-07,00:00:00,22.31,28.993,40.702,19.722,0,1
1,2019-06-07,01:00:00,19.93,27.271,40.702,16.708,0,1
1,2019-06-07,02:00:00,19.01,25.8,40.702,14.47,0,1
1,2019-06-07,03:00:00,19.07,25.014,40.702,12.83,0,1
1,2019-06-07,04:00:00,19.0,24.59,40.702,10.822,0,1
1,2019-06-08,00:00:00,14.44,31.14,40.872,23.099,0,1
1,2019-06-08,01:00:00,12.08,29.738,40.872,21.446,0,1
1,2019-06-08,02:00:00,10.61,28.059,40.872,18.857,0,1
1,2019-06-08,03:00:00,6.37,26.819,40.872,15.787,0,1
1,2019-06-08,04:00:00,3.98,25.223,40.872,12.34,0,1
1,2019-06-08,05:00:00,4.87,24.889,40.872,12.231,0,1
1,2019-06-08,06:00:00,4.69,26.998,40.872,14.47,0,1
1,2019-06-08,07:00:00,11.34,30.768,40.872,23.058,0,1
1,2019-06-08,08:00:00,15.03,33.57,40.872,26.752,0,1
1,2019-06-08,09:00:00,20.03,35.079,41.439,28.152,0,1
1,2019-06-08,10:00:00,20.04,35.13,41.49,28.121,0,1
1,2019-06-08,11:00:00,14.92,34.676,41.036,27.736,0,1
1,2019-06-08,12:00:00,14.16,33.759,40.872,26.663,0,1
1,2019-06-08,13:00:00,11.12,32.534,40.872,24.369,0,1
1,2019-06-08,14:00:00,9.57,30.925,40.872,23.18,0,1
1,2019-06-08,15:00:00,7.75,30.626,40.872,23.304,0,1
1,2019-06-08,16:00:00,8.57,31.619,40.872,23.074,0,1
1,2019-06-08,17:00:00,10.88,33.474,40.872,26.469,0,1
1,2019-06-08,18:00:00,11.02,34.75,41.11,28.152,0,1
1,2019-06-08,19:00:00,8.86,35.059,41.419,28.152,0,1
1,2019-06-08,20:00:00,5.36,34.073,40.872,27.056,0,1
1,2019-06-08,21:00:00,3.98,33.525,40.872,26.337,0,1
1,2019-06-08,22:00:00,3.02,33.506,40.872,25.697,0,1
1,2019-06-08,23:00:00,2.31,31.969,40.872,23.631,0,1
1,2019-06-09,00:00:00,13.61,30.435,41.032,22.046,0,1
1,2019-06-09,01:00:00,5.79,28.768,41.032,20.554,0,1
1,2019-06-09,02:00:00,3.82,26.924,41.032,15.749,0,1
1,2019-06-09,03:00:00,2.94,25.74,41.032,13.694,0,1
1,2019-06-09,04:00:00,2.47,24.23,41.032,11.038,0,1
1,2019-06-09,05:00:00,2.71,23.759,41.032,8.823,0,1
1,2019-06-09,06:00:00,2.56,25.676,41.032,14.271,0,1
1,2019-06-09,07:00:00,4.05,28.581,41.032,19.723,0,1
1,2019-06-09,08:00:00,13.26,31.241,41.032,23.011,0,1
1,2019-06-09,09:00:00,14.54,33.019,41.032,25.262,0,1
1,2019-06-09,10:00:00,13.94,33.602,41.032,26.245,0,1
1,2019-06-09,11:00:00,15.07,33.67,41.032,26.28,0,1
1,2019-06-09,12:00:00,15.95,33.295,41.032,26.005,0,1
1,2019-06-09,13:00:00,13.69,32.397,41.032,24.651,0,1
1,2019-06-09,14:00:00,12.26,31.033,41.032,23.274,0,1
1,2019-06-09,15:00:00,11.92,31.186,41.032,22.849,0,1
1,2019-06-09,16:00:00,18.33,32.421,41.032,24.406,0,1
1,2019-06-10,00:00:00,14.59,32.269,41.032,19.842,0,1
1,2019-06-10,01:00:00,4.53,30.722,40.862,19.095,0,1
1,2019-06-10,02:00:00,4.31,28.712,40.862,14.978,0,1
1,2019-06-10,03:00:00,4.11,27.41,40.862,13.66,0,1
1,2019-06-10,04:00:00,3.79,25.458,40.862,10.558,0,1
1,2019-06-10,05:00:00,9.66,25.281,40.862,9.485,0,1
1,2019-06-11,03:00:00,19.46,26.436,40.962,12.293,0,1
1,2019-06-11,04:00:00,16.05,26.144,40.962,11.144,0,1
1,2019-06-12,03:00:00,19.31,29.69,41.052,16.885,0,1
1,2019-06-12,04:00:00,16.81,29.372,41.052,15.537,0,1
1,2019-06-13,02:00:00,18.93,24.541,41.112,7.191,0,1
1,2019-06-13,03:00:00,19.06,23.918,41.112,7.474,0,1
1,2019-06-13,04:00:00,18.15,23.28,41.112,6.054,0,1
2,2019-06-04,01:00:00,24.31,27.345,39.466,17.762,0,1
2,2019-06-04,02:00:00,22.61,26.378,39.466,15.905,0,1
2,2019-06-04,03:00:00,20.61,25.86,39.466,14.802,0,1
2,2019-06-04,04:00:00,20.46,25.39,39.466,13.33,0,1
2,2019-06-04,23:00:00,25.48,32.295,39.466,24.666,0,1
2,2019-06-05,01:00:00,24.96,30.555,39.626,22.639,0,1
2,2019-06-05,02:00:00,20.54,29.634,39.626,20.056,0,1
2,2019-06-05,03:00:00,19.17,28.973,39.626,20.718,0,1
2,2019-06-05,04:00:00,12.14,28.455,39.626,19.617,0,1
2,2019-06-05,05:00:00,25.14,31.933,39.626,23.397,0,1
2,2019-06-06,00:00:00,13.83,25.302,39.806,14.152,0,1
2,2019-06-06,01:00:00,10.21,24.333,39.806,10.934,0,1
2,2019-06-06,02:00:00,7.78,23.374,39.806,11.209,0,1
2,2019-06-06,03:00:00,7.18,22.83,39.806,9.099,0,1
2,2019-06-06,04:00:00,4.3,22.036,39.806,7.203,0,1
2,2019-06-06,05:00:00,9.03,25.765,39.806,14.227,0,1
2,2019-06-06,16:00:00,25.6,34.234,40.044,28.081,0,1
2,2019-06-07,00:00:00,22.31,28.676,39.956,19.534,0,1
2,2019-06-07,01:00:00,19.93,26.965,39.956,16.125,0,1
2,2019-06-07,02:00:00,19.01,25.627,39.956,14.995,0,1
2,2019-06-07,03:00:00,19.07,24.915,39.956,13.813,0,1
2,2019-06-07,04:00:00,19.0,24.334,39.956,11.302,0,1
2,2019-06-08,00:00:00,14.44,30.786,40.186,22.56,0,1
2,2019-06-08,01:00:00,12.08,29.379,40.186,21.311,0,1
2,2019-06-08,02:00:00,10.61,27.834,40.186,18.686,0,1
2,2019-06-08,03:00:00,6.37,26.676,40.186,16.846,0,1
2,2019-06-08,04:00:00,3.98,24.952,40.186,13.236,0,1
2,2019-06-08,05:00:00,4.87,24.868,40.186,12.683,0,1
2,2019-06-08,06:00:00,4.69,26.745,40.186,17.002,0,1
2,2019-06-08,07:00:00,11.34,30.39,40.186,23.104,0,1
2,2019-06-08,08:00:00,15.03,33.235,40.186,25.669,0,1
2,2019-06-08,09:00:00,20.03,34.781,40.971,27.806,0,1
2,2019-06-08,10:00:00,20.04,34.883,41.073,27.806,0,1
2,2019-06-08,11:00:00,14.92,34.308,40.498,27.546,0,1
2,2019-06-08,12:00:00,14.16,33.389,40.186,25.959,0,1
