Class,MAE,MAPE
s -10,2319.6860872846287,9.775715795718302
s -4,2393.375597018722,9.762136658120843
s -1,2428.5695397503737,9.776327518715469
s 0,2624.7444580111246,10.45913404266305
s 1,3493.6148988434393,12.42967647854298
s 3,3619.2121466727717,12.031299524448837
s 5,3843.3454909442403,12.039670034380348
s 8,3607.3598736602903,10.770217581244193
s 12,3390.1129898419485,9.614450463158997
s 15,3141.519216185049,8.609078389550168
s 19,3011.233694546194,8.056001412438649
s 22,2942.5120505189257,7.747926308931907
s 24,2882.8949448005696,7.474095423958619
s 26,2906.5811655474154,7.435834174270251
s 28,3013.9180704789032,7.6237756955751905
s 30,3139.6491770112607,7.822812048280129
s 32,3272.246557030932,8.048262753946757
s 35,3382.753328500203,8.054068346097363
s 39,3157.496480209605,6.9488844511880306
s 42,2854.5422781847783,5.904418654401613
s 46,2775.050011277303,5.574782744772757
s 51,2830.0546976326136,5.601388459227281
s 56,2870.4889283170537,5.656569169494464
s 66,2915.841991588658,5.703390565275747
s 75,3054.5615575396823,5.960849726018992
s 105,3146.091031746032,6.098924893929134
s 165,3113.6334000644415,5.973490571442366
s 210,3318.4409205840457,6.346729690052281
