Period,Start,MAE,MAPE
1,2019-06-03,3332.19,9.53
2,2019-06-04,3304.58,9.52
3,2019-06-05,3188.50,9.27
4,2019-06-06,3013.44,8.84
5,2019-06-07,2834.70,8.42
6,2019-06-08,2585.40,7.76
7,2019-06-09,2264.79,6.84
8,2019-06-10,1879.76,5.63
9,2019-06-11,1700.25,5.04
10,2019-06-12,1692.28,4.91
11,2019-06-13,1687.92,4.81
12,2019-06-14,1644.52,4.68
13,2019-06-15,1642.53,4.65
14,2019-06-16,1592.07,4.51
15,2019-06-17,1550.01,4.45
16,2019-06-18,1609.70,4.63
17,2019-06-19,1636.87,4.74
18,2019-06-20,1708.82,4.98
19,2019-06-21,1670.68,4.89
20,2019-06-22,1659.26,4.85
21,2019-06-23,1668.72,4.88
22,2019-06-24,1696.78,4.99
23,2019-06-25,1777.54,5.24
24,2019-06-26,1881.06,5.55
25,2019-06-27,1947.08,5.77
26,2019-06-28,2020.36,6.01
27,2019-06-29,2237.10,6.69
28,2019-06-30,2456.74,7.48
29,2019-07-01,2777.39,8.55
30,2019-07-02,3186.55,9.80
31,2019-07-03,3658.44,11.27
32,2019-07-04,4256.19,13.12
33,2019-07-05,4627.23,14.33
34,2019-07-06,4934.08,15.41
35,2019-07-07,4945.53,15.60
36,2019-07-08,4970.14,15.73
37,2019-07-09,4815.57,15.28
38,2019-07-10,4561.84,14.59
39,2019-07-11,4168.03,13.46
40,2019-07-12,3717.41,12.03
41,2019-07-13,3295.29,10.68
42,2019-07-14,2861.23,9.33
43,2019-07-15,2436.33,8.07
44,2019-07-16,2185.58,7.28
45,2019-07-17,2085.05,6.91
46,2019-07-18,1995.10,6.66
47,2019-07-19,1998.10,6.66
48,2019-07-20,1983.42,6.66
49,2019-07-21,2018.72,6.77
50,2019-07-22,2071.23,6.98
51,2019-07-23,2124.48,7.19
52,2019-07-24,2099.98,7.30
53,2019-07-25,2037.21,7.25
54,2019-07-26,1914.91,6.94
55,2019-07-27,1868.78,6.79
56,2019-07-28,1906.34,6.94
57,2019-07-29,2021.72,7.27
58,2019-07-30,2035.44,7.37
59,2019-07-31,2086.79,7.53
60,2019-08-01,2253.40,8.06
61,2019-08-02,2493.78,8.89
62,2019-08-03,2729.55,9.75
63,2019-08-04,3028.79,10.78
64,2019-08-05,3250.96,11.54
65,2019-08-06,3462.58,12.16
66,2019-08-07,3679.56,12.77
67,2019-08-08,3744.67,12.89
68,2019-08-09,3585.61,12.28
69,2019-08-10,3577.09,12.27
70,2019-08-11,3197.94,11.13
71,2019-08-12,2644.20,9.33
72,2019-08-13,2380.11,8.38
73,2019-08-14,2123.13,7.39
74,2019-08-15,1876.44,6.38
75,2019-08-16,1713.42,5.68
76,2019-08-17,1633.59,5.26
77,2019-08-18,1630.93,5.17
78,2019-08-19,1666.87,5.34
79,2019-08-20,1659.32,5.25
80,2019-08-21,1735.21,5.40
81,2019-08-22,1836.41,5.76
82,2019-08-23,1913.19,6.08
83,2019-08-24,2009.70,6.39
84,2019-08-25,1976.54,6.32
85,2019-08-26,1948.93,6.17
86,2019-08-27,1872.99,6.03
87,2019-08-28,1826.37,6.06
88,2019-08-29,1916.88,6.47
89,2019-08-30,2139.54,7.14
90,2019-08-31,2376.03,7.78
91,2019-09-01,2611.50,8.48
92,2019-09-02,3038.18,9.62
93,2019-09-03,3253.74,10.13
94,2019-09-04,3321.26,10.31
95,2019-09-05,3198.17,9.95
96,2019-09-06,3019.85,9.43
97,2019-09-07,2915.85,9.12
98,2019-09-08,2925.59,9.20
99,2019-09-09,3048.24,9.66
100,2019-09-10,3302.21,10.52
101,2019-09-11,3254.47,10.45
102,2019-09-12,3137.63,10.15
103,2019-09-13,2898.08,9.45
104,2019-09-14,2626.59,8.62
105,2019-09-15,2352.41,7.68
106,2019-09-16,1740.43,5.69
107,2019-09-17,1610.63,5.14
108,2019-09-18,1663.76,5.28
109,2019-09-19,1811.93,5.75
110,2019-09-20,1838.70,5.91
111,2019-09-21,1909.69,6.17
112,2019-09-22,1863.03,6.02
113,2019-09-23,1852.66,5.97
114,2019-09-24,1969.95,6.40
115,2019-09-25,2189.09,7.15
116,2019-09-26,2394.26,7.88
117,2019-09-27,2533.00,8.44
118,2019-09-28,2729.59,9.11
119,2019-09-29,2572.71,8.66
120,2019-09-30,2497.92,8.38
121,2019-10-01,2358.56,7.86
122,2019-10-02,2120.18,6.90
123,2019-10-03,1975.13,6.20
124,2019-10-04,1835.08,5.72
125,2019-10-05,1779.01,5.48
126,2019-10-06,1673.06,5.19
127,2019-10-07,1623.28,5.04
128,2019-10-08,1523.67,4.81
129,2019-10-09,1580.43,4.92
130,2019-10-10,1567.51,4.89
131,2019-10-11,1603.89,5.00
132,2019-10-12,1849.80,5.65
133,2019-10-13,2049.73,6.23
134,2019-10-14,2217.06,6.79
135,2019-10-15,2347.83,7.21
136,2019-10-16,2660.96,8.27
137,2019-10-17,3020.11,9.42
138,2019-10-18,3295.21,10.22
139,2019-10-19,3667.46,11.24
140,2019-10-20,3846.46,11.67
141,2019-10-21,3861.94,11.60
142,2019-10-22,3973.41,11.86
143,2019-10-23,3445.76,10.32
144,2019-10-24,3163.16,9.48
145,2019-10-25,3075.00,9.21
146,2019-10-26,2475.97,7.53
147,2019-10-27,2146.00,6.55
148,2019-10-28,2054.84,6.27
149,2019-10-29,2068.21,6.28
150,2019-10-30,2185.18,6.65
151,2019-10-31,2190.06,6.66
152,2019-11-01,2217.61,6.63
153,2019-11-02,2216.76,6.63
154,2019-11-03,2230.37,6.61
155,2019-11-04,2234.25,6.52
156,2019-11-05,2191.87,6.32
157,2019-11-06,2110.85,6.16
158,2019-11-07,1990.98,5.92
159,2019-11-08,1879.23,5.62
160,2019-11-09,1981.36,6.09
161,2019-11-10,2179.96,6.74
162,2019-11-11,2339.11,7.15
163,2019-11-12,2294.93,7.00
164,2019-11-13,2119.34,6.44
165,2019-11-14,2150.34,6.50
166,2019-11-15,2358.27,7.18
167,2019-11-16,2399.08,7.15
168,2019-11-17,2534.58,7.47
169,2019-11-18,2844.44,8.30
170,2019-11-19,3201.47,9.25
171,2019-11-20,3374.67,9.66
172,2019-11-21,3633.68,10.35
173,2019-11-22,3847.97,10.86
174,2019-11-23,3947.27,11.07
175,2019-11-24,3880.17,10.83
176,2019-11-25,3889.42,10.77
177,2019-11-26,4104.87,11.31
178,2019-11-27,4419.24,12.12
179,2019-11-28,4499.37,12.21
180,2019-11-29,4409.96,11.98
181,2019-11-30,4204.05,11.39
182,2019-12-01,4133.29,11.18
183,2019-12-02,3830.49,10.39
