Period,Start,MAE,MAPE
1,2019-06-03,1399.89,3.77
2,2019-06-04,1355.94,3.68
3,2019-06-05,1239.93,3.42
4,2019-06-06,1083.01,3.02
5,2019-06-07,905.26,2.60
6,2019-06-08,712.06,2.06
7,2019-06-09,491.76,1.42
8,2019-06-10,567.74,1.61
9,2019-06-11,748.87,2.16
10,2019-06-12,999.11,2.88
11,2019-06-13,1268.39,3.64
12,2019-06-14,1272.22,3.69
13,2019-06-15,1279.97,3.72
14,2019-06-16,1212.59,3.59
15,2019-06-17,938.12,2.86
16,2019-06-18,767.81,2.35
17,2019-06-19,698.63,2.07
18,2019-06-20,816.28,2.11
19,2019-06-21,864.68,2.19
20,2019-06-22,950.04,2.41
21,2019-06-23,927.10,2.39
22,2019-06-24,939.95,2.43
23,2019-06-25,968.79,2.45
24,2019-06-26,917.84,2.29
25,2019-06-27,732.48,1.95
26,2019-06-28,655.31,2.03
27,2019-06-29,671.66,2.22
28,2019-06-30,1267.20,3.83
29,2019-07-01,1891.37,5.49
30,2019-07-02,2812.56,7.93
31,2019-07-03,3640.19,10.08
32,2019-07-04,4483.34,12.23
33,2019-07-05,4924.04,13.38
34,2019-07-06,5249.51,14.23
35,2019-07-07,5275.78,14.42
36,2019-07-08,5328.57,14.62
37,2019-07-09,5206.93,14.43
38,2019-07-10,4992.37,14.09
39,2019-07-11,4561.55,13.14
40,2019-07-12,3980.76,11.64
41,2019-07-13,3450.48,10.28
42,2019-07-14,2823.46,8.52
43,2019-07-15,2262.67,7.01
44,2019-07-16,1917.09,6.05
45,2019-07-17,1737.97,5.47
46,2019-07-18,1507.47,4.73
47,2019-07-19,1471.28,4.57
48,2019-07-20,1409.07,4.36
49,2019-07-21,1487.75,4.64
50,2019-07-22,1499.34,4.66
51,2019-07-23,1509.59,4.63
52,2019-07-24,1217.16,3.60
53,2019-07-25,946.89,2.75
54,2019-07-26,703.99,2.04
55,2019-07-27,605.19,1.71
56,2019-07-28,415.94,1.17
57,2019-07-29,299.10,0.92
58,2019-07-30,386.10,1.49
59,2019-07-31,488.38,1.89
60,2019-08-01,621.13,2.40
61,2019-08-02,970.50,3.73
62,2019-08-03,1425.00,5.37
63,2019-08-04,1938.87,7.26
64,2019-08-05,2316.49,8.63
65,2019-08-06,2631.49,9.71
66,2019-08-07,2908.09,10.65
67,2019-08-08,3034.08,10.99
68,2019-08-09,2911.78,10.40
69,2019-08-10,2856.04,10.13
70,2019-08-11,2318.78,8.08
71,2019-08-12,1648.44,5.65
72,2019-08-13,1207.10,4.16
73,2019-08-14,784.51,2.68
74,2019-08-15,461.03,1.41
75,2019-08-16,581.18,1.79
76,2019-08-17,753.19,2.35
77,2019-08-18,863.20,2.67
78,2019-08-19,704.17,2.13
79,2019-08-20,783.28,2.35
80,2019-08-21,931.34,2.73
81,2019-08-22,896.63,2.56
82,2019-08-23,828.61,2.36
83,2019-08-24,849.34,2.42
84,2019-08-25,782.14,2.29
85,2019-08-26,830.15,2.47
86,2019-08-27,708.32,2.21
87,2019-08-28,517.15,1.75
88,2019-08-29,750.25,2.47
89,2019-08-30,1080.71,3.40
90,2019-08-31,1405.51,4.40
91,2019-09-01,1703.51,5.33
92,2019-09-02,2194.54,6.93
93,2019-09-03,2396.96,7.57
94,2019-09-04,2409.65,7.61
95,2019-09-05,2170.21,6.75
96,2019-09-06,1866.49,5.68
97,2019-09-07,1641.07,4.89
98,2019-09-08,1783.17,5.45
99,2019-09-09,2269.66,7.21
100,2019-09-10,2690.20,8.72
101,2019-09-11,2650.13,8.66
102,2019-09-12,2520.41,8.26
103,2019-09-13,2252.62,7.37
104,2019-09-14,1902.68,6.14
105,2019-09-15,1446.64,4.45
106,2019-09-16,448.38,1.22
107,2019-09-17,910.07,3.04
108,2019-09-18,1387.45,4.57
109,2019-09-19,1523.99,4.93
110,2019-09-20,1619.25,5.05
111,2019-09-21,1593.70,4.86
112,2019-09-22,1402.00,4.13
113,2019-09-23,1192.71,3.31
114,2019-09-24,1102.13,3.13
115,2019-09-25,1489.18,4.65
116,2019-09-26,1764.95,5.78
117,2019-09-27,1893.04,6.45
118,2019-09-28,2143.98,7.40
119,2019-09-29,1893.62,6.60
120,2019-09-30,1623.70,5.73
121,2019-10-01,1298.64,4.56
122,2019-10-02,704.52,2.43
123,2019-10-03,610.78,1.69
