Period,Date,Curve Demand,Demand Forecast,Error,AE,APE
1,2019-01-01,954480.0,973486.56,-19006.56,19006.56,1.99
1,2019-01-02,1152210.0,1210013.84,-57803.84,57803.84,5.02
1,2019-01-03,1256630.0,1210086.82,46543.18,46543.18,3.7
1,2019-01-04,1162270.0,1111739.35,50530.65,50530.65,4.35
1,2019-01-05,1109220.0,1057426.12,51793.88,51793.88,4.67
1,2019-01-06,1126010.0,1041759.79,84250.21,84250.21,7.48
1,2019-01-07,1209240.0,1147286.2,61953.8,61953.8,5.12
1,2019-01-08,1158040.0,1031331.13,126708.87,126708.87,10.94
1,2019-01-09,1193920.0,1159071.45,34848.55,34848.55,2.92
1,2019-01-10,1275630.0,1173136.01,102493.99,102493.99,8.03
1,2019-01-11,1154460.0,1148126.58,6333.42,6333.42,0.55
1,2019-01-12,1104290.0,1096216.03,8073.97,8073.97,0.73
1,2019-01-13,1109540.0,1098753.08,10786.92,10786.92,0.97
1,2019-01-14,1186360.0,1274309.9,-87949.9,87949.9,7.41
