,ARIMA,AIC
0,"(0, 0, 0)",4622.61716096549
1,"(0, 0, 1)",3865.7002881227017
2,"(0, 0, 2)",3865.8048392525548
3,"(0, 0, 3)",3871.505876227615
4,"(0, 0, 4)",3887.1931090383277
5,"(0, 1, 0)",3874.9734472824266
6,"(0, 1, 1)",3838.2852012127632
7,"(0, 1, 2)",3820.4094275483217
8,"(0, 1, 3)",3824.069306654951
9,"(0, 1, 4)",3820.139172357962
10,"(0, 2, 0)",4020.6630189473226
11,"(0, 2, 1)",3822.922540467076
12,"(0, 2, 2)",3773.304437078161
13,"(0, 2, 3)",3775.2993673868077
14,"(0, 2, 4)",3776.99986695386
15,"(0, 3, 0)",4166.719671818776
16,"(0, 3, 1)",3927.407370744472
17,"(0, 3, 2)",3740.622142933097
18,"(0, 3, 3)",3718.9497824672562
19,"(0, 3, 4)",3718.1441840986963
20,"(0, 4, 0)",4308.825819843835
21,"(0, 4, 1)",4061.708567972705
22,"(0, 4, 2)",3852.934591945206
23,"(0, 4, 3)",3718.483962088961
24,"(0, 4, 4)",3738.541451510541
25,"(1, 0, 0)",3839.8230389367136
26,"(1, 0, 1)",3858.2845501869083
27,"(1, 0, 2)",3831.851902323237
28,"(1, 0, 3)",3831.671112390256
29,"(1, 0, 4)",3832.852018289848
30,"(1, 1, 0)",3844.9437427307685
31,"(1, 1, 1)",3845.2995137943653
32,"(1, 1, 2)",3822.4133544268175
33,"(1, 1, 3)",3821.2093415169684
34,"(1, 1, 4)",3820.871039718835
35,"(1, 2, 0)",3929.2623108784014
36,"(1, 2, 1)",3785.9916975788065
37,"(1, 2, 2)",3775.2987540866866
38,"(1, 2, 3)",3776.089953427411
39,"(1, 2, 4)",3777.9538595291406
40,"(1, 3, 0)",4022.411141248484
41,"(1, 3, 1)",3839.8315008180853
42,"(1, 3, 2)",3733.6206596480297
43,"(1, 3, 3)",3743.533160384192
44,"(1, 3, 4)",3739.377693587222
45,"(1, 4, 0)",4147.374873977457
46,"(1, 4, 1)",3964.4561665134443
47,"(1, 4, 2)",3815.5765481063845
48,"(1, 4, 3)",3855.7136693360367
49,"(1, 4, 4)",3723.693523278408
50,"(2, 0, 0)",3841.35944949549
51,"(2, 0, 1)",3861.1084319018037
52,"(2, 0, 2)",3828.6104491326273
53,"(2, 0, 3)",3839.067582215125
54,"(2, 0, 4)",3863.3225533453397
55,"(2, 1, 0)",3848.2484214696115
56,"(2, 1, 1)",3814.654850605554
57,"(2, 1, 2)",3821.7186647393796
58,"(2, 1, 3)",3847.337411542335
59,"(2, 1, 4)",3844.637002790523
60,"(2, 2, 0)",3871.135223396033
61,"(2, 2, 1)",3779.4690265575923
62,"(2, 2, 2)",3771.520440407693
63,"(2, 2, 3)",3777.9187245808844
64,"(2, 2, 4)",3779.5477283795826
65,"(2, 3, 0)",3919.1632979709448
66,"(2, 3, 1)",3788.379413854592
67,"(2, 3, 2)",3721.7279134556748
68,"(2, 3, 3)",3729.5957149870123
69,"(2, 3, 4)",3735.2911812496513
70,"(2, 4, 0)",4016.906022931261
71,"(2, 4, 1)",3902.285033366592
72,"(2, 4, 2)",3779.095380979386
73,"(2, 4, 3)",3772.089606696203
74,"(2, 4, 4)",3765.093420151065
75,"(3, 0, 0)",3856.191340790773
76,"(3, 0, 1)",3859.021999623681
77,"(3, 0, 2)",3845.2428489931212
78,"(3, 0, 3)",3862.7958631784654
79,"(3, 0, 4)",3863.57327980703
80,"(3, 1, 0)",3855.8492093912014
81,"(3, 1, 1)",3812.4792563709707
82,"(3, 1, 2)",3812.5046768458824
83,"(3, 1, 3)",3811.5516530008726
84,"(3, 1, 4)",3838.6776518428755
85,"(3, 2, 0)",3863.2235974795462
86,"(3, 2, 1)",3779.8848406307197
87,"(3, 2, 2)",3793.0269975680003
88,"(3, 2, 3)",3769.367933993036
89,"(3, 2, 4)",3785.2590664208305
90,"(3, 3, 0)",3893.5581221871125
91,"(3, 3, 1)",3802.3055867655335
92,"(3, 3, 2)",3799.1864450078
93,"(3, 3, 3)",3728.7850147402132
94,"(3, 3, 4)",3732.5413795825625
95,"(3, 4, 0)",3980.8051000841087
96,"(3, 4, 1)",3894.428263379275
97,"(3, 4, 2)",3771.4136366249813
98,"(3, 4, 3)",3792.785972396813
99,"(3, 4, 4)",3796.199692467183
100,"(4, 0, 0)",3865.6733906892387
101,"(4, 0, 1)",3865.908702003291
102,"(4, 0, 2)",3835.351995804912
103,"(4, 0, 3)",3865.6858875547855
104,"(4, 0, 4)",3850.610481196588
105,"(4, 1, 0)",3851.3448828933992
106,"(4, 1, 1)",3850.9375032451608
107,"(4, 1, 2)",3835.860750869384
108,"(4, 1, 3)",3848.9461910250775
109,"(4, 1, 4)",3834.838074141649
110,"(4, 2, 0)",3834.952822586267
111,"(4, 2, 1)",3774.011671903607
112,"(4, 2, 2)",3775.687679244609
113,"(4, 2, 3)",3781.5022411842583
114,"(4, 2, 4)",3773.5411910055727
115,"(4, 3, 0)",3863.232672679562
116,"(4, 3, 1)",3768.8915536228624
117,"(4, 3, 2)",3719.020681490506
118,"(4, 3, 3)",3804.24248625963
119,"(4, 3, 4)",3727.955212146127
120,"(4, 4, 0)",3955.1966577839626
121,"(4, 4, 1)",3860.536449168077
122,"(4, 4, 2)",3869.90510164262
123,"(4, 4, 3)",3891.4856305994963
124,"(4, 4, 4)",3785.0629357178095
