Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14
400.901,-4186.94,483.953,3021.05,-107.343,2424.51,836.153,4564.36,60.2917,3662.9,927.852,-1149.45,1698.83,-3035.33
572.209,-3589.25,709.046,1798.73,181.443,2433.33,864.64,4593.53,218.447,3934.08,252.614,-697.95,1841.38,-2765.3
217.767,-3260.35,837.809,1750.86,348.436,2448.15,898.464,4539,413.77,4157.99,676.539,-272.642,1936.78,-2695.44
40.736,-2962.06,853.053,1610.48,481.155,2357.62,1063.79,4631.37,547.446,4335.84,622.036,69.2336,1945.05,-2533.25
17.4706,-2957.98,927.433,1334.62,571.479,2325.42,1193.96,4777.84,637.872,4414.74,718.76,186.48,1871.6,-2511.05
79.006,-3488.01,587.463,814.915,546.375,2314.87,1274.14,4801.03,391.361,4247.11,84.6871,156.004,1726.29,-2776.31
245.248,-5536.47,-810.695,1077.23,244.391,2300.36,4299.34,4110.6,-615.8,5436.82,990.083,169.46,1779.62,-4886.45
109.524,-6247.84,-150.47,2973.62,55.3454,2408.68,4992.85,5705.56,-195.708,5089.02,1626.65,328.027,2169.67,-2635.8
-375.943,-5699.07,2152.51,3463.3,-253.021,2760.08,5417.47,6011.12,758.289,4823.74,2563.48,-29.2377,1804.8,-2912.81
-1132.5,-5076.87,2458.29,3510.66,-244.908,5578.2,5514.2,5732.54,751.931,5168.56,2337.48,-294.222,1405.25,-4097.73
-1577.59,-4470.48,2356.85,3686.83,-20.093,5678.53,5438.42,5825.72,996.624,5232.14,2434.63,34.5882,1038.55,-3948.54
-1548.34,-4088.43,2993.54,3357.55,599.796,5746.6,5629.82,5759.18,1109.61,5321.14,2318.94,-24.275,723.529,-4556.2
-900.914,-3656.34,3117.55,2046.11,1768.69,5933.36,5610.89,5407.18,616.895,5343.55,1651.01,282.671,752.83,-4950.35
-468.395,-3454.99,3379.45,1990.01,2891.2,5861.13,5381.96,5541.09,566.999,5106.22,644.655,45.8454,857.255,-4905.36
-199.565,-3126.06,3495.11,1800.76,3515.92,4227.88,5022.4,5964.18,911.021,4938.92,-603.677,189.607,575.245,-4645.3
-386.463,-923.274,3165.69,2492.5,4720.91,3600.36,3649.24,6054.86,1179.95,4785.7,-1459.03,441.551,-128.118,-4207.4
-1478.12,565.606,2567.8,3405.43,5729.68,4221.51,3258.57,6208.36,2607.09,4496.43,-1643.8,480.547,-849.901,-3025.66
-2347.16,600.71,2413.72,3754.63,4967.57,4107.23,2489.72,5756.67,3004.37,3916.42,-910.273,931.324,-1667.17,-3265.71
-2712.89,950.616,3058.87,3713.07,5211.77,3768.93,153.195,5531.8,3077.6,3678.61,-1753.55,320.942,-1827.37,-3823.85
-2607.45,800.338,3346.68,2782.97,5241.97,3467.45,-216.982,5130.01,4263.96,3540.12,-1490.02,332.231,-1791.29,-3753.76
-2227.59,1245.09,3139.75,591.236,5061.2,3427.82,-301.368,5084.6,4001.6,3458.9,-1400.82,755.697,-1770.63,-3590.45
-1568.84,387.433,2780.61,-513.961,4399.01,3280.5,-538.571,5199.58,3284.06,2948.66,-1166.15,1527.96,-1390.78,-4863.09
-1164.45,844.491,2590.08,-240.404,3504.62,2029.17,-197.357,5164.61,2898.69,2580.26,-776.667,1843.45,-1295.3,-4163.15
8.22813,-471.807,89.2576,311.153,2381.79,1546.49,219.105,4614.94,3367.34,1875.6,-304.914,2446.33,-614.984,-3400.88
-4186.94,483.953,3021.05,-107.343,2424.51,836.153,2639.65,60.2917,3662.9,927.852,-1149.45,1698.83,-3035.33,3006.99
-3589.25,709.046,1798.73,181.443,2433.33,864.64,2714.19,218.447,3934.08,252.614,-697.95,1841.38,-2765.3,3207.54
-3260.35,837.809,1750.86,348.436,2448.15,898.464,2677.93,413.77,4157.99,676.539,-272.642,1936.78,-2695.44,3361.3
-2962.06,853.053,1610.48,481.155,2357.62,1063.79,2771.99,547.446,4335.84,622.036,69.2336,1945.05,-2533.25,3657.92
-2957.98,927.433,1334.62,571.479,2325.42,1193.96,2880.88,637.872,4414.74,718.76,186.48,1871.6,-2511.05,3744.68
-3488.01,587.463,814.915,546.375,2314.87,1274.14,2784.07,391.361,4247.11,84.6871,156.004,1726.29,-2776.31,3697.83
-5536.47,-810.695,1077.23,244.391,2300.36,4299.34,1870.54,-615.8,5436.82,990.083,169.46,1779.62,-4886.45,3746.76
-6247.84,-150.47,2973.62,55.3454,2408.68,4992.85,3254.28,-195.708,5089.02,1626.65,328.027,2169.67,-2635.8,5280.46
-5699.07,2152.51,3463.3,-253.021,2760.08,5417.47,3508.96,758.289,4823.74,2563.48,-29.2377,1804.8,-2912.81,6845.01
-5076.87,2458.29,3510.66,-244.908,5578.2,5514.2,3239.84,751.931,5168.56,2337.48,-294.222,1405.25,-4097.73,7318.24
-4470.48,2356.85,3686.83,-20.093,5678.53,5438.42,3337.34,996.624,5232.14,2434.63,34.5882,1038.55,-3948.54,6760.98
-4088.43,2993.54,3357.55,599.796,5746.6,5629.82,3280,1109.61,5321.14,2318.94,-24.275,723.529,-4556.2,6214.52
-3656.34,3117.55,2046.11,1768.69,5933.36,5610.89,2948.95,616.895,5343.55,1651.01,282.671,752.83,-4950.35,5600.31
-3454.99,3379.45,1990.01,2891.2,5861.13,5381.96,3091.62,566.999,5106.22,644.655,45.8454,857.255,-4905.36,5631.32
-3126.06,3495.11,1800.76,3515.92,4227.88,5022.4,3509.62,911.021,4938.92,-603.677,189.607,575.245,-4645.3,4856.05
-923.274,3165.69,2492.5,4720.91,3600.36,3649.24,3578.08,1179.95,4785.7,-1459.03,441.551,-128.118,-4207.4,4400.37
565.606,2567.8,3405.43,5729.68,4221.51,3258.57,3701.54,2607.09,4496.43,-1643.8,480.547,-849.901,-3025.66,4607.97
600.71,2413.72,3754.63,4967.57,4107.23,2489.72,3233.99,3004.37,3916.42,-910.273,931.324,-1667.17,-3265.71,5094.15
950.616,3058.87,3713.07,5211.77,3768.93,153.195,3036.58,3077.6,3678.61,-1753.55,320.942,-1827.37,-3823.85,4600.46
800.338,3346.68,2782.97,5241.97,3467.45,-216.982,2686.5,4263.96,3540.12,-1490.02,332.231,-1791.29,-3753.76,4840.27
1245.09,3139.75,591.236,5061.2,3427.82,-301.368,2725.97,4001.6,3458.9,-1400.82,755.697,-1770.63,-3590.45,4808.45
