Period,Date,Curve Demand,Demand Forecast,Error,AE,APE
1,2018-08-11,728053.0,730495.36,-2442.36,2442.36,0.34
1,2018-08-12,726917.0,735747.1,-8830.1,8830.1,1.21
1,2018-08-13,840751.0,837265.86,3485.14,3485.14,0.41
1,2018-08-14,865113.0,856774.92,8338.08,8338.08,0.96
1,2018-08-15,867732.0,851171.63,16560.37,16560.37,1.91
1,2018-08-16,859026.0,823224.84,35801.16,35801.16,4.17
1,2018-08-17,846495.0,836741.65,9753.35,9753.35,1.15
1,2018-08-18,756086.0,734613.41,21472.59,21472.59,2.84
1,2018-08-19,740099.0,733352.73,6746.27,6746.27,0.91
1,2018-08-20,864296.0,861091.66,3204.34,3204.34,0.37
1,2018-08-21,876939.0,861867.02,15071.98,15071.98,1.72
1,2018-08-22,873133.0,841367.83,31765.17,31765.17,3.64
1,2018-08-23,869132.0,813843.37,55288.63,55288.63,6.36
1,2018-08-24,836903.0,825173.7,11729.3,11729.3,1.4
