Date,From demand,From temp,Diff,Weekend,Factor
2014-07-01,851125,12.4,6.1,0,0.946929
2014-07-02,858537,13.2,8.7,0,0.917893
2014-07-03,844448,12.6,9.42,0,0.945135
2014-07-04,831838,13.56,5.64,0,0.952264
2014-07-05,731227,17.14,2.08,1,0.99193
2014-07-06,684868,18.28,1.08,1,0.981363
2014-07-07,819338,18.64,0.62,0,0.970436
2014-07-08,805955,18.5,-0.76,0,0.996665
2014-07-09,788045,21.9,-5.9,0,1.03794
2014-07-10,798117,22.02,-6.44,0,1.0189
2014-07-11,792129,19.2,-4.22,0,1.01201
2014-07-12,725326,19.22,-1.82,1,0.972335
2014-07-13,672104,19.36,1.02,1,0.986219
2014-07-14,795115,19.26,2.16,0,0.952995
2014-07-15,803267,17.74,3.24,0,0.951413
2014-07-16,817944,16,4.38,0,0.940819
2014-07-17,813204,15.58,4.34,0,0.942969
2014-07-18,801646,14.98,4.42,0,0.952016
2014-07-19,705260,17.4,2.18,1,1.00551
2014-07-20,662842,20.38,-0.8,1,1.00928
2014-07-21,757741,21.42,-4.2,0,1.03718
2014-07-22,764239,20.98,-4,0,1.01998
2014-07-23,769537,20.38,-4.5,0,1.0043
2014-07-24,766826,19.92,-4.64,0,1.00214
2014-07-25,763180,19.4,-4.12,0,0.993469
2014-07-26,709147,19.58,-2.38,1,0.925213
2014-07-27,668990,19.58,-0.38,1,0.982604
2014-07-28,785914,17.22,1.68,0,0.98332
2014-07-29,779512,16.98,0.04,0,1.01292
2014-07-30,772843,15.88,0.6,0,1.01736
2014-07-31,768466,15.28,1.52,0,1.03004
2014-08-01,758196,15.28,0.32,0,1.0301
2014-08-02,656112,17.2,-0.84,1,1.02683
2014-08-03,657352,19.2,-2.78,1,1.00666
2014-08-04,772805,18.9,-2.82,0,0.975536
2014-08-05,789582,17.02,-2.16,0,0.992879
2014-08-06,786262,16.48,-3.28,0,1.01689
2014-08-07,791553,16.8,-3.68,0,1.0031
2014-08-08,781020,15.6,-3.18,0,1.00797
2014-08-09,673713,16.36,-5.18,1,1.02829
2014-08-10,661728,16.42,-5.28,1,1.02107
2014-08-11,753899,16.08,-4.56,0,1.04508
2014-08-12,783959,14.86,-2.28,0,0.998898
2014-08-13,799544,13.2,-1.38,0,0.984736
2014-08-14,794007,13.12,-2,0,1.0035
2014-08-15,787245,12.42,-1.56,0,1.01476
2014-08-16,692771,11.18,0.14,1,1.04012
2014-08-17,675673,11.14,1.16,1,1.03549
