ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Mean AIC
"(0, 0, 0)",5416.24936902724,5404.066384355992,5432.741940167243,5598.737568477271,5227.09841307474,5246.845554403995,5429.185114198737,5547.464554325814,5375.023190514554,5252.880984525307,5560.604194212623,5556.7646637376565,5420.638494251765
"(0, 0, 1)",4506.350693906019,4499.921109257331,4532.673622242657,4708.696134290002,4248.944780930898,4248.770643938758,4540.690045704643,4650.729116274508,4476.958449062071,4276.795563851631,4668.208384550657,4660.149863042809,4501.574033920999
"(0, 0, 2)",4196.0619222001715,4267.457884424139,4491.370199342679,4677.57369941363,4160.319227789151,4100.908122545068,4513.753080111317,4609.702313343447,4278.720934506015,4276.584702282954,4634.1866049089895,4620.942742605249,4402.298452789401
"(0, 0, 3)",4427.305299129137,4250.0556892779405,4471.149952228797,4669.444172280337,4275.462299127643,3928.48039573015,4509.514754805568,4593.260941653347,4400.526584410089,3992.772140653644,4620.095058484783,4602.373832195945,4395.036759998115
"(0, 0, 4)",4405.538268780439,4400.8096143838675,4446.983133152325,4665.587946475819,3789.4360221276374,4319.037541824596,4506.84436510034,4581.332400126995,4374.344251459938,4231.868331440855,4614.19326784318,4588.536794687941,4410.375994783662
"(0, 1, 0)",3846.917009712318,3768.4159452664485,3888.134144762852,3820.86796219624,3622.520619265896,3555.0228692028522,3662.922630579621,3817.801539307695,3928.4449669241667,3645.1635276826682,3841.1543753609158,3915.0037078700634,3776.0307748443115
"(0, 1, 1)",3884.1080580812995,3736.9067781047706,3911.591211083067,3836.7927375156596,3633.404010836279,3556.925417094787,3642.085421650253,3827.471137150202,3932.155974854495,3629.202291350862,3848.72268683964,3938.01708299119,3781.448567296042
"(0, 1, 2)",3868.6471312737704,3792.8418574394655,3899.5097044980266,3847.3424013573667,3637.47663500855,3583.9715161219874,3656.0457145777846,3828.117208449863,3935.493755389797,3624.7188611816164,3853.641330470481,3946.0830766016593,3789.490766030864
"(0, 1, 3)",3876.2003362665414,3727.4915373772956,3899.8101609021487,3843.234852372661,3587.6475061223,3587.5676792974837,3680.498368634279,3832.7133544286653,3943.7829479227094,3635.990225603126,3848.300652621766,3944.3356419857314,3783.9644386278924
"(0, 1, 4)",3862.4994172302145,3721.0423452587575,3912.6250167434773,3868.483492702304,3601.145403681791,3590.333581240153,3721.7603607584083,3818.0361778275146,3978.238022073699,3647.096259243075,3853.929719509733,3982.145775952645,3796.444631018481
