ARIMA,AIC 2014-10-03 00:00:00,AIC 2017-03-11 00:00:00,AIC 2018-10-02 00:00:00,AIC 2018-07-02 00:00:00,AIC 2018-04-14 00:00:00,AIC 2014-05-10 00:00:00,AIC 2015-06-07 00:00:00,AIC 2014-08-30 00:00:00,AIC 2016-10-11 00:00:00,AIC 2018-04-08 00:00:00,AIC 2016-07-09 00:00:00,AIC 2016-08-25 00:00:00,Median AIC
"(0, 0, 0)",5419.450131614835,5403.213839748729,5433.985899143698,5597.881008510865,5220.145816995205,5263.980742768953,5429.210283191599,5552.771903199715,5380.768866379829,5245.216088812114,5578.475293924021,5566.265723594418,5424.330207403217
"(0, 0, 1)",4514.055264887173,4499.432429177628,4537.727037748853,4707.8159703227975,4254.776956408403,4268.818123626244,4541.089226920598,4655.784915571541,4483.160987387191,4276.026155549336,4686.339720502568,4668.5002518276415,4525.891151318013
"(0, 0, 2)",4204.876941653706,4232.859991356898,4495.673236763723,4677.393290564469,4015.281779985438,4076.0647381314534,4514.132324010021,4615.181451144395,4166.0974887497605,4266.8091052182845,4652.793615245273,4627.299757400266,4381.241170991004
"(0, 0, 3)",4135.008004236103,4427.087276653956,4476.381040066732,4669.400569886186,4264.4601397658535,3974.0923761881586,4509.3328798372495,4597.33612950932,4410.207302777762,4237.1224618432625,4642.308787979255,4609.067151884625,4451.734158360344
"(0, 0, 4)",4408.019230583612,4404.326545233744,4455.803877994723,4665.40921178664,4253.249730861602,4343.446737779784,4507.071152181836,4583.04221422635,4388.821186765736,4227.643152729279,4640.305595373684,4593.901408249203,4431.911554289167
"(0, 1, 0)",3846.9731134583585,3716.435386655331,3885.6919685283856,3823.173915151926,3611.2591913534943,3576.3675361087335,3654.1044661634696,3832.824915708303,3922.29107517344,3612.652219589422,3875.8009641561293,3910.6340029931866,3827.9994154301144
"(0, 1, 1)",3860.878672583511,3729.564471478586,3893.9870463446405,3837.4135958501147,3618.3017201209377,3588.531910351781,3661.539807154945,3850.2731041923025,3932.71809323636,3620.9287886437196,3879.4961012282283,3916.1299810689898,3843.8433500212086
"(0, 1, 2)",3872.1535233390705,3732.2435888318614,3901.450146774807,3851.2658432080884,3616.0270889835533,3602.4130728928258,3671.230422119296,3859.795419519952,3942.8994415458847,3624.994608494847,3883.6053348349747,3922.731109162619,3855.5306313640203
"(0, 1, 3)",3886.9985762491297,3724.0987051744155,3901.3465133709938,3855.7495282404157,3613.4087126490467,3620.266470774367,3685.667731779415,3869.3746097589005,3948.7203477231214,3630.5566423943606,3877.4395210344446,3929.4794146120057,3862.562068999658
"(0, 1, 4)",3868.815352789617,3724.196019682664,3914.874266509153,3877.0978479026126,3628.3531533167984,3626.8191500161256,3702.987040384859,3850.7592204708453,3980.455248664067,3635.5950464956068,3887.631092292546,3969.4434865506164,3859.7872866302314
"(0, 2, 0)",3698.292609625957,3648.0691814565344,3760.4758112030704,3680.5294712839723,3565.643364447447,3452.8405600478677,3540.8269993886524,3680.875337074015,3746.327119720525,3554.4438367578523,3675.6871628003632,3718.0918879157507,3678.108317042168
"(0, 2, 1)",3700.2409522473417,3650.215327328866,3762.4574772267815,3682.5419805757692,3568.5680355116765,3454.82358474693,3542.8004919608347,3682.8425918330126,3748.3362226233953,3557.273324154351,3677.71017015063,3720.0936108013893,3680.1260753631996
"(0, 2, 2)",3702.252148606757,3652.390513814769,3764.413070958817,3684.3684253084402,3572.1841596630447,3456.8986238012203,3544.7458457126068,3684.7790545806693,3750.301277721528,3560.354705484103,3679.580156105738,3722.134158909449,3681.974290707089
"(0, 2, 3)",3703.9609335783416,3653.6705781295905,3766.104194033421,3685.8322300208047,3571.7236924011086,3458.8464960713954,3545.955324337766,3686.6533787988083,3752.2702663224104,3560.361256119496,3681.452302057735,3724.209719749664,3683.64226603927
"(0, 2, 4)",3704.098569505083,3648.910323599109,3767.2025430409776,3687.248357024183,3574.7858403386044,3461.009764117827,3548.008073319276,3688.8199873060958,3754.181847620871,3562.3264208572514,3683.5582883091943,3726.0402359737745,3685.403322666689
"(0, 3, 0)",3772.597330758872,3775.7580193440867,3876.150895812504,3791.663889063807,3707.3921263680786,3575.4734647759324,3670.921733175983,3741.9750821342805,3841.6545996667305,3694.525742871661,3787.3332609388785,3812.0309146185064,3774.177675051479
"(0, 3, 1)",3684.9440304333893,3645.1427141251197,3746.4662776941013,3670.2049484181657,3568.752853007285,3474.0704044015747,3537.5355592836086,3668.0626058663884,3732.992781338705,3556.5483165270653,3663.1482085268553,3704.3716292196964,3665.605407196622
"(0, 3, 2)",3683.858069510049,3646.318175835513,3749.9623221506163,3671.8983264370463,3824.827788916521,3611.3596743555695,3539.5464192472346,3665.0262672173785,3742.6950491334965,3799.274114376875,3670.778502862228,3705.707487869109,3677.8781979735477
"(0, 3, 3)",3692.4093989839703,3657.634293320981,3758.652330842919,3680.9311002281215,3574.1534728745555,3476.4172199387167,3545.8920852843576,3670.879372129764,3752.4300107049185,3561.7577944100362,3685.279065732239,3724.6553798426057,3675.9052361789427
"(0, 3, 4)",3687.048227361829,3657.088518122612,3763.2464425779817,3684.6444757835498,3574.3092604587255,3477.97555584751,3545.7917792901935,3668.342071045171,3755.544862132215,3563.175776730297,3691.0855753471187,3729.529187144798,3676.4932734143604
"(0, 4, 0)",3930.3831706714354,3949.0571830060426,4038.596772356419,3955.344345875851,3881.3033582663047,3744.871797267607,3846.829971605027,3892.1628654244705,4002.0455407086374,3868.70527638797,3949.1986266733775,3971.597674173805,3939.720176838739
"(0, 4, 1)",3758.519470809272,3762.019681188764,3861.678285909532,3777.0536935959126,3693.711480968036,3564.778310896484,3657.5826817574507,3727.9357000574287,3827.926100213047,3681.4924454363927,3772.816520100713,3797.517364647561,3760.2695759990183
"(0, 4, 2)",3748.7026922900477,3750.1050305676404,3844.654133221864,3765.0381216322558,3682.197438126851,3558.1369562811897,3645.6312943071607,3720.9488408507887,3815.5315867842496,3668.6801823167816,3757.344253318999,3787.8876633734353,3749.403861428844
"(0, 4, 3)",3754.866919476314,3760.443494528382,3855.5971924827672,3769.791888304874,3684.707703535192,3555.829708967251,3643.0301586475,3735.1411343318787,3847.075756926771,3664.6840299913074,3790.43374587202,3821.6114972111727,3757.655207002348
"(0, 4, 4)",3740.9440861805033,3749.895679446088,3848.977345400768,3757.992246479638,3673.3414302388346,3547.4085926161915,3632.044173134489,3725.216293343702,3843.511879361444,3654.230846917199,3786.648910927944,3819.845321344102,3745.4198828132958
"(1, 0, 0)",3877.6096239348954,3747.2396640697116,3915.881132151718,3853.6895199962714,3641.2115951911887,3606.737852189408,3684.3580223278714,3863.5990861658915,3951.7373108965835,3643.126003430508,3907.3773155531703,3941.427435774984,3858.6443030810815
