Month,Weekday,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,1,0.03451,0.033768,0.033556,0.033657,0.034385,0.03657,0.041119,0.045103,0.045959,0.045857,0.045662,0.045387,0.044988,0.044902,0.044994,0.045321,0.045809,0.046216,0.04558,0.044649,0.043217,0.041705,0.039702,0.037385
1,2,0.035174,0.034345,0.034011,0.03398,0.034667,0.03686,0.040937,0.044797,0.045727,0.045554,0.045475,0.045307,0.044924,0.044764,0.044857,0.045263,0.045812,0.046102,0.0456,0.044655,0.043104,0.041477,0.039529,0.037077
1,3,0.035315,0.034427,0.033978,0.033909,0.03454,0.03679,0.04114,0.044922,0.045694,0.045524,0.045365,0.045091,0.044602,0.044348,0.044544,0.045065,0.045826,0.046275,0.045775,0.044904,0.043251,0.041679,0.039686,0.037349
1,4,0.034872,0.03403,0.033647,0.033712,0.034408,0.036596,0.040944,0.044689,0.045583,0.045446,0.045341,0.045233,0.044865,0.044756,0.04486,0.045228,0.045832,0.046256,0.045686,0.044912,0.043497,0.042014,0.040015,0.037578
1,5,0.035551,0.03465,0.03429,0.034288,0.034915,0.037011,0.041439,0.045103,0.045948,0.045815,0.045681,0.045475,0.045002,0.044627,0.044503,0.044849,0.045451,0.04592,0.045371,0.044213,0.042478,0.04097,0.039304,0.037144
1,6,0.037724,0.036615,0.035983,0.035765,0.035883,0.03655,0.037807,0.039833,0.041983,0.043705,0.044659,0.044748,0.044311,0.043987,0.043924,0.044887,0.046366,0.047364,0.046946,0.045701,0.04371,0.042141,0.040685,0.038723
1,7,0.037713,0.036793,0.036237,0.036051,0.036173,0.036725,0.037628,0.038868,0.040178,0.041662,0.043024,0.043731,0.043732,0.043431,0.043583,0.044575,0.046353,0.047581,0.047418,0.046601,0.045287,0.043961,0.042501,0.040192
2,1,0.034453,0.033788,0.03361,0.033718,0.034493,0.03685,0.041944,0.045558,0.046284,0.046013,0.045763,0.045169,0.044519,0.044115,0.044056,0.044393,0.045049,0.046167,0.046063,0.045271,0.043495,0.041841,0.039878,0.03751
2,2,0.035058,0.034301,0.033973,0.034056,0.03481,0.037169,0.041711,0.045296,0.04587,0.045591,0.045276,0.044757,0.044229,0.043937,0.043912,0.044177,0.04489,0.046098,0.046076,0.045355,0.043787,0.042075,0.039971,0.037625
2,3,0.035371,0.034634,0.034292,0.034408,0.035194,0.037473,0.042043,0.045309,0.045907,0.045651,0.045335,0.044765,0.044149,0.043819,0.043775,0.044024,0.044746,0.04574,0.045846,0.045177,0.043547,0.041776,0.039675,0.037346
2,4,0.035171,0.034537,0.034208,0.034254,0.035031,0.03732,0.041862,0.045398,0.046033,0.045647,0.045295,0.044808,0.044209,0.04392,0.043824,0.044041,0.044635,0.045812,0.045877,0.045086,0.043567,0.041992,0.039978,0.037493
2,5,0.035697,0.034895,0.03458,0.034683,0.035463,0.037918,0.042335,0.045661,0.046319,0.046179,0.045853,0.045338,0.044596,0.043926,0.043626,0.043633,0.044311,0.045442,0.04542,0.04436,0.042536,0.040879,0.039201,0.037147
2,6,0.038696,0.037643,0.037082,0.036916,0.037142,0.037779,0.039036,0.040823,0.042555,0.043922,0.044377,0.044234,0.04353,0.042763,0.042502,0.042895,0.044355,0.046597,0.046825,0.045511,0.043468,0.041965,0.040672,0.038711
2,7,0.038334,0.037353,0.036827,0.03672,0.036854,0.037359,0.038171,0.0393,0.040655,0.042282,0.0431,0.043434,0.042936,0.042522,0.042345,0.042708,0.044252,0.046743,0.048001,0.047295,0.045603,0.04402,0.042718,0.040467
