Period,Start,End,MAE,MAPE
1,2019-01-01,2019-01-14,64611.55511000009,5.600204129071409
2,2019-01-02,2019-01-15,68864.56100228582,5.867358749924697
3,2019-01-03,2019-01-16,65831.55931471438,5.578682304382731
4,2019-01-04,2019-01-17,63740.57181271434,5.404259036912466
5,2019-01-05,2019-01-18,60023.966079714315,5.037532769051208
6,2019-01-06,2019-01-19,59405.391388,4.946447959252009
7,2019-01-07,2019-01-20,52294.0625825714,4.328973571199653
8,2019-01-08,2019-01-21,54627.681237999954,4.485039190967375
9,2019-01-09,2019-01-22,43135.414349999926,3.5056555917598176
10,2019-01-10,2019-01-23,47383.557876428524,3.8180326525714148
11,2019-01-11,2019-01-24,45066.27506928565,3.6130380361264898
12,2019-01-12,2019-01-25,49272.785228571374,3.9106116679053473
13,2019-01-13,2019-01-26,50728.5672978571,4.000058250191214
14,2019-01-14,2019-01-27,51653.838517571414,4.055088919601822
15,2019-01-15,2019-01-28,57315.938832428554,4.468135902552453
16,2019-01-16,2019-01-29,57192.54764399997,4.433427722145995
17,2019-01-17,2019-01-30,56900.045507428484,4.391478779979144
18,2019-01-18,2019-01-31,63716.45965628565,4.893788311311118
19,2019-01-19,2019-02-01,62055.58786628565,4.776327941657842
20,2019-01-20,2019-02-02,57137.089306999944,4.413150365682964
21,2019-01-21,2019-02-03,58348.0500324285,4.520361400025229
22,2019-01-22,2019-02-04,43981.039787857095,3.4170779769836024
23,2019-01-23,2019-02-05,44910.47493628569,3.4972822515553585
24,2019-01-24,2019-02-06,37289.65582942858,2.9089526181260976
25,2019-01-25,2019-02-07,26532.4559617143,2.0827084448022903
26,2019-01-26,2019-02-08,27842.662043142882,2.202930226324694
27,2019-01-27,2019-02-09,30118.09739628572,2.4050870253420515
28,2019-01-28,2019-02-10,28040.039229428578,2.2579728614083097
29,2019-01-29,2019-02-11,32896.89432128572,2.6709581589526725
30,2019-01-30,2019-02-12,29450.63309271429,2.4061676828688983
31,2019-01-31,2019-02-13,32781.841141089346,2.7017677534192637
32,2019-02-01,2019-02-14,29348.079345199298,2.4411556876755465
33,2019-02-02,2019-02-15,28022.791188689465,2.3527042287946234
34,2019-02-03,2019-02-16,32588.013586857156,2.76466322642885
35,2019-02-04,2019-02-17,31242.447400571447,2.674082116355279
36,2019-02-05,2019-02-18,33866.32402528574,2.9258686909793536
37,2019-02-06,2019-02-19,40954.17629642861,3.579074742473976
38,2019-02-07,2019-02-20,38817.42132085717,3.4220830483423086
39,2019-02-08,2019-02-21,39686.10978614288,3.5084546030705637
40,2019-02-09,2019-02-22,40561.94568528569,3.5797570339696216
41,2019-02-10,2019-02-23,43788.23186585713,3.868755418609347
42,2019-02-11,2019-02-24,45091.69341442857,3.998459022667281
43,2019-02-12,2019-02-25,37130.103719285704,3.3018551179977016
44,2019-02-13,2019-02-26,34313.439408142855,3.0701564783976503
45,2019-02-14,2019-02-27,33289.35743700001,2.9877697817467896
46,2019-02-15,2019-02-28,36844.07305485717,3.320139397277487
47,2019-02-16,2019-03-01,35873.02698200003,3.2172510368830345
48,2019-02-17,2019-03-02,32604.715533000028,2.9131037040781087
49,2019-02-18,2019-03-03,33337.94824957144,2.982936506401828
50,2019-02-19,2019-03-04,38747.16988314286,3.475998819445357
51,2019-02-20,2019-03-05,35977.99321028572,3.214665190743377
52,2019-02-21,2019-03-06,33151.227207999975,2.9625563017227297
53,2019-02-22,2019-03-07,38781.95137428567,3.4843883245621514
54,2019-02-23,2019-03-08,44771.18346728571,4.061121696907653
55,2019-02-24,2019-03-09,50764.793148571414,4.612661386075637
56,2019-02-25,2019-03-10,55141.69854442857,4.993820855345636
57,2019-02-26,2019-03-11,61183.20575799999,5.516348992043277
58,2019-02-27,2019-03-12,66522.69367585714,5.984313156576804
59,2019-02-28,2019-03-13,70512.42405300002,6.346259142383808
60,2019-03-01,2019-03-14,64247.230479000005,5.783981806236296
61,2019-03-02,2019-03-15,68714.21273971428,6.230401921945026
62,2019-03-03,2019-03-16,72113.72801914286,6.566661707818758
63,2019-03-04,2019-03-17,82597.35863928571,7.544642274392225
64,2019-03-05,2019-03-18,76971.60354500003,7.048099372939038
65,2019-03-06,2019-03-19,70684.65764542858,6.493165290441933
66,2019-03-07,2019-03-20,68671.5660144286,6.347490710702964
67,2019-03-08,2019-03-21,63492.86618528577,5.90084632286514
68,2019-03-09,2019-03-22,57532.68893861448,5.350913454209901
69,2019-03-10,2019-03-23,44939.41182608346,4.203250109449669
70,2019-03-11,2019-03-24,32185.94114852744,3.0336594196607627
71,2019-03-12,2019-03-25,33227.1087733661,3.1637347861975744
72,2019-03-13,2019-03-26,33612.377933912816,3.220302849341285
73,2019-03-14,2019-03-27,29935.22652828991,2.8745643509669025
74,2019-03-15,2019-03-28,32812.21550333384,3.164585550893238
75,2019-03-16,2019-03-29,36356.484134225044,3.533228939537657
76,2019-03-17,2019-03-30,43004.30855631597,4.202222514204627
77,2019-03-18,2019-03-31,47782.45910473174,4.679108633195524
78,2019-03-19,2019-04-01,43030.030341950296,4.2190762650430225
79,2019-03-20,2019-04-02,42841.87958304962,4.230299681483853
80,2019-03-21,2019-04-03,42013.5179582213,4.1583188392684125
81,2019-03-22,2019-04-04,41386.570033906486,4.108185709656616
82,2019-03-23,2019-04-05,37137.774559983765,3.7018018625585807
