Month,Hour,Weekend,s -10,s -4,s -1,s 0,s 1,s 3,s 5,s 8,s 12,s 15,s 19,s 22,s 24,s 26,s 28,s 30,s 32,s 35,s 39,s 42,s 46,s 51,s 56,s 66,s 75,s 105,s 165,s 210
1,0,0,1.00498,1.00536,1.0053,1.00528,1.00539,1.00494,1.00468,1.00471,1.00487,1.00435,1.00189,1.00101,1.00096,1.00093,1.00101,1.00036,1.00108,1.00185,1.00209,1.00217,1.00258,1.002,1.00161,1.00135,1.00165,1.00187,1.00209,1.00221
1,1,0,1.00404,1.00446,1.00446,1.00454,1.00472,1.0043,1.00404,1.00406,1.00427,1.00379,1.00133,1.00045,1.00041,1.00046,1.00048,0.999778,1.00047,1.00133,1.00167,1.00172,1.00218,1.00164,1.00127,1.00097,1.00128,1.00154,1.00177,1.0019
1,2,0,1.0042,1.0046,1.00458,1.00465,1.00485,1.00444,1.00412,1.00411,1.00431,1.00389,1.00141,1.00048,1.00044,1.00059,1.00069,1.00004,1.00077,1.00156,1.00191,1.002,1.00249,1.00191,1.00154,1.00124,1.00152,1.00177,1.00198,1.00209
1,3,0,1.00326,1.00366,1.00367,1.00378,1.00408,1.00381,1.00354,1.00353,1.00373,1.00333,1.001,1.00005,0.999957,1.00002,1.00004,0.9994,1.00012,1.00095,1.00133,1.00145,1.00196,1.00144,1.00106,1.00077,1.00108,1.00135,1.00157,1.00169
1,4,0,1.00388,1.00425,1.0043,1.00441,1.00467,1.00406,1.00383,1.00363,1.00375,1.00315,1.00093,1.00006,1.00004,1.00008,0.999922,0.999095,0.999697,1.0004,1.00063,1.0007,1.00136,1.00088,1.00048,0.999902,1.00003,1.00011,1.00034,1.00046
1,5,0,1.00157,1.00221,1.00244,1.00271,1.00351,1.00297,1.00295,1.00272,1.00286,1.00226,1.00012,0.999398,0.99941,0.99949,0.999798,0.999295,0.999818,0.99967,0.999519,0.999543,1.00028,1.00007,0.999666,0.998927,0.998924,0.998843,0.99907,0.999195
1,6,0,1.00417,1.00476,1.005,1.00563,1.0075,1.00761,1.00762,1.00737,1.00742,1.00704,1.00511,1.00436,1.00399,1.00398,1.00482,1.00505,1.0054,1.0052,1.00444,1.00411,1.00477,1.00465,1.00431,1.00342,1.00322,1.00308,1.00323,1.00335
1,7,0,1.00993,1.01095,1.01132,1.0121,1.01467,1.0146,1.01457,1.01428,1.01408,1.01369,1.01123,1.01025,1.00959,1.00906,1.00981,1.01044,1.01034,1.00959,1.00871,1.00826,1.00831,1.00765,1.00768,1.00684,1.00667,1.00646,1.00657,1.00669
1,8,0,1.00883,1.00988,1.01022,1.01088,1.01263,1.0129,1.01267,1.01265,1.01249,1.01203,1.00947,1.00836,1.0075,1.0066,1.00744,1.00821,1.00836,1.00796,1.00742,1.00714,1.00723,1.00677,1.00673,1.00614,1.00603,1.00588,1.00599,1.00611
1,9,0,1.00871,1.00956,1.00981,1.01042,1.01191,1.01192,1.01162,1.01175,1.01159,1.0109,1.00837,1.00724,1.00642,1.00548,1.00607,1.00664,1.00681,1.00656,1.00623,1.00597,1.00611,1.00553,1.0056,1.00509,1.00509,1.00497,1.00505,1.00519
1,10,0,1.00976,1.01048,1.01066,1.01114,1.01242,1.01221,1.01181,1.01191,1.01174,1.01089,1.00849,1.00748,1.00661,1.00565,1.00631,1.00664,1.00674,1.00665,1.00647,1.00624,1.00643,1.00565,1.00583,1.00539,1.00537,1.00524,1.00532,1.00544
1,11,0,1.00959,1.01022,1.01039,1.01086,1.01214,1.01192,1.01154,1.01156,1.01141,1.01054,1.00827,1.00736,1.0066,1.00561,1.00613,1.00641,1.00653,1.00651,1.00629,1.0061,1.00626,1.00559,1.00578,1.00526,1.00526,1.0052,1.00528,1.00538
1,12,0,1.00869,1.00937,1.00954,1.00996,1.01124,1.01102,1.01066,1.01066,1.01049,1.00967,1.00741,1.00649,1.00575,1.00487,1.0055,1.00572,1.00573,1.00574,1.00563,1.00542,1.00563,1.00497,1.00512,1.00464,1.00461,1.00459,1.00468,1.00477
1,13,0,1.00832,1.00895,1.00907,1.00944,1.01071,1.01047,1.01009,1.01007,1.0099,1.0091,1.00683,1.00593,1.00519,1.00427,1.00481,1.00505,1.00521,1.00522,1.00506,1.00493,1.00515,1.00447,1.00468,1.00428,1.00428,1.00427,1.00438,1.00447
1,14,0,1.00734,1.00798,1.00808,1.00843,1.00963,1.00939,1.00902,1.00897,1.00879,1.00799,1.00577,1.00483,1.00416,1.00329,1.00389,1.00427,1.00441,1.00448,1.00433,1.00429,1.00456,1.00398,1.00424,1.00402,1.00405,1.00407,1.00419,1.00428
