Period,Yesterday MAE,Week MAE,Weekly is best
1,2103.35,2303.72,False
2,2584.98,2086.42,True
3,2598.78,1676.34,True
4,1475.53,1622.64,False
5,1547.67,1541.48,True
6,2922.04,1439.72,True
7,3201.53,1334.46,True
8,1448.39,1318.18,True
9,1951.73,1214.72,True
10,1644.35,1208.43,True
11,1578.06,1192.94,True
12,1991.94,1219.73,True
13,1368.38,1313.33,True
14,1933.78,1539.39,True
15,3394.43,1661.63,True
16,1321.24,1495.28,False
17,1022.28,1398.77,False
18,1166.08,1361.66,False
19,1085.84,1216.52,False
20,1373.31,1090.84,True
21,1240.72,969.293,True
22,1412.95,1050.56,True
23,1284.65,1155.34,True
24,1461.7,1248.89,True
25,1779.22,1513.48,True
26,1957.96,1714.41,True
27,1713.44,1714.52,False
28,1269.19,1490.76,False
29,1138.14,1410.68,False
30,1439.17,1390.21,True
31,1318.76,1408.17,False
32,1313.38,1414.1,False
33,1509.31,1430.79,True
34,1711.43,1438.01,True
35,1498.5,1531.23,False
36,1596.48,1476.22,True
37,1512.32,1500.43,True
38,1456.2,1539.12,False
39,1386.77,1498.52,False
40,1338.29,1537.61,False
41,1595.27,1575.24,True
42,2264.33,1584.73,True
43,1622.97,1567.48,True
44,1482.75,1645.45,False
45,1444.24,1618.88,False
46,1512.08,1563.54,False
47,1420.18,1562.97,False
48,1425.55,1549.7,False
49,1679.7,1456.48,True
50,1303.43,1420.43,False
51,1763.97,1451.35,True
52,1704.07,1476.46,True
53,1492.19,1474.15,True
54,2370.96,1449.29,True
55,1163.49,1340.32,False
56,1417.45,1343.49,True
57,1459.35,1410.43,True
58,1412.84,1266.18,True
59,1942.26,1324.66,True
60,1373.49,1308.14,True
61,1302.46,1230.22,True
62,1438.39,1263.08,True
63,1198.5,1221.06,False
64,1214.44,1210.51,True
65,1351.37,1350.38,True
66,1431.73,1336.64,True
67,1715.35,1368.3,True
68,2347.07,1354.2,True
69,1986.16,1458,True
70,1633.44,1552.73,True
71,1722.94,1700.7,True
72,2069.04,1876.42,True
73,2631.5,2166.17,True
74,1842.79,2252.81,False
75,1396.31,1912.56,False
76,1463.23,1758.65,False
77,2334.42,1818.7,True
78,1520.79,1770.06,False
79,2280.34,1462.5,True
80,1251.25,1463.39,False
81,1260.83,1498.75,False
82,1640.88,1601.41,True
83,1914.93,1832.73,True
84,2148.31,1988.42,True
85,2035.83,2011.35,True
86,2052.44,2067.61,False
87,2175.64,2210.82,False
88,2660.79,2448.87,True
89,3791.22,2758.69,True
90,2929,2954.62,False
91,3662.24,3234.67,True
92,2956.88,3430.53,False
93,4273.18,3860.86,True
94,1618.14,3658.4,False
95,1636.67,3366.16,False
96,1773.43,2935.96,False
97,1878.69,2521.28,False
98,1870.9,2139.61,False
99,2519.65,2121.35,True
100,2860.15,1899.36,True
101,2037.06,1876.43,True
102,1445.53,1747.88,False
103,1334.73,1645.05,False
104,1464.48,1638.02,False
105,1462.69,1698.56,False
106,1646.51,1670.26,False
107,1751.94,1671.31,True
108,1788.86,1733.83,True
109,2241.2,1960.41,True
110,3172.91,2118.08,True
111,3385.05,2227.01,True
112,2683.34,2407.25,True
113,2414.99,2622.64,False
114,1602.28,2374.96,False
115,1489.53,2140.52,False
116,1601.84,1959.41,False
117,1704.31,1708.23,False
118,1646.62,1562.05,True
119,1713.54,1530.61,True
120,1940.88,1590.76,True
121,1970.64,1717.9,True
122,2196.49,1841.89,True
123,4591.92,2113.58,True
124,3880.75,2588.52,True
125,1690.35,2801.22,False
126,1083.92,2701.58,False
127,1295.14,2633.62,False
128,1357.54,2516.52,False
129,1763.84,2407.83,False
130,1330.7,1777.16,False
131,1483.16,1437.46,True
132,1224.2,1270.77,False
133,1621.47,1349.77,True
134,1406.57,1367.08,True
135,1648.2,1420.12,True
136,2112.46,1546.13,True
137,1780.35,1815.81,False
