Month,Weekday,Hour,Factor
1,1,0,0.900677
1,1,1,0.882676
1,1,2,0.861868
1,1,3,0.870632
1,1,4,0.888081
1,1,5,0.936596
1,1,6,0.986537
1,1,7,1.05983
1,1,8,1.12523
1,1,9,1.10313
1,1,10,1.08083
1,1,11,1.04559
1,1,12,1.03568
1,1,13,1.03248
1,1,14,1.03685
1,1,15,1.04605
1,1,16,1.06737
1,1,17,1.10052
1,1,18,1.06319
1,1,19,1.0206
1,1,20,0.991896
1,1,21,0.964343
1,1,22,0.933972
1,1,23,0.895361
1,2,0,0.894655
1,2,1,0.879124
1,2,2,0.86965
1,2,3,0.870984
1,2,4,0.882598
1,2,5,0.913739
1,2,6,0.977127
1,2,7,1.04703
1,2,8,1.10145
1,2,9,1.07481
1,2,10,1.06468
1,2,11,1.0592
1,2,12,1.03939
1,2,13,1.02444
1,2,14,1.02707
1,2,15,1.04507
1,2,16,1.07744
1,2,17,1.13856
1,2,18,1.07348
1,2,19,1.0297
1,2,20,0.984683
1,2,21,0.962251
1,2,22,0.940681
1,2,23,0.898667
1,3,0,0.87368
1,3,1,0.862813
1,3,2,0.860147
1,3,3,0.86228
1,3,4,0.873331
1,3,5,0.924191
1,3,6,0.984392
1,3,7,1.06621
1,3,8,1.0916
1,3,9,1.07249
1,3,10,1.06114
1,3,11,1.05153
1,3,12,1.04383
1,3,13,1.03616
1,3,14,1.04125
1,3,15,1.06567
1,3,16,1.10018
1,3,17,1.11925
1,3,18,1.09317
1,3,19,1.04374
1,3,20,0.985273
1,3,21,0.958633
1,3,22,0.930064
1,3,23,0.892557
1,4,0,0.882497
1,4,1,0.849125
1,4,2,0.82891
1,4,3,0.829329
1,4,4,0.862019
1,4,5,0.909415
1,4,6,0.964929
1,4,7,1.04868
1,4,8,1.07704
1,4,9,1.07096
1,4,10,1.05176
1,4,11,1.0501
1,4,12,1.04956
1,4,13,1.04176
1,4,14,1.04287
1,4,15,1.06147
1,4,16,1.08187
1,4,17,1.10142
1,4,18,1.08061
1,4,19,1.03208
1,4,20,1.0032
1,4,21,0.969702
1,4,22,0.94175
1,4,23,0.918358
1,5,0,0.903867
1,5,1,0.879135
1,5,2,0.877522
1,5,3,0.877442
1,5,4,0.885411
1,5,5,0.931067
1,5,6,0.979466
1,5,7,1.07104
1,5,8,1.10857
1,5,9,1.10889
1,5,10,1.07283
1,5,11,1.07224
1,5,12,1.03886
1,5,13,1.01978
1,5,14,1.01948
1,5,15,1.02299
1,5,16,1.05003
1,5,17,1.08476
1,5,18,1.06348
1,5,19,1.00541
1,5,20,0.978463
1,5,21,0.95073
1,5,22,0.939962
1,5,23,0.909222
1,6,0,0.971143
1,6,1,0.954908
1,6,2,0.935718
1,6,3,0.926917
1,6,4,0.929233
1,6,5,0.933724
1,6,6,0.944565
1,6,7,0.969048
1,6,8,0.993631
1,6,9,1.01875
1,6,10,1.03242
1,6,11,1.03285
1,6,12,1.02679
1,6,13,1.01902
1,6,14,1.01499
1,6,15,1.03095
1,6,16,1.07217
1,6,17,1.09332
1,6,18,1.08169
1,6,19,1.03636
1,6,20,1.00823
1,6,21,0.999801
1,6,22,0.988936
1,6,23,0.967742
1,7,0,0.967633
1,7,1,0.935237
1,7,2,0.927937
1,7,3,0.921355
1,7,4,0.926187
1,7,5,0.93758
1,7,6,0.949089
1,7,7,0.957608
1,7,8,0.974871
1,7,9,0.992867
1,7,10,1.01197
1,7,11,1.01669
1,7,12,1.01458
1,7,13,1.01163
1,7,14,1.00571
1,7,15,1.01973
1,7,16,1.05057
1,7,17,1.09134
1,7,18,1.09596
1,7,19,1.07537
1,7,20,1.04046
1,7,21,1.02299
1,7,22,1.01087
1,7,23,0.981968
2,1,0,0.900821
2,1,1,0.883143
2,1,2,0.872398
2,1,3,0.876427
2,1,4,0.898628
2,1,5,0.941864
2,1,6,1.00943
2,1,7,1.0718
2,1,8,1.10496
2,1,9,1.09081
2,1,10,1.05484
2,1,11,1.02832
2,1,12,1.01242
2,1,13,1.00556
2,1,14,1.00817
2,1,15,1.01303
2,1,16,1.03306
2,1,17,1.08925
2,1,18,1.0763
2,1,19,1.03204
2,1,20,1.0043
2,1,21,0.993003
2,1,22,0.961661
2,1,23,0.928811
2,2,0,0.897507
2,2,1,0.875193
2,2,2,0.87049
2,2,3,0.867237
2,2,4,0.887793
2,2,5,0.939555
2,2,6,0.993495
2,2,7,1.06989
2,2,8,1.09492
2,2,9,1.06847
2,2,10,1.06115
2,2,11,1.03067
2,2,12,1.01758
2,2,13,1.01802
2,2,14,1.01871
2,2,15,1.0184
2,2,16,1.04138
2,2,17,1.11803
2,2,18,1.10649
2,2,19,1.05809
2,2,20,1.00442
2,2,21,0.98639
2,2,22,0.962505
2,2,23,0.927047
2,3,0,0.884882
2,3,1,0.876871
2,3,2,0.87406
2,3,3,0.880893
2,3,4,0.906499
2,3,5,0.942952
2,3,6,0.996163
2,3,7,1.09759
2,3,8,1.12966
2,3,9,1.09421
2,3,10,1.06552
2,3,11,1.02396
2,3,12,1.00488
2,3,13,1.00744
2,3,14,1.01374
2,3,15,1.01655
2,3,16,1.03202
2,3,17,1.08479
2,3,18,1.10361
2,3,19,1.03842
2,3,20,0.98519
2,3,21,0.967343
2,3,22,0.939756
2,3,23,0.903626
2,4,0,0.898886
2,4,1,0.880632
2,4,2,0.863684
2,4,3,0.854819
2,4,4,0.881601
2,4,5,0.929643
2,4,6,0.989142
2,4,7,1.06864
2,4,8,1.09341
2,4,9,1.0709
2,4,10,1.04709
2,4,11,1.02755
2,4,12,1.00062
2,4,13,1.00911
2,4,14,1.00554
2,4,15,1.01298
2,4,16,1.03219
2,4,17,1.10096
2,4,18,1.1008
2,4,19,1.03629
2,4,20,0.996574
2,4,21,0.980184
2,4,22,0.967329
2,4,23,0.9357
2,5,0,0.890963
2,5,1,0.879946
2,5,2,0.873512
2,5,3,0.881945
2,5,4,0.90978
2,5,5,0.948599
2,5,6,0.99256
2,5,7,1.07594
2,5,8,1.10483
2,5,9,1.1081
2,5,10,1.09992
2,5,11,1.0421
2,5,12,1.00251
2,5,13,0.99369
2,5,14,0.995926
2,5,15,0.996004
2,5,16,1.01068
2,5,17,1.06248
2,5,18,1.05669
2,5,19,1.01321
2,5,20,0.979207
2,5,21,0.95955
2,5,22,0.940527
2,5,23,0.921721
2,6,0,0.990152
2,6,1,0.978307
