Period,Date,System Price,Forecast
1,2019-01-01,41.450,50.783
1,2019-01-02,47.530,50.427
1,2019-01-03,53.910,50.683
1,2019-01-04,51.100,49.866
1,2019-01-05,50.680,47.300
1,2019-01-06,51.080,46.938
1,2019-01-07,51.830,50.160
1,2019-01-08,49.500,50.091
1,2019-01-09,50.310,49.837
1,2019-01-10,53.800,50.164
1,2019-01-11,49.310,49.240
1,2019-01-12,49.110,46.498
1,2019-01-13,48.480,45.878
1,2019-01-14,48.480,49.357
2,2019-01-02,47.530,45.276
2,2019-01-03,53.910,45.906
2,2019-01-04,51.100,45.561
2,2019-01-05,50.680,43.444
2,2019-01-06,51.080,43.462
2,2019-01-07,51.830,47.033
2,2019-01-08,49.500,46.509
2,2019-01-09,50.310,46.456
2,2019-01-10,53.800,46.864
2,2019-01-11,49.310,46.233
2,2019-01-12,49.110,43.514
2,2019-01-13,48.480,43.007
2,2019-01-14,48.480,46.611
2,2019-01-15,51.850,46.339
3,2019-01-03,53.910,47.149
3,2019-01-04,51.100,46.715
3,2019-01-05,50.680,44.553
3,2019-01-06,51.080,44.432
3,2019-01-07,51.830,47.908
3,2019-01-08,49.500,47.298
3,2019-01-09,50.310,47.351
3,2019-01-10,53.800,47.707
3,2019-01-11,49.310,47.054
3,2019-01-12,49.110,44.319
3,2019-01-13,48.480,43.781
3,2019-01-14,48.480,47.355
3,2019-01-15,51.850,47.052
3,2019-01-16,52.390,46.942
4,2019-01-04,51.100,49.473
4,2019-01-05,50.680,47.477
4,2019-01-06,51.080,47.261
4,2019-01-07,51.830,50.338
4,2019-01-08,49.500,49.504
4,2019-01-09,50.310,49.342
4,2019-01-10,53.800,50.052
4,2019-01-11,49.310,49.007
4,2019-01-12,49.110,46.313
4,2019-01-13,48.480,45.743
4,2019-01-14,48.480,49.238
4,2019-01-15,51.850,48.869
4,2019-01-16,52.390,48.686
4,2019-01-17,52.720,49.239
5,2019-01-05,50.680,48.374
5,2019-01-06,51.080,48.094
5,2019-01-07,51.830,51.138
5,2019-01-08,49.500,50.204
5,2019-01-09,50.310,49.973
5,2019-01-10,53.800,50.621
5,2019-01-11,49.310,49.570
5,2019-01-12,49.110,46.876
5,2019-01-13,48.480,46.293
5,2019-01-14,48.480,49.777
5,2019-01-15,51.850,49.393
5,2019-01-16,52.390,49.191
5,2019-01-17,52.720,49.724
5,2019-01-18,57.350,48.682
6,2019-01-06,51.080,49.366
6,2019-01-07,51.830,52.319
6,2019-01-08,49.500,51.339
