Period,mape,smape,mae,rmse
1.000,5.467,5.388,2.625,3.454
2.000,9.920,10.512,5.054,5.410
3.000,8.675,9.126,4.444,4.758
4.000,4.407,4.538,2.259,2.610
5.000,4.545,4.713,2.393,3.132
6.000,4.748,4.929,2.520,3.427
7.000,5.494,5.705,2.923,3.889
8.000,7.018,7.462,3.897,5.402
9.000,8.638,9.298,4.868,6.436
10.000,10.028,10.860,5.750,7.326
11.000,10.535,11.506,6.291,8.349
12.000,12.499,13.733,7.468,9.262
13.000,12.574,13.769,7.498,9.133
14.000,13.180,14.398,7.803,9.184
15.000,15.470,17.029,9.124,10.174
16.000,14.761,16.169,8.758,9.730
17.000,14.308,15.600,8.498,9.350
18.000,14.730,16.019,8.734,9.335
19.000,10.200,10.879,6.103,6.970
20.000,8.866,9.406,5.321,6.272
21.000,7.282,7.682,4.397,5.471
22.000,3.722,3.884,2.288,3.659
23.000,3.630,3.758,2.203,3.489
24.000,3.900,3.930,2.249,3.063
25.000,6.761,6.475,3.560,4.040
26.000,8.171,7.773,4.257,4.715
27.000,7.040,6.720,3.602,4.141
28.000,6.082,5.828,3.063,3.695
29.000,6.895,6.577,3.433,4.100
30.000,9.722,9.164,4.825,5.340
31.000,9.802,9.211,4.786,5.413
32.000,10.522,9.833,5.052,5.758
33.000,10.900,10.148,5.143,5.920
34.000,11.666,10.821,5.393,6.142
35.000,12.508,11.605,5.732,6.304
36.000,12.567,11.674,5.707,6.223
37.000,12.648,11.742,5.670,6.199
38.000,13.517,12.542,6.034,6.415
39.000,10.828,10.142,4.781,5.311
40.000,10.300,9.680,4.522,5.023
41.000,11.068,10.404,4.819,5.153
42.000,12.267,11.512,5.305,5.464
43.000,10.432,9.872,4.467,4.645
44.000,10.085,9.575,4.300,4.413
45.000,8.050,7.705,3.404,3.588
46.000,6.216,5.989,2.611,2.884
47.000,5.144,4.987,2.160,2.434
48.000,4.776,4.660,2.007,2.230
49.000,5.520,5.334,2.319,2.643
50.000,4.664,4.546,1.955,2.195
51.000,3.136,3.131,1.320,1.634
52.000,3.611,3.639,1.537,1.858
53.000,3.899,3.921,1.659,1.928
54.000,3.975,3.985,1.686,1.923
55.000,4.397,4.446,1.862,2.079
56.000,5.235,5.341,2.212,2.459
57.000,6.525,6.796,2.796,3.199
58.000,7.646,8.017,3.297,3.689
59.000,8.898,9.394,3.834,4.189
60.000,9.767,10.322,4.204,4.423
61.000,6.016,6.260,2.594,2.969
62.000,4.917,5.083,2.111,2.501
63.000,4.997,5.167,2.142,2.521
64.000,6.362,6.623,2.719,3.038
65.000,5.992,6.247,2.595,3.054
66.000,4.478,4.623,1.931,2.409
67.000,4.409,4.545,1.898,2.359
68.000,5.509,5.735,2.373,2.872
69.000,4.304,4.452,1.854,2.361
70.000,2.898,2.938,1.221,1.641
71.000,3.182,3.160,1.289,1.616
72.000,3.444,3.408,1.389,1.682
73.000,2.409,2.437,0.991,1.474
74.000,2.562,2.602,1.058,1.530
75.000,3.011,2.995,1.191,1.636
76.000,4.084,4.008,1.584,1.862
77.000,2.415,2.439,0.979,1.524
78.000,2.512,2.526,1.010,1.524
79.000,5.684,5.494,2.157,2.369
80.000,3.900,3.805,1.474,1.710
81.000,2.356,2.354,0.900,1.162
82.000,2.697,2.698,1.034,1.324
83.000,3.566,3.646,1.385,1.827
84.000,4.177,4.296,1.629,2.211
85.000,4.881,5.044,1.921,2.474
86.000,5.540,5.736,2.203,2.733
87.000,6.407,6.660,2.588,3.161
88.000,8.185,8.697,3.426,4.362
89.000,11.229,12.184,4.780,5.805
90.000,11.772,12.820,5.065,6.103
91.000,12.366,13.484,5.338,6.299
92.000,12.445,13.531,5.416,6.297
93.000,15.236,16.737,6.649,7.298
94.000,13.727,14.968,6.036,6.700
95.000,13.841,15.051,6.099,6.627
96.000,13.348,14.442,5.885,6.318
97.000,11.960,12.853,5.282,5.723
98.000,10.604,11.309,4.673,5.088
99.000,10.897,11.639,4.800,5.215
100.000,9.945,10.542,4.365,4.730
101.000,8.595,8.930,3.710,3.893
