Period,mape,smape,mae,rmse
1.000,21.893,24.799,10.928,11.572
2.000,25.628,29.624,12.943,13.236
3.000,23.780,27.301,12.051,12.493
4.000,23.422,26.781,11.886,12.264
5.000,22.952,26.198,11.805,12.292
6.000,20.151,23.050,10.480,11.739
7.000,20.016,23.278,10.507,12.472
8.000,22.919,26.941,12.344,14.274
9.000,25.652,30.314,13.982,15.523
10.000,26.410,31.466,14.697,16.480
11.000,28.546,34.276,16.322,18.070
12.000,29.503,35.459,17.062,18.582
13.000,27.010,32.467,15.815,17.883
14.000,27.898,33.629,16.260,18.144
15.000,30.650,37.013,17.808,19.020
16.000,30.772,37.139,17.974,19.092
17.000,30.952,37.295,18.081,19.045
18.000,33.136,39.882,19.311,19.605
19.000,29.131,34.290,16.919,17.256
20.000,26.418,30.659,15.234,15.601
21.000,25.204,29.025,14.369,14.656
22.000,22.948,26.182,12.895,13.345
23.000,23.296,26.476,13.016,13.193
24.000,20.486,22.965,11.264,11.515
25.000,18.414,20.418,9.981,10.311
26.000,15.104,16.431,8.097,8.413
27.000,11.793,12.609,6.264,6.593
28.000,10.391,11.027,5.452,5.761
29.000,9.194,9.696,4.782,5.086
30.000,6.692,6.979,3.412,3.770
31.000,5.280,5.464,2.640,3.088
32.000,5.694,5.869,2.825,3.173
33.000,3.493,3.525,1.678,2.026
34.000,2.874,2.877,1.352,1.833
35.000,3.105,3.098,1.448,1.870
36.000,3.133,3.134,1.451,1.872
37.000,3.651,3.628,1.671,2.046
38.000,4.101,4.065,1.861,2.213
39.000,4.255,4.258,1.930,2.323
40.000,4.312,4.210,1.921,2.257
41.000,4.484,4.351,1.994,2.410
42.000,4.841,4.673,2.154,2.662
43.000,3.786,3.691,1.650,2.042
44.000,4.186,4.077,1.819,2.165
45.000,3.611,3.564,1.530,1.767
46.000,3.958,3.922,1.666,1.869
47.000,4.350,4.279,1.846,2.107
48.000,4.826,4.785,2.046,2.255
49.000,5.542,5.433,2.349,2.634
50.000,4.724,4.703,1.990,2.204
51.000,4.473,4.534,1.879,2.142
52.000,5.127,5.240,2.169,2.411
53.000,5.227,5.323,2.215,2.389
54.000,4.417,4.410,1.867,2.195
55.000,4.954,4.973,2.085,2.335
56.000,5.732,5.783,2.408,2.709
