Period,mape,smape,mae,rmse
1.000,15.774,17.076,7.869,8.281
2.000,17.132,18.852,8.677,8.953
3.000,15.902,17.385,8.082,8.345
4.000,14.786,16.080,7.512,7.819
5.000,14.659,15.935,7.549,7.916
6.000,13.691,14.905,7.125,7.819
7.000,13.462,14.772,7.067,8.166
8.000,15.220,16.830,8.200,9.356
9.000,16.328,18.094,8.906,9.898
10.000,16.646,18.583,9.294,10.607
11.000,18.206,20.533,10.492,12.052
12.000,18.880,21.334,11.006,12.458
13.000,18.303,20.719,10.756,12.378
14.000,19.039,21.519,11.130,12.497
15.000,20.407,23.082,11.916,12.901
16.000,20.891,23.621,12.241,13.051
17.000,20.517,23.164,12.045,12.855
18.000,21.601,24.350,12.658,13.084
19.000,18.442,20.451,10.804,11.319
20.000,16.817,18.498,9.835,10.407
21.000,15.637,17.087,9.092,9.645
22.000,13.810,14.972,7.932,8.559
23.000,13.463,14.564,7.684,8.284
24.000,12.051,12.939,6.738,7.232
25.000,9.631,10.235,5.250,5.800
26.000,7.399,7.761,3.972,4.444
27.000,5.495,5.685,2.908,3.208
28.000,4.727,4.878,2.454,2.797
29.000,4.559,4.701,2.356,2.708
30.000,3.711,3.814,1.881,2.282
31.000,2.819,2.884,1.407,1.864
32.000,2.989,3.061,1.480,1.942
33.000,2.671,2.719,1.302,1.720
34.000,2.486,2.498,1.202,1.485
35.000,3.193,3.192,1.523,1.818
36.000,2.722,2.762,1.262,1.604
37.000,2.744,2.794,1.263,1.636
38.000,2.914,2.935,1.330,1.653
39.000,3.182,3.260,1.425,1.797
40.000,3.093,3.160,1.375,1.703
41.000,2.785,2.812,1.231,1.401
42.000,3.354,3.350,1.475,1.658
43.000,2.972,3.024,1.267,1.506
44.000,3.445,3.514,1.465,1.686
45.000,4.036,4.138,1.704,1.925
46.000,5.017,5.179,2.109,2.347
47.000,6.245,6.505,2.654,3.014
48.000,6.439,6.735,2.734,3.195
49.000,4.577,4.779,1.925,2.654
50.000,5.184,5.417,2.178,2.829
51.000,6.400,6.699,2.699,3.184
52.000,6.238,6.524,2.644,3.136
53.000,5.799,6.052,2.465,2.963
54.000,6.124,6.390,2.600,3.035
55.000,6.180,6.443,2.616,3.008
56.000,5.773,6.007,2.444,2.852
57.000,7.071,7.387,3.015,3.315
58.000,6.124,6.379,2.624,2.988
59.000,6.198,6.454,2.655,2.996
60.000,5.643,5.869,2.420,2.812
61.000,3.526,3.631,1.504,1.925
62.000,3.248,3.317,1.378,1.694
63.000,3.381,3.436,1.426,1.696
64.000,3.207,3.291,1.356,1.742
65.000,3.976,4.104,1.709,2.189
66.000,3.917,4.020,1.671,2.055
67.000,3.910,4.025,1.667,2.103
68.000,4.310,4.447,1.832,2.249
69.000,3.534,3.617,1.490,1.869
70.000,3.311,3.352,1.364,1.719
71.000,3.657,3.698,1.499,1.802
72.000,3.935,4.018,1.601,1.939
73.000,4.600,4.744,1.866,2.227
74.000,5.283,5.466,2.135,2.452
75.000,4.725,4.870,1.893,2.207
76.000,4.123,4.196,1.618,1.826
77.000,5.964,6.200,2.325,2.616
78.000,5.636,5.852,2.191,2.496
79.000,3.775,3.890,1.433,1.820
80.000,4.415,4.560,1.688,2.047
81.000,5.461,5.664,2.094,2.387
82.000,5.169,5.361,1.991,2.338
83.000,6.125,6.382,2.366,2.711
84.000,5.603,5.851,2.175,2.691
85.000,6.253,6.534,2.444,2.883
86.000,6.303,6.571,2.481,2.879
87.000,6.422,6.678,2.557,2.909
88.000,7.552,7.906,3.090,3.519
89.000,9.352,9.908,3.902,4.373
90.000,7.993,8.396,3.391,3.859
91.000,6.688,6.973,2.870,3.406
92.000,6.753,7.022,2.915,3.386
93.000,10.383,11.011,4.490,4.753
94.000,7.267,7.600,3.180,3.534
95.000,8.128,8.513,3.555,3.786
96.000,6.735,7.005,2.955,3.193
97.000,5.412,5.618,2.377,2.766
98.000,4.304,4.451,1.866,2.328
99.000,5.495,5.716,2.378,2.791
100.000,5.410,5.617,2.328,2.700
101.000,4.744,4.913,2.033,2.435
102.000,2.775,2.847,1.150,1.671
103.000,3.841,3.977,1.584,2.280
104.000,4.139,4.260,1.692,2.258
105.000,4.377,4.513,1.729,2.371
106.000,5.359,5.638,2.122,3.044
107.000,6.741,7.168,2.673,3.642
108.000,8.041,8.501,3.113,3.985
109.000,7.545,7.893,2.860,3.701
