Period,mape,smape,mae,rmse
1.000,23.342,26.749,11.695,12.309
2.000,26.320,30.525,13.291,13.560
3.000,24.447,28.151,12.386,12.797
4.000,24.289,27.847,12.320,12.601
5.000,23.354,26.603,11.987,12.271
6.000,20.134,22.791,10.438,11.253
7.000,19.366,22.117,10.127,11.513
8.000,21.367,24.608,11.455,12.879
9.000,22.998,26.585,12.495,13.717
10.000,23.413,27.289,13.003,14.568
11.000,25.792,30.265,14.697,16.107
12.000,26.193,30.721,15.116,16.382
13.000,23.661,27.712,13.846,15.626
14.000,24.131,28.293,14.073,15.722
15.000,26.309,30.868,15.303,16.384
16.000,26.194,30.698,15.321,16.347
17.000,26.522,30.963,15.501,16.245
18.000,28.167,32.919,16.444,16.759
19.000,24.513,28.079,14.282,14.645
20.000,22.043,24.912,12.769,13.130
21.000,20.685,23.181,11.861,12.141
22.000,18.362,20.370,10.378,10.770
23.000,18.194,20.096,10.218,10.440
24.000,15.431,16.826,8.492,8.765
25.000,14.025,15.205,7.616,8.009
26.000,11.243,11.991,6.016,6.346
27.000,9.087,9.599,4.785,5.161
28.000,8.855,9.370,4.576,5.034
29.000,8.786,9.285,4.487,4.894
30.000,7.745,8.144,3.870,4.291
31.000,7.591,7.941,3.768,4.092
32.000,8.150,8.574,4.020,4.399
33.000,6.087,6.331,2.918,3.287
34.000,5.452,5.666,2.533,3.058
35.000,6.215,6.503,2.835,3.471
36.000,7.231,7.605,3.280,3.856
37.000,7.760,8.157,3.497,3.969
38.000,8.496,8.933,3.817,4.155
39.000,10.190,10.818,4.562,4.837
40.000,7.815,8.238,3.442,3.912
41.000,7.144,7.509,3.085,3.586
42.000,7.717,8.098,3.292,3.716
43.000,8.623,9.119,3.651,4.098
44.000,9.558,10.121,4.043,4.375
45.000,10.811,11.531,4.551,4.858
46.000,12.275,13.150,5.156,5.334
47.000,11.326,12.122,4.785,5.143
48.000,11.109,11.902,4.690,5.123
49.000,9.469,10.138,3.960,4.678
50.000,10.139,10.846,4.240,4.816
51.000,11.475,12.300,4.818,5.203
52.000,11.782,12.618,4.971,5.271
53.000,11.852,12.662,5.012,5.214
54.000,9.925,10.508,4.199,4.454
55.000,9.063,9.557,3.833,4.103
56.000,8.119,8.561,3.439,3.869
57.000,9.220,9.745,3.935,4.254
58.000,8.715,9.195,3.741,4.089
59.000,8.924,9.402,3.829,4.086
60.000,8.425,8.846,3.616,3.840
61.000,5.468,5.673,2.345,2.700
62.000,4.703,4.878,2.008,2.479
63.000,4.461,4.618,1.894,2.373
64.000,5.406,5.610,2.295,2.659
65.000,5.651,5.912,2.432,3.066
66.000,5.631,5.887,2.414,3.034
67.000,6.112,6.391,2.606,3.152
68.000,6.939,7.267,2.941,3.385
69.000,5.724,5.962,2.404,2.872
70.000,5.220,5.411,2.141,2.598
71.000,5.541,5.738,2.253,2.685
72.000,6.270,6.506,2.544,2.923
73.000,7.300,7.669,2.952,3.409
74.000,8.335,8.777,3.356,3.705
75.000,7.583,7.947,3.017,3.347
76.000,7.225,7.544,2.814,3.149
77.000,9.696,10.294,3.749,4.052
78.000,9.685,10.299,3.735,4.092
79.000,7.531,7.922,2.852,3.288
80.000,8.958,9.513,3.410,3.874
81.000,10.384,11.073,3.970,4.331
82.000,9.734,10.378,3.740,4.219
83.000,11.323,12.145,4.363,4.767
84.000,10.804,11.650,4.188,4.852
85.000,11.944,12.911,4.664,5.235
86.000,11.782,12.755,4.650,5.318
87.000,12.193,13.220,4.880,5.553
88.000,13.722,14.957,5.617,6.267
89.000,15.559,17.054,6.473,7.012
90.000,13.845,15.113,5.881,6.593
91.000,13.084,14.261,5.619,6.400
92.000,13.477,14.662,5.831,6.499
93.000,15.809,17.326,6.864,7.298
94.000,14.546,15.864,6.366,6.865
95.000,15.720,17.164,6.882,7.175
96.000,14.327,15.556,6.289,6.632
97.000,13.898,15.111,6.094,6.525
98.000,13.593,14.831,5.916,6.473
99.000,14.773,16.142,6.356,6.719
100.000,14.602,15.932,6.202,6.534
101.000,15.114,16.470,6.340,6.522
102.000,13.864,15.099,5.726,6.108
103.000,12.231,13.362,4.992,5.788
104.000,12.173,13.273,4.878,5.648
105.000,12.182,13.253,4.825,5.554
106.000,13.079,14.333,5.174,5.994
107.000,13.411,14.771,5.292,6.225
108.000,13.580,14.959,5.350,6.267
109.000,12.498,13.686,4.880,5.828
110.000,11.044,12.023,4.317,5.338
111.000,9.993,10.901,3.892,5.253
112.000,11.728,12.941,4.576,6.048
113.000,13.523,15.038,5.367,6.760
114.000,14.686,16.270,5.872,7.036
115.000,16.148,17.965,6.515,7.501
116.000,15.670,16.963,6.196,6.875
117.000,16.740,17.673,6.480,6.877
118.000,18.074,19.938,7.274,7.864
119.000,19.610,22.045,7.947,8.566
120.000,18.112,19.632,7.155,7.555
121.000,19.249,20.669,7.577,7.820
122.000,21.526,24.382,8.884,9.289
123.000,22.406,25.333,9.252,9.399
124.000,19.246,21.378,7.929,8.066
125.000,16.246,17.842,6.604,6.878
126.000,14.828,16.487,5.905,6.741
127.000,16.705,18.713,6.683,7.461
128.000,17.522,19.697,6.990,7.760
129.000,19.229,21.660,7.647,8.174
130.000,19.925,22.488,7.885,8.349
131.000,18.349,20.621,7.222,7.827
132.000,17.441,19.462,6.738,7.349
133.000,20.064,22.583,7.671,8.021
134.000,18.021,20.146,6.787,7.305
135.000,18.260,20.381,6.848,7.299
136.000,18.200,20.259,6.794,7.190
137.000,18.454,20.437,6.819,7.121
138.000,16.420,17.907,5.985,6.225
139.000,14.563,15.634,5.229,5.365
140.000,10.291,10.731,3.559,3.802
141.000,8.761,9.039,2.953,3.355
142.000,8.859,9.075,2.958,3.308
143.000,9.621,9.730,3.175,3.451
144.000,12.424,11.679,3.731,4.558
145.000,13.028,11.789,3.758,4.850
146.000,29.876,19.247,5.328,8.043
147.000,37.560,24.191,6.466,9.141
148.000,41.832,27.243,7.409,9.950
149.000,45.065,29.368,8.170,10.626
150.000,48.194,31.873,9.051,11.114
151.000,36.909,25.531,6.669,8.612
152.000,47.050,31.493,8.946,10.794
153.000,47.559,32.226,9.099,10.700
154.000,41.628,28.515,7.679,9.409
155.000,44.311,30.601,8.403,9.826
156.000,39.439,27.528,7.300,8.786
157.000,35.111,24.695,6.341,7.881
158.000,19.439,13.695,2.899,4.973
159.000,26.125,18.020,4.261,6.278
160.000,29.884,35.264,8.407,8.586
161.000,21.442,24.195,6.190,6.373
162.000,19.204,21.326,5.604,5.692
163.000,7.624,8.060,2.245,2.684
164.000,8.281,8.751,2.454,2.805
165.000,8.536,9.025,2.529,2.856
166.000,4.712,4.802,1.400,1.630
167.000,5.641,5.861,1.672,1.990
168.000,6.287,6.308,1.754,2.078
169.000,6.840,6.899,1.911,2.196
170.000,7.258,7.293,2.024,2.238
171.000,7.233,7.145,1.998,2.203
172.000,7.773,7.951,2.184,2.467
173.000,7.474,7.189,2.043,2.353
174.000,8.872,8.323,2.390,2.858
175.000,8.030,7.695,2.202,2.462
176.000,10.687,9.929,2.911,3.369
177.000,11.520,10.703,3.167,3.525
178.000,10.206,9.562,2.811,3.109
179.000,5.628,5.502,1.555,1.845
180.000,11.302,10.555,3.158,3.446
181.000,9.105,8.790,2.643,2.929
182.000,8.613,9.309,2.929,4.004
183.000,7.182,7.788,2.570,3.868
184.000,9.605,10.462,3.434,4.575
185.000,9.207,10.015,3.376,4.525
186.000,11.075,12.125,4.091,5.162
187.000,12.364,13.563,4.597,5.540
188.000,12.765,13.956,4.747,5.523
189.000,14.567,16.003,5.400,6.010
190.000,16.119,17.735,5.980,6.372
191.000,15.594,17.046,5.813,6.078
192.000,15.210,16.527,5.700,5.836
193.000,13.222,14.183,4.987,5.049
194.000,8.184,8.549,3.102,3.173
195.000,3.655,3.746,1.389,1.605
196.000,2.449,2.494,0.933,1.179
197.000,2.798,2.854,1.069,1.288
198.000,3.617,3.702,1.385,1.562
199.000,2.747,2.800,1.055,1.250
200.000,3.361,3.434,1.291,1.453
201.000,1.766,1.777,0.682,0.879
202.000,2.414,2.447,0.933,1.295
203.000,3.203,3.305,1.249,1.816
204.000,4.240,4.414,1.676,2.290
205.000,4.267,4.432,1.690,2.245
206.000,3.916,4.053,1.550,2.077
207.000,3.825,3.928,1.508,1.977
208.000,3.779,3.828,1.485,1.849
209.000,4.124,4.167,1.597,1.927
210.000,5.020,5.087,1.878,2.442
211.000,5.010,5.019,1.852,2.347
212.000,5.385,5.395,1.993,2.435
213.000,6.113,6.121,2.258,2.718
214.000,7.444,7.334,2.705,3.198
215.000,8.693,8.241,3.050,3.668
216.000,11.402,10.574,3.919,4.549
217.000,13.720,12.614,4.716,5.251
218.000,14.510,13.345,4.972,5.381
219.000,13.276,12.280,4.519,4.948
220.000,12.769,11.857,4.344,4.740
221.000,10.886,10.206,3.701,4.109
222.000,13.588,12.625,4.617,4.888
223.000,9.953,9.390,3.377,3.715
224.000,6.059,5.872,2.080,2.319
225.000,8.822,8.375,3.020,3.324
226.000,7.269,6.948,2.490,2.809
227.000,5.098,4.929,1.747,2.038
228.000,3.038,3.022,1.059,1.235
229.000,3.570,3.508,1.239,1.464
230.000,2.982,3.019,1.045,1.303
231.000,5.430,5.242,1.871,2.155
232.000,2.958,2.930,1.030,1.143
233.000,3.101,3.069,1.081,1.169
234.000,2.806,2.804,0.982,1.067
235.000,3.117,3.140,1.088,1.408
236.000,3.347,3.359,1.161,1.427
237.000,3.575,3.508,1.216,1.489
238.000,4.002,3.941,1.360,1.601
239.000,4.899,4.746,1.658,1.984
240.000,4.951,4.808,1.672,1.944
241.000,5.311,5.159,1.780,2.012
242.000,4.116,4.057,1.360,1.697
243.000,4.411,4.347,1.453,1.739
244.000,4.399,4.357,1.448,1.702
245.000,7.047,6.581,2.027,2.854
246.000,8.267,7.657,2.370,3.188
247.000,8.629,7.994,2.486,3.240
248.000,9.261,8.530,2.673,3.418
249.000,6.858,6.512,1.977,2.913
250.000,7.039,6.586,2.006,2.946
251.000,8.792,7.995,2.502,3.441
252.000,10.704,9.692,3.090,3.951
253.000,10.724,9.742,3.107,3.888
254.000,7.049,6.396,1.953,2.998
255.000,5.205,4.705,1.396,2.556
256.000,4.925,4.547,1.341,2.310
257.000,4.990,4.534,1.349,2.453
258.000,5.082,4.632,1.380,2.440
259.000,10.385,11.034,3.486,3.735
260.000,6.446,6.712,2.181,2.454
261.000,3.154,3.217,1.069,1.366
262.000,2.109,2.102,0.709,0.902
263.000,2.210,2.170,0.736,0.988
264.000,3.344,3.302,1.130,1.421
265.000,3.388,3.410,1.171,1.617
266.000,3.973,4.033,1.382,1.844
267.000,4.951,5.210,1.872,2.957
268.000,5.504,5.749,2.073,3.000
269.000,5.980,6.254,2.265,3.113
270.000,5.872,6.183,2.246,3.201
271.000,5.960,6.273,2.277,3.210
272.000,6.266,6.600,2.387,3.276
273.000,6.966,7.345,2.635,3.421
274.000,8.452,8.988,3.190,3.905
275.000,7.347,7.770,2.793,3.516
276.000,6.951,7.320,2.650,3.317
277.000,6.833,7.179,2.606,3.229
