Period,mape,smape,mae,rmse
1.000,5.011,4.809,2.369,3.267
2.000,7.029,7.372,3.597,4.156
3.000,5.664,5.891,2.913,3.422
4.000,2.447,2.437,1.232,1.493
5.000,3.101,3.130,1.607,2.040
6.000,3.271,3.275,1.703,2.263
7.000,4.089,4.080,2.128,2.582
8.000,4.516,4.645,2.488,3.509
9.000,5.678,5.934,3.189,4.210
10.000,6.705,7.039,3.826,4.808
11.000,6.503,6.829,3.876,5.344
12.000,8.208,8.722,4.903,6.192
13.000,7.137,7.556,4.308,5.738
14.000,7.146,7.563,4.312,5.729
15.000,8.972,9.589,5.383,6.652
16.000,7.314,7.793,4.460,5.937
17.000,7.149,7.597,4.363,5.792
18.000,7.201,7.639,4.391,5.749
19.000,5.954,6.119,3.592,4.590
20.000,6.564,6.637,3.876,4.661
21.000,7.317,7.289,4.226,4.809
22.000,9.342,8.916,5.158,5.779
23.000,9.884,9.457,5.449,5.930
24.000,12.036,11.334,6.545,6.964
25.000,18.531,16.859,9.884,10.157
26.000,16.199,14.877,8.512,8.850
27.000,13.197,12.242,6.810,7.330
28.000,11.549,10.766,5.856,6.496
29.000,12.130,11.286,6.081,6.675
30.000,14.632,13.493,7.300,7.754
31.000,13.526,12.475,6.622,7.310
32.000,14.226,13.046,6.847,7.628
33.000,13.827,12.636,6.519,7.519
34.000,14.597,13.271,6.732,7.759
35.000,15.826,14.374,7.228,8.051
36.000,16.116,14.639,7.294,8.071
37.000,16.642,15.077,7.441,8.233
38.000,18.010,16.277,8.016,8.654
39.000,16.031,14.578,7.075,7.853
40.000,16.166,14.710,7.100,7.837
41.000,17.512,15.888,7.610,8.187
42.000,19.076,17.267,8.213,8.558
43.000,17.222,15.696,7.341,7.765
44.000,17.450,15.922,7.409,7.746
45.000,15.214,13.978,6.408,6.898
46.000,13.946,12.859,5.844,6.429
47.000,12.166,11.294,5.105,5.739
48.000,11.418,10.665,4.789,5.325
49.000,12.619,11.756,5.287,5.695
50.000,10.825,10.170,4.523,4.935
51.000,7.255,6.885,3.019,3.675
52.000,5.876,5.594,2.441,3.219
53.000,5.497,5.247,2.284,3.052
54.000,4.947,4.756,2.058,2.749
55.000,4.670,4.566,1.955,2.436
56.000,5.240,5.228,2.201,2.583
57.000,6.637,6.849,2.835,3.160
58.000,7.948,8.302,3.419,3.733
59.000,9.672,10.244,4.164,4.496
60.000,10.927,11.615,4.700,4.901
61.000,6.869,7.178,2.960,3.325
62.000,5.493,5.707,2.361,2.778
63.000,5.187,5.378,2.226,2.638
64.000,6.430,6.696,2.750,3.065
65.000,5.854,6.106,2.539,3.041
66.000,4.396,4.543,1.900,2.412
67.000,4.050,4.166,1.744,2.236
68.000,5.104,5.311,2.202,2.760
69.000,4.026,4.157,1.732,2.258
70.000,3.006,3.033,1.259,1.665
71.000,3.627,3.583,1.464,1.781
72.000,3.938,3.885,1.587,1.845
73.000,2.480,2.516,1.025,1.525
74.000,2.812,2.842,1.155,1.604
75.000,3.818,3.761,1.499,1.994
76.000,5.348,5.200,2.058,2.386
77.000,3.695,3.666,1.446,1.982
78.000,4.233,4.155,1.635,2.090
79.000,8.983,8.543,3.397,3.608
80.000,6.492,6.233,2.444,2.741
81.000,4.582,4.427,1.720,2.114
82.000,5.030,4.857,1.895,2.236
83.000,3.895,3.785,1.462,1.837
84.000,4.884,4.742,1.851,2.157
85.000,4.275,4.165,1.617,1.967
86.000,4.203,4.106,1.595,1.912
87.000,4.156,4.095,1.601,1.870
88.000,4.449,4.497,1.809,2.345
89.000,5.807,6.081,2.486,3.302
90.000,6.249,6.567,2.704,3.576
91.000,7.136,7.521,3.085,3.886
92.000,7.399,7.772,3.216,3.916
93.000,10.030,10.693,4.381,4.927
94.000,8.762,9.285,3.854,4.411
95.000,9.465,10.031,4.160,4.583
96.000,8.656,9.137,3.815,4.239
97.000,6.866,7.199,3.045,3.560
98.000,5.398,5.616,2.395,2.927
99.000,6.714,6.982,2.950,3.376
100.000,6.775,6.965,2.934,3.304
101.000,6.892,6.916,2.896,3.294
102.000,5.832,5.566,2.330,3.128
103.000,6.407,6.020,2.525,3.521
104.000,8.453,7.856,3.239,4.238
105.000,11.169,10.146,4.039,5.163
106.000,11.314,10.308,4.097,5.122
107.000,11.440,10.453,4.145,5.074
108.000,13.595,12.019,4.615,6.070
109.000,15.669,13.742,5.216,6.678
110.000,14.862,13.148,4.945,6.283
111.000,16.302,14.302,5.444,6.833
112.000,16.562,14.579,5.552,6.832
113.000,12.127,10.934,4.008,5.392
114.000,11.358,10.535,3.853,5.042
115.000,11.970,11.549,4.258,4.996
116.000,11.723,11.014,4.065,5.092
117.000,12.253,11.301,4.189,5.304
118.000,12.839,12.602,4.705,5.249
119.000,14.550,15.199,5.697,6.050
120.000,11.839,11.664,4.413,5.113
121.000,12.035,11.789,4.478,5.131
122.000,17.047,18.806,7.066,7.491
123.000,19.416,21.674,8.074,8.371
124.000,12.533,13.504,5.251,5.618
125.000,6.285,6.496,2.597,2.869
126.000,3.542,3.546,1.399,1.767
127.000,3.588,3.583,1.410,1.761
128.000,3.236,3.192,1.244,1.665
129.000,3.493,3.425,1.334,1.744
130.000,4.186,4.032,1.580,2.075
131.000,4.832,4.643,1.823,2.290
132.000,5.597,5.366,2.104,2.523
133.000,3.231,3.228,1.214,1.706
134.000,3.763,3.660,1.350,1.745
135.000,4.160,4.027,1.486,1.867
136.000,4.788,4.621,1.713,2.051
137.000,6.643,5.958,2.040,3.541
138.000,7.208,6.496,2.208,3.670
139.000,7.732,7.008,2.371,3.727
140.000,10.807,9.680,3.275,4.523
141.000,12.915,11.582,3.981,5.003
142.000,12.603,11.321,3.845,4.903
143.000,11.759,10.554,3.515,4.742
144.000,15.588,13.502,4.413,5.950
145.000,18.064,15.620,5.113,6.488
146.000,36.769,23.883,6.999,9.420
147.000,39.574,25.185,6.817,9.563
148.000,43.553,28.284,7.764,10.201
149.000,47.706,31.179,8.794,10.962
150.000,50.295,33.318,9.539,11.320
151.000,34.594,23.543,6.029,8.135
152.000,38.214,25.681,6.807,8.905
153.000,41.830,28.370,7.677,9.491
154.000,39.601,27.187,7.195,8.904
155.000,42.673,29.468,7.982,9.419
156.000,39.463,27.489,7.274,8.721
157.000,35.009,24.535,6.271,7.827
158.000,21.106,14.627,3.179,5.310
159.000,23.491,16.200,3.669,5.786
160.000,16.809,18.549,4.917,5.222
161.000,17.813,19.630,5.164,5.299
