Period,mape,smape,mae,rmse
1.000,19.498,21.690,9.698,10.390
2.000,23.364,26.755,11.810,12.254
3.000,22.874,26.023,11.598,11.871
4.000,20.206,22.656,10.241,10.545
5.000,19.224,21.447,9.874,10.262
6.000,15.534,17.288,8.085,9.260
7.000,14.551,16.332,7.650,9.419
8.000,16.780,19.003,9.068,10.885
9.000,19.292,21.973,10.540,12.020
10.000,20.181,23.056,11.231,12.682
11.000,20.710,23.783,11.899,13.599
12.000,21.711,24.967,12.600,14.091
13.000,19.352,22.262,11.377,13.365
14.000,19.759,22.711,11.546,13.362
15.000,21.858,25.170,12.741,14.069
16.000,22.559,25.919,13.180,14.199
17.000,22.635,25.846,13.213,13.917
18.000,24.075,27.510,14.035,14.359
19.000,20.659,23.158,12.025,12.369
20.000,18.006,19.892,10.425,10.763
21.000,16.036,17.524,9.188,9.479
22.000,13.241,14.289,7.462,7.852
23.000,13.141,14.142,7.379,7.661
24.000,10.660,11.330,5.898,6.182
25.000,7.864,8.249,4.241,4.603
26.000,6.422,6.695,3.432,3.883
27.000,5.207,5.383,2.730,3.136
28.000,4.566,4.701,2.339,2.783
29.000,4.319,4.439,2.194,2.657
30.000,3.743,3.823,1.868,2.368
31.000,3.529,3.589,1.757,2.280
32.000,3.609,3.692,1.788,2.368
33.000,3.428,3.484,1.683,2.229
34.000,3.700,3.667,1.790,2.128
35.000,4.705,4.612,2.269,2.618
36.000,3.911,3.890,1.841,2.118
37.000,3.131,3.170,1.427,1.828
38.000,3.342,3.384,1.519,1.861
39.000,3.966,4.093,1.766,2.205
40.000,4.309,4.446,1.912,2.284
41.000,3.273,3.330,1.422,1.658
42.000,3.792,3.807,1.646,1.896
43.000,3.958,4.064,1.667,2.006
44.000,4.736,4.896,1.989,2.374
45.000,5.901,6.159,2.463,2.908
46.000,6.809,7.127,2.838,3.218
47.000,8.398,8.869,3.539,3.977
48.000,7.528,7.974,3.173,3.861
49.000,6.633,7.003,2.776,3.553
50.000,7.203,7.597,3.016,3.666
51.000,8.875,9.416,3.725,4.239
52.000,9.244,9.799,3.901,4.317
53.000,9.103,9.624,3.851,4.202
54.000,8.709,9.181,3.683,4.006
55.000,7.059,7.405,2.988,3.433
56.000,6.925,7.275,2.931,3.441
57.000,7.639,8.027,3.256,3.653
58.000,7.014,7.352,3.003,3.426
59.000,6.723,7.040,2.880,3.315
60.000,6.641,6.949,2.845,3.269
61.000,3.959,4.088,1.684,2.134
62.000,3.660,3.726,1.547,1.808
63.000,3.696,3.736,1.560,1.804
64.000,3.557,3.650,1.502,1.880
65.000,4.497,4.667,1.935,2.533
66.000,4.930,5.097,2.108,2.584
67.000,5.381,5.585,2.288,2.753
68.000,6.156,6.425,2.607,3.073
69.000,5.317,5.485,2.220,2.570
70.000,4.657,4.722,1.917,2.265
71.000,5.020,5.084,2.059,2.339
72.000,5.542,5.675,2.258,2.521
73.000,6.841,7.139,2.775,3.120
74.000,8.143,8.559,3.286,3.614
75.000,7.494,7.836,2.989,3.267
76.000,6.055,6.274,2.364,2.682
77.000,8.450,8.871,3.296,3.501
78.000,7.610,7.954,2.960,3.158
79.000,4.355,4.490,1.659,2.001
80.000,5.290,5.487,2.025,2.372
81.000,6.302,6.560,2.420,2.709
82.000,6.388,6.663,2.467,2.817
83.000,7.134,7.468,2.763,3.108
84.000,7.111,7.474,2.771,3.243
85.000,7.460,7.840,2.925,3.344
86.000,7.134,7.479,2.823,3.223
87.000,6.570,6.858,2.636,3.033
88.000,7.107,7.443,2.936,3.473
89.000,8.916,9.457,3.759,4.386
90.000,8.444,8.941,3.617,4.288
91.000,9.083,9.633,3.899,4.500
92.000,9.361,9.916,4.050,4.594
93.000,12.043,12.912,5.229,5.592
94.000,10.357,11.037,4.542,5.004
95.000,11.096,11.837,4.871,5.214
96.000,10.591,11.279,4.656,5.019
97.000,10.544,11.260,4.626,5.065
98.000,9.931,10.595,4.319,4.807
99.000,11.056,11.833,4.776,5.156
100.000,11.841,12.667,5.068,5.277
101.000,11.684,12.457,4.940,5.054
102.000,10.443,11.122,4.352,4.636
103.000,9.324,10.000,3.846,4.553
104.000,8.579,9.182,3.454,4.223
105.000,6.803,7.259,2.678,3.657
106.000,8.152,8.845,3.220,4.478
107.000,9.385,10.279,3.709,5.061
108.000,9.947,10.760,3.836,5.073
109.000,9.775,10.475,3.715,4.908
110.000,10.252,10.948,3.896,4.951
111.000,10.668,11.229,4.024,4.939
112.000,12.360,13.012,4.666,5.455
113.000,13.407,14.576,5.220,6.314
114.000,14.631,15.915,5.758,6.627
115.000,15.438,16.756,6.102,6.743
116.000,13.963,14.558,5.361,5.769
117.000,13.816,13.807,5.098,5.429
118.000,14.925,15.560,5.756,6.000
119.000,15.807,16.915,6.234,6.525
120.000,13.490,13.641,5.104,5.654
121.000,13.592,13.515,5.094,5.807
122.000,14.726,15.967,6.044,6.364
123.000,16.609,18.233,6.872,7.103
124.000,14.205,15.377,5.874,6.070
125.000,9.768,10.331,3.999,4.206
126.000,6.173,6.509,2.461,3.108
127.000,7.552,8.038,3.033,3.782
128.000,8.624,9.204,3.461,4.129
129.000,9.573,10.224,3.831,4.367
130.000,9.718,10.356,3.866,4.315
131.000,9.028,9.566,3.557,3.965
132.000,7.307,7.648,2.816,3.273
133.000,8.939,9.473,3.484,3.904
134.000,6.436,6.777,2.488,3.116
135.000,6.390,6.716,2.463,3.045
136.000,5.449,5.701,2.089,2.703
137.000,8.604,8.411,2.942,3.967
138.000,8.714,8.413,2.924,3.946
139.000,8.835,8.439,2.916,3.920
140.000,9.073,8.139,2.708,4.178
141.000,10.737,9.550,3.214,4.645
142.000,11.675,10.412,3.510,4.844
143.000,12.699,11.342,3.817,5.074
144.000,16.534,14.340,4.732,6.167
145.000,18.826,16.302,5.374,6.636
146.000,36.768,24.586,7.245,9.327
147.000,41.049,26.861,7.399,9.779
148.000,44.405,29.572,8.199,10.254
149.000,46.361,31.218,8.760,10.492
150.000,46.605,31.735,8.892,10.391
151.000,28.884,19.865,4.789,6.898
152.000,31.451,21.284,5.272,7.508
153.000,33.129,22.575,5.671,7.751
154.000,28.337,19.151,4.566,6.900
155.000,30.740,20.792,5.092,7.359
156.000,27.555,18.576,4.371,6.774
157.000,25.674,17.687,4.074,6.287
158.000,23.096,18.476,4.210,5.320
159.000,22.999,16.869,3.801,5.576
160.000,26.806,31.550,7.851,8.347
161.000,28.742,33.804,8.327,8.534
162.000,26.046,30.030,7.631,7.720
163.000,15.707,17.216,4.654,4.959
164.000,14.641,15.941,4.374,4.667
165.000,14.446,15.654,4.313,4.509
166.000,10.426,11.103,3.148,3.452
167.000,10.684,11.356,3.206,3.418
168.000,8.033,8.353,2.369,2.635
169.000,6.246,6.364,1.800,2.140
170.000,6.557,6.584,1.862,2.185
171.000,6.917,6.707,1.904,2.281
172.000,7.585,7.392,2.120,2.472
173.000,8.471,8.193,2.374,2.689
174.000,9.495,9.140,2.665,2.909
175.000,9.640,9.409,2.739,2.903
176.000,11.835,11.018,3.303,3.727
177.000,13.578,12.502,3.798,4.252
178.000,14.407,13.258,4.055,4.409
179.000,10.730,10.095,3.034,3.334
180.000,13.207,12.229,3.749,4.106
181.000,12.448,11.650,3.585,3.848
182.000,7.770,7.764,2.478,2.811
183.000,7.923,8.013,2.600,2.921
184.000,7.437,7.750,2.577,3.171
185.000,8.202,8.585,2.887,3.424
186.000,9.148,9.742,3.320,3.973
187.000,10.446,11.207,3.840,4.463
188.000,12.061,13.054,4.459,5.033
189.000,13.188,14.284,4.858,5.258
190.000,14.722,15.994,5.432,5.656
191.000,13.723,14.800,5.097,5.250
192.000,12.883,13.824,4.824,4.959
193.000,10.921,11.635,4.134,4.398
194.000,8.310,8.838,3.180,3.828
195.000,7.066,7.548,2.705,3.631
196.000,6.839,7.321,2.590,3.603
197.000,8.790,9.502,3.354,4.371
198.000,10.939,11.892,4.198,5.066
199.000,11.011,11.961,4.247,5.092
200.000,11.412,12.397,4.426,5.220
201.000,11.271,12.220,4.402,5.176
202.000,13.180,14.398,5.149,5.833
203.000,14.607,16.024,5.710,6.277
204.000,16.771,18.506,6.593,6.968
205.000,16.274,17.842,6.416,6.665
206.000,14.313,15.504,5.655,5.860
207.000,11.272,12.021,4.453,4.687
208.000,8.307,8.742,3.286,3.600
209.000,7.148,7.487,2.824,3.184
210.000,6.669,6.929,2.596,2.934
211.000,4.788,4.914,1.829,2.297
212.000,4.774,4.896,1.822,2.280
213.000,5.182,5.305,1.971,2.360
214.000,5.357,5.381,1.978,2.352
215.000,5.352,5.225,1.893,2.316
216.000,6.706,6.372,2.267,2.847
217.000,8.639,8.128,2.926,3.450
218.000,9.193,8.656,3.109,3.540
219.000,8.298,7.846,2.788,3.233
220.000,8.556,8.104,2.881,3.237
221.000,7.249,6.912,2.433,2.790
222.000,8.392,7.984,2.821,3.084
223.000,6.139,5.894,2.056,2.371
224.000,3.221,3.200,1.102,1.351
225.000,4.982,4.835,1.699,1.968
226.000,5.228,5.116,1.803,2.022
227.000,4.625,4.682,1.638,2.072
228.000,5.212,5.486,1.886,2.665
229.000,5.744,6.041,2.069,2.772
230.000,7.198,7.626,2.562,3.220
231.000,5.842,6.048,2.060,2.461
232.000,7.060,7.450,2.489,3.058
233.000,7.662,8.082,2.706,3.185
234.000,8.383,8.843,2.965,3.341
235.000,9.224,9.784,3.253,3.641
236.000,9.850,10.456,3.464,3.778
237.000,9.239,9.767,3.242,3.522
238.000,9.426,9.959,3.302,3.519
239.000,6.897,7.187,2.417,2.631
240.000,5.259,5.401,1.826,1.944
241.000,3.062,3.075,1.046,1.306
242.000,3.253,3.255,1.103,1.325
243.000,3.486,3.506,1.182,1.382
244.000,3.509,3.523,1.186,1.370
245.000,6.093,5.650,1.731,2.610
246.000,7.184,6.578,2.019,2.996
247.000,7.607,6.969,2.153,3.079
248.000,8.186,7.492,2.334,3.221
249.000,6.096,5.772,1.748,2.639
250.000,6.131,5.871,1.772,2.655
251.000,6.903,6.374,1.961,2.822
252.000,9.232,8.446,2.659,3.412
253.000,11.165,10.209,3.278,3.875
254.000,9.731,8.932,2.844,3.484
255.000,8.079,7.434,2.341,3.062
256.000,6.563,6.044,1.877,2.687
257.000,6.933,6.405,2.002,2.727
258.000,7.455,6.902,2.167,2.809
259.000,6.309,6.543,2.116,2.265
260.000,4.669,4.774,1.574,1.726
261.000,2.230,2.196,0.751,1.152
262.000,2.708,2.635,0.905,1.319
263.000,3.256,3.163,1.089,1.463
264.000,3.374,3.280,1.131,1.478
265.000,2.510,2.445,0.848,1.259
266.000,2.547,2.480,0.861,1.278
267.000,2.891,2.907,1.075,1.789
268.000,3.113,3.103,1.142,1.802
269.000,2.950,2.948,1.090,1.789
270.000,3.368,3.352,1.245,1.922
271.000,4.149,4.089,1.515,2.220
272.000,4.799,4.710,1.735,2.369
273.000,4.909,4.833,1.780,2.358
274.000,4.970,5.062,1.877,2.413
275.000,5.449,5.539,2.057,2.521
276.000,5.505,5.524,2.071,2.489
277.000,5.734,5.674,2.144,2.558
278.000,6.257,6.076,2.318,2.819
279.000,6.890,6.683,2.542,2.940
280.000,7.097,6.892,2.619,2.945
281.000,13.069,12.222,4.765,4.886
282.000,9.282,8.810,3.368,3.618
283.000,9.709,9.223,3.534,3.682
284.000,5.884,5.675,2.154,2.417
285.000,3.681,3.582,1.349,1.718
286.000,4.675,4.512,1.685,2.126
287.000,5.893,5.649,2.133,2.555
288.000,4.374,4.228,1.589,2.007
289.000,4.213,4.086,1.549,1.964
290.000,4.818,4.666,1.794,2.168
291.000,5.874,5.652,2.209,2.620
292.000,7.807,7.426,2.937,3.380
293.000,7.868,7.491,2.949,3.357
294.000,9.652,9.136,3.619,3.914
295.000,9.274,8.799,3.505,3.791
296.000,6.138,5.886,2.357,2.793
297.000,7.144,6.894,2.831,3.190
298.000,6.784,6.562,2.707,3.078
299.000,5.646,5.524,2.317,2.762
300.000,5.074,5.045,2.142,2.561
301.000,5.738,5.628,2.399,2.773
302.000,6.694,6.525,2.808,3.116
303.000,6.886,6.707,2.925,3.373
304.000,6.801,6.656,2.933,3.375
305.000,5.755,5.711,2.575,3.229
306.000,5.870,5.828,2.661,3.536
307.000,6.481,6.414,2.907,3.673
308.000,7.211,7.109,3.196,3.831
309.000,7.740,7.646,3.436,4.004
310.000,8.716,8.506,3.817,4.246
311.000,11.046,10.378,4.673,5.026
312.000,10.450,9.879,4.411,4.682
313.000,12.687,11.872,5.308,5.507
314.000,10.159,9.607,4.203,4.452
315.000,9.902,9.396,4.071,4.232
316.000,6.356,6.112,2.587,2.889
317.000,4.122,4.045,1.698,1.852
318.000,4.722,4.594,1.929,2.166
319.000,5.799,5.600,2.361,2.656
320.000,3.644,3.596,1.521,1.850
321.000,3.989,3.933,1.660,1.924
322.000,3.629,3.600,1.521,1.852
323.000,3.948,3.914,1.662,1.975
324.000,3.655,3.681,1.562,1.969
325.000,5.411,5.270,2.232,2.416
326.000,4.621,4.536,1.902,2.160
327.000,4.499,4.437,1.832,2.157
328.000,4.742,4.685,1.915,2.180
329.000,5.750,5.618,2.269,2.471
330.000,8.282,7.913,3.202,3.423
331.000,10.403,9.828,4.021,4.221
332.000,7.739,7.397,2.945,3.181
333.000,4.180,4.047,1.558,1.943
334.000,3.068,2.999,1.135,1.499
335.000,3.404,3.337,1.250,1.586
336.000,3.784,3.697,1.385,1.725
337.000,4.104,4.121,1.525,1.818
338.000,4.459,4.452,1.649,1.946
339.000,4.916,4.930,1.826,2.061
340.000,5.249,5.359,1.965,2.240
341.000,6.290,6.502,2.358,2.628
342.000,6.654,6.872,2.471,2.707
343.000,8.716,9.190,3.239,3.586
344.000,11.986,12.844,4.459,4.687
345.000,7.250,7.577,2.675,2.959
346.000,9.732,10.291,3.583,3.770
347.000,5.893,6.129,2.165,2.467
348.000,6.967,7.270,2.570,2.805
349.000,5.284,5.479,1.942,2.242
350.000,5.019,5.194,1.834,2.117
351.000,2.941,2.947,1.028,1.461
352.000,3.456,3.460,1.192,1.584
