Period,mape,smape,mae,rmse
1.000,15.439,16.748,7.704,8.206
2.000,19.574,21.826,9.908,10.170
3.000,18.032,19.904,9.162,9.339
4.000,14.048,15.217,7.133,7.450
5.000,14.039,15.174,7.217,7.469
6.000,11.430,12.248,5.938,6.458
7.000,10.138,10.862,5.320,6.142
8.000,11.728,12.649,6.322,7.189
9.000,12.717,13.736,6.941,7.652
10.000,12.605,13.620,7.033,7.830
11.000,11.313,12.261,6.624,8.043
12.000,12.867,13.976,7.539,8.647
13.000,11.088,11.958,6.581,7.812
14.000,10.864,11.670,6.441,7.581
15.000,12.097,13.059,7.156,8.136
16.000,10.132,10.873,6.081,7.261
17.000,9.423,10.080,5.677,6.884
18.000,9.823,10.515,5.910,7.041
19.000,6.684,7.099,4.098,5.615
20.000,5.640,5.959,3.480,5.059
21.000,5.352,5.592,3.268,4.678
22.000,5.233,5.225,3.011,3.992
23.000,6.197,6.127,3.517,4.414
24.000,7.861,7.581,4.314,4.867
25.000,12.337,11.538,6.561,6.900
26.000,11.400,10.694,5.974,6.383
27.000,10.116,9.529,5.225,5.726
28.000,8.909,8.428,4.536,5.113
29.000,9.429,8.901,4.744,5.299
30.000,11.304,10.609,5.660,6.055
31.000,10.905,10.236,5.376,5.848
32.000,11.601,10.877,5.651,6.013
33.000,11.253,10.569,5.403,5.751
34.000,11.279,10.612,5.336,5.597
35.000,10.525,9.948,4.934,5.149
36.000,8.691,8.276,4.009,4.286
37.000,7.848,7.486,3.554,3.932
38.000,8.411,8.017,3.788,4.081
39.000,6.639,6.363,2.955,3.376
40.000,6.825,6.559,3.029,3.316
41.000,7.649,7.326,3.369,3.622
42.000,8.089,7.753,3.544,3.680
43.000,5.191,5.032,2.236,2.466
44.000,5.124,4.977,2.198,2.368
45.000,3.840,3.754,1.631,1.847
46.000,3.800,3.720,1.608,1.814
47.000,4.039,3.990,1.720,1.903
48.000,4.658,4.617,1.981,2.121
49.000,5.811,5.719,2.458,2.537
50.000,4.588,4.583,1.937,2.114
51.000,3.708,3.784,1.569,2.007
52.000,4.147,4.267,1.764,2.267
53.000,4.709,4.859,2.009,2.464
54.000,4.946,5.098,2.107,2.485
55.000,5.185,5.332,2.202,2.496
56.000,5.867,6.044,2.485,2.722
57.000,6.903,7.225,2.956,3.365
58.000,7.152,7.466,3.073,3.349
59.000,7.612,7.969,3.271,3.549
60.000,8.090,8.470,3.475,3.658
61.000,3.964,4.074,1.705,1.994
62.000,3.608,3.700,1.543,1.836
63.000,3.104,3.167,1.325,1.623
64.000,4.137,4.254,1.763,2.035
65.000,4.470,4.634,1.937,2.469
66.000,3.749,3.872,1.621,2.188
67.000,3.855,3.962,1.649,2.102
68.000,4.891,5.077,2.079,2.585
69.000,5.142,5.335,2.152,2.597
70.000,4.811,4.967,1.960,2.381
71.000,4.787,4.919,1.938,2.305
72.000,5.302,5.461,2.144,2.449
73.000,6.630,6.928,2.674,3.056
74.000,7.197,7.521,2.892,3.174
75.000,5.884,6.095,2.333,2.591
76.000,5.612,5.787,2.191,2.410
77.000,7.505,7.839,2.915,3.104
78.000,7.189,7.487,2.788,2.930
79.000,3.633,3.699,1.373,1.520
80.000,4.186,4.286,1.582,1.724
81.000,4.705,4.831,1.782,1.896
82.000,3.511,3.578,1.330,1.499
83.000,4.105,4.197,1.563,1.704
84.000,3.275,3.338,1.258,1.616
85.000,3.708,3.792,1.430,1.738
86.000,3.650,3.728,1.413,1.706
87.000,3.301,3.358,1.287,1.596
88.000,3.609,3.686,1.465,1.962
89.000,4.862,5.026,2.031,2.613
90.000,4.461,4.596,1.899,2.557
91.000,4.743,4.873,2.026,2.644
92.000,5.211,5.373,2.245,2.799
93.000,7.163,7.499,3.114,3.521
94.000,6.160,6.426,2.702,3.163
95.000,6.645,6.928,2.914,3.261
96.000,5.382,5.586,2.378,2.795
97.000,5.749,5.971,2.527,2.894
98.000,5.410,5.589,2.351,2.680
99.000,5.994,6.256,2.621,3.080
100.000,6.133,6.406,2.681,3.141
101.000,5.590,5.821,2.435,2.894
102.000,3.867,3.961,1.607,1.936
103.000,3.837,3.932,1.548,2.165
104.000,3.816,3.931,1.535,2.213
105.000,4.243,4.316,1.646,2.236
106.000,5.103,5.255,1.992,2.650
107.000,5.858,6.051,2.291,2.881
108.000,7.877,7.856,2.885,3.613
109.000,9.331,9.123,3.315,4.037
110.000,9.461,9.231,3.357,4.036
111.000,9.990,9.584,3.491,4.162
112.000,10.718,10.198,3.732,4.402
113.000,10.219,10.106,3.686,4.306
114.000,10.785,10.808,3.967,4.484
115.000,11.302,11.438,4.213,4.641
116.000,9.697,9.398,3.444,4.109
117.000,9.206,8.469,3.051,4.234
118.000,9.209,8.867,3.261,3.963
119.000,10.540,10.545,3.936,4.283
120.000,8.147,7.531,2.776,4.017
121.000,8.130,7.360,2.716,4.254
122.000,9.083,9.490,3.680,3.961
123.000,10.833,11.582,4.497,4.899
124.000,6.821,7.072,2.797,3.059
125.000,3.886,3.919,1.524,1.902
126.000,3.711,3.691,1.410,1.909
127.000,4.406,4.458,1.695,2.314
128.000,5.117,5.208,1.978,2.552
129.000,5.680,5.803,2.198,2.692
130.000,5.529,5.598,2.120,2.604
131.000,5.603,5.619,2.138,2.627
132.000,5.999,6.016,2.276,2.695
133.000,7.707,8.105,2.981,3.392
134.000,6.499,6.809,2.489,3.020
135.000,6.544,6.841,2.497,2.968
136.000,6.063,6.300,2.299,2.710
137.000,9.114,8.935,3.122,3.936
138.000,8.904,8.590,2.981,3.814
139.000,9.053,8.612,2.969,3.801
140.000,9.932,8.978,3.005,4.268
141.000,11.275,10.006,3.365,4.839
142.000,13.237,11.734,4.001,5.373
143.000,14.968,13.234,4.534,5.853
144.000,19.501,16.653,5.618,7.160
145.000,22.712,19.297,6.526,7.884
146.000,42.244,27.613,8.461,10.645
147.000,46.330,29.313,8.387,11.031
148.000,50.237,32.376,9.326,11.635
149.000,54.103,35.225,10.371,12.312
150.000,56.510,37.306,11.105,12.632
151.000,39.424,26.587,7.110,9.197
152.000,45.299,30.404,8.531,10.373
