Period,mape,smape,mae,rmse
1.000,6.063,6.059,2.914,3.429
2.000,8.972,9.436,4.546,4.761
3.000,8.947,9.423,4.557,4.843
4.000,7.690,8.066,3.920,4.324
5.000,7.662,8.097,3.997,4.813
6.000,7.268,7.732,3.843,5.016
7.000,7.082,7.576,3.787,5.238
8.000,9.014,9.786,4.984,6.760
9.000,10.258,11.148,5.729,7.306
10.000,11.077,12.059,6.291,7.790
11.000,12.547,13.711,7.314,8.731
12.000,14.068,15.402,8.225,9.334
13.000,13.499,14.733,7.927,9.009
14.000,13.459,14.642,7.883,8.807
15.000,14.369,15.626,8.397,9.052
16.000,13.038,14.099,7.681,8.393
17.000,12.007,12.936,7.103,7.894
18.000,12.288,13.233,7.264,7.954
19.000,9.082,9.648,5.406,6.287
20.000,7.332,7.748,4.406,5.470
21.000,5.204,5.442,3.163,4.247
22.000,3.514,3.600,2.082,2.821
23.000,3.607,3.697,2.133,2.876
24.000,3.381,3.413,1.943,2.412
25.000,3.719,3.622,1.972,2.414
26.000,4.340,4.209,2.270,2.704
27.000,4.119,4.002,2.145,2.550
28.000,4.553,4.419,2.355,2.714
29.000,4.679,4.543,2.393,2.697
30.000,5.459,5.286,2.771,3.015
31.000,4.697,4.545,2.322,2.731
32.000,5.071,4.850,2.429,3.196
33.000,5.987,5.694,2.817,3.629
34.000,6.386,6.063,2.939,3.739
35.000,6.662,6.324,3.023,3.786
36.000,7.406,7.013,3.337,4.069
37.000,8.464,7.999,3.789,4.407
38.000,8.765,8.287,3.893,4.457
39.000,8.126,7.757,3.586,4.029
40.000,9.093,8.634,3.997,4.386
41.000,10.758,10.129,4.689,5.027
42.000,11.649,10.958,5.033,5.223
43.000,11.593,10.900,4.962,5.181
44.000,11.935,11.202,5.081,5.314
45.000,11.731,11.000,4.958,5.269
46.000,10.151,9.521,4.255,4.859
47.000,9.117,8.570,3.826,4.520
48.000,9.225,8.684,3.871,4.491
49.000,9.316,8.786,3.901,4.441
50.000,7.571,7.168,3.154,3.851
51.000,6.825,6.465,2.839,3.636
52.000,6.359,6.032,2.645,3.483
53.000,6.185,5.886,2.576,3.390
54.000,6.547,6.253,2.726,3.443
55.000,6.850,6.683,2.848,3.523
56.000,7.044,7.051,2.938,3.591
57.000,6.932,7.181,2.931,3.665
58.000,8.427,8.903,3.604,4.282
59.000,10.141,10.845,4.341,4.935
60.000,12.250,13.208,5.244,5.671
61.000,10.806,11.605,4.622,5.190
62.000,10.896,11.731,4.634,5.255
63.000,11.932,12.857,5.003,5.445
64.000,13.329,14.401,5.583,5.854
65.000,13.024,14.045,5.501,5.796
66.000,11.766,12.600,4.956,5.255
67.000,10.953,11.665,4.597,4.865
68.000,10.479,11.109,4.390,4.582
69.000,6.832,7.133,2.854,3.197
70.000,5.066,5.261,2.103,2.587
71.000,4.983,5.169,2.065,2.527
72.000,3.845,3.973,1.595,2.112
73.000,4.388,4.537,1.810,2.267
74.000,4.588,4.746,1.889,2.326
75.000,2.697,2.767,1.117,1.611
76.000,2.377,2.382,0.949,1.184
77.000,2.252,2.282,0.914,1.258
78.000,2.300,2.284,0.910,1.134
79.000,4.023,3.924,1.540,1.730
80.000,2.219,2.192,0.848,0.999
81.000,1.504,1.502,0.575,0.721
82.000,1.725,1.726,0.663,0.803
