Period,mape,smape,mae,rmse
1.000,6.010,6.069,2.915,3.342
2.000,9.784,10.358,4.952,5.269
3.000,8.974,9.504,4.573,5.094
4.000,7.189,7.594,3.670,4.483
5.000,7.899,8.435,4.133,5.323
6.000,8.318,8.919,4.394,5.681
7.000,9.294,9.978,4.929,6.072
8.000,11.349,12.283,6.164,7.291
9.000,11.778,12.762,6.495,7.585
10.000,11.840,12.851,6.670,7.842
11.000,12.922,14.100,7.512,8.809
12.000,14.728,16.131,8.586,9.580
13.000,14.043,15.332,8.235,9.234
14.000,13.551,14.743,7.961,8.916
15.000,14.221,15.459,8.339,9.067
16.000,12.524,13.525,7.434,8.274
17.000,11.341,12.206,6.778,7.755
18.000,11.581,12.445,6.913,7.752
19.000,8.678,9.245,5.245,6.426
20.000,7.652,8.136,4.656,6.004
21.000,7.087,7.500,4.306,5.649
22.000,4.842,5.047,2.912,4.264
23.000,4.470,4.636,2.673,3.999
24.000,4.197,4.272,2.435,3.410
25.000,5.163,5.020,2.735,2.995
26.000,6.047,5.845,3.161,3.386
27.000,5.402,5.243,2.807,3.039
28.000,4.752,4.629,2.448,2.735
29.000,5.272,5.127,2.687,2.933
30.000,6.845,6.591,3.449,3.637
31.000,6.390,6.147,3.156,3.469
32.000,7.204,6.870,3.484,3.976
33.000,7.441,7.042,3.512,4.246
34.000,7.112,6.698,3.250,4.197
35.000,6.960,6.553,3.117,4.113
36.000,8.262,7.743,3.690,4.652
37.000,9.772,9.121,4.341,5.195
38.000,10.468,9.767,4.626,5.381
39.000,9.902,9.315,4.352,4.975
40.000,11.367,10.625,4.982,5.545
41.000,13.820,12.773,5.994,6.494
42.000,15.266,14.053,6.552,6.918
43.000,15.625,14.317,6.644,7.153
44.000,16.695,15.226,7.073,7.590
45.000,16.593,15.110,6.983,7.590
46.000,15.441,14.069,6.459,7.265
47.000,13.440,12.308,5.625,6.579
48.000,13.018,11.950,5.447,6.382
49.000,13.117,12.066,5.480,6.323
50.000,10.721,9.918,4.458,5.496
51.000,9.986,9.249,4.149,5.255
52.000,9.364,8.695,3.891,5.028
53.000,8.910,8.296,3.703,4.843
54.000,7.899,7.392,3.281,4.459
55.000,7.498,7.243,3.123,3.981
56.000,8.072,8.074,3.373,4.043
57.000,9.530,9.984,4.051,4.530
58.000,11.313,12.098,4.852,5.370
59.000,13.156,14.240,5.644,6.094
60.000,15.067,16.418,6.461,6.741
61.000,12.688,13.703,5.437,5.872
62.000,11.918,12.858,5.086,5.616
63.000,11.964,12.887,5.037,5.488
64.000,13.411,14.490,5.639,5.916
65.000,13.487,14.578,5.720,6.033
66.000,11.691,12.543,4.946,5.349
67.000,11.137,11.900,4.698,5.072
68.000,11.700,12.486,4.921,5.137
69.000,9.458,9.985,3.958,4.222
