Period,mape,smape,mae,rmse
1.000,13.398,14.440,6.633,7.206
2.000,17.142,18.988,8.637,9.140
3.000,17.727,19.713,8.976,9.521
4.000,16.853,18.635,8.547,9.074
5.000,15.966,17.620,8.220,8.946
6.000,13.972,15.417,7.275,8.486
7.000,14.181,15.657,7.442,8.671
8.000,16.613,18.469,8.892,9.902
9.000,15.962,17.692,8.663,9.695
10.000,15.397,17.019,8.503,9.551
11.000,16.861,18.653,9.484,10.222
12.000,17.649,19.502,10.011,10.479
13.000,15.506,16.995,8.888,9.507
14.000,14.629,15.994,8.406,9.091
15.000,14.787,16.141,8.499,9.057
16.000,12.612,13.708,7.304,8.197
17.000,11.498,12.418,6.668,7.580
18.000,11.956,12.958,6.946,7.894
19.000,8.647,9.177,5.023,5.898
20.000,6.776,7.073,3.937,4.655
21.000,5.961,6.153,3.416,3.987
22.000,5.663,5.803,3.207,3.697
23.000,5.636,5.793,3.193,3.776
24.000,5.105,5.184,2.841,3.341
25.000,5.469,5.446,2.955,3.426
26.000,5.528,5.414,2.950,3.376
27.000,5.530,5.348,2.953,3.515
28.000,5.889,5.663,3.145,3.793
29.000,4.008,3.902,2.095,2.665
30.000,3.525,3.447,1.817,2.375
31.000,3.064,3.022,1.539,2.051
32.000,3.433,3.413,1.682,2.104
33.000,3.611,3.564,1.738,2.160
34.000,3.966,3.862,1.865,2.335
35.000,5.160,4.990,2.424,2.788
36.000,4.844,4.692,2.246,2.611
37.000,4.690,4.549,2.151,2.489
38.000,4.286,4.171,1.940,2.226
39.000,2.946,2.907,1.315,1.470
40.000,3.104,3.051,1.378,1.561
41.000,3.507,3.426,1.548,1.801
42.000,3.775,3.688,1.655,1.851
43.000,3.521,3.439,1.523,1.770
44.000,3.626,3.541,1.559,1.799
45.000,3.115,3.047,1.321,1.592
46.000,2.820,2.760,1.184,1.529
47.000,3.280,3.233,1.390,1.712
48.000,3.676,3.654,1.557,1.863
49.000,4.096,4.077,1.727,1.968
50.000,3.665,3.674,1.542,1.869
51.000,3.819,3.830,1.609,1.887
52.000,4.071,4.111,1.724,1.991
53.000,4.314,4.359,1.830,2.032
54.000,4.082,4.080,1.722,1.991
55.000,4.847,4.883,2.031,2.342
56.000,5.771,5.912,2.420,2.818
57.000,6.407,6.680,2.724,3.163
58.000,7.243,7.601,3.102,3.541
59.000,8.090,8.517,3.463,3.836
60.000,8.893,9.372,3.805,4.059
61.000,5.986,6.246,2.554,2.990
62.000,5.662,5.906,2.401,2.901
63.000,5.951,6.198,2.491,2.908
64.000,7.348,7.701,3.078,3.417
65.000,8.088,8.515,3.430,3.822
66.000,7.521,7.900,3.178,3.612
67.000,8.016,8.413,3.374,3.683
68.000,8.584,9.012,3.605,3.812
69.000,5.814,6.031,2.436,2.744
70.000,3.637,3.755,1.500,2.015
71.000,3.868,3.990,1.591,2.054
72.000,3.927,4.046,1.612,2.023
73.000,4.596,4.748,1.879,2.258
74.000,5.432,5.629,2.205,2.533
75.000,4.803,4.963,1.935,2.279
76.000,3.388,3.475,1.340,1.712
77.000,4.415,4.558,1.730,2.074
78.000,3.679,3.786,1.430,1.786
79.000,2.790,2.814,1.061,1.211
80.000,3.177,3.237,1.210,1.416
81.000,3.627,3.718,1.381,1.628
82.000,4.179,4.295,1.600,1.835
83.000,5.202,5.380,2.001,2.260
84.000,4.774,4.938,1.853,2.212
85.000,5.725,5.938,2.232,2.500
86.000,5.748,5.954,2.257,2.486
87.000,4.582,4.733,1.830,2.164
88.000,4.884,5.070,2.023,2.576
89.000,6.014,6.277,2.536,3.082
90.000,6.066,6.355,2.603,3.263
91.000,6.431,6.746,2.771,3.413
92.000,7.308,7.681,3.169,3.717
93.000,8.566,9.038,3.731,4.167
94.000,8.063,8.501,3.540,4.033
95.000,8.878,9.366,3.895,4.246
96.000,8.485,8.927,3.728,4.053
97.000,7.294,7.647,3.219,3.635
98.000,6.863,7.155,3.013,3.326
99.000,7.146,7.484,3.144,3.539
100.000,7.678,8.036,3.346,3.621
101.000,7.817,8.173,3.360,3.556
102.000,6.464,6.731,2.717,3.001
103.000,6.293,6.571,2.618,3.043
104.000,4.705,4.851,1.908,2.397
105.000,5.188,5.213,1.958,2.539
106.000,5.635,5.672,2.130,2.662
107.000,5.651,5.660,2.112,2.663
108.000,7.185,6.994,2.528,3.204
109.000,8.079,7.839,2.806,3.374
110.000,8.629,8.534,3.058,3.490
111.000,9.323,9.175,3.284,3.853
112.000,10.531,10.493,3.771,4.265
113.000,12.011,12.410,4.495,4.953
114.000,12.661,13.018,4.766,5.162
115.000,12.577,12.791,4.704,5.032
116.000,11.662,11.407,4.192,4.751
117.000,11.277,10.754,3.944,4.822
118.000,12.767,13.065,4.859,5.143
119.000,14.181,15.219,5.689,6.126
120.000,11.117,11.395,4.297,4.819
121.000,10.586,10.694,4.031,4.645
122.000,12.980,14.122,5.385,6.043
123.000,14.334,15.668,5.959,6.488
124.000,9.164,9.787,3.833,4.501
125.000,4.817,4.970,1.991,2.493
126.000,4.320,4.300,1.725,1.944
127.000,4.650,4.601,1.849,2.079
128.000,4.677,4.591,1.849,2.183
129.000,4.373,4.389,1.734,2.010
130.000,4.401,4.361,1.723,2.024
131.000,4.682,4.637,1.829,2.088
132.000,5.185,5.018,2.013,2.451
133.000,4.525,4.593,1.725,1.976
134.000,4.558,4.593,1.730,1.930
135.000,4.844,4.983,1.830,2.186
136.000,5.508,5.719,2.084,2.506
137.000,7.430,7.240,2.507,3.343
138.000,7.941,7.640,2.629,3.414
139.000,8.552,8.252,2.831,3.508
140.000,9.722,8.809,2.930,4.139
141.000,11.258,10.111,3.405,4.633
142.000,12.645,11.374,3.861,4.998
143.000,14.677,13.151,4.500,5.565
144.000,19.387,16.691,5.628,7.008
145.000,22.635,19.322,6.535,7.806
146.000,41.652,27.682,8.469,10.481
147.000,43.385,28.387,7.996,10.240
148.000,47.212,31.392,8.909,10.832
149.000,51.800,34.575,10.076,11.652
150.000,50.791,34.345,9.907,11.288
151.000,34.655,23.583,6.071,8.131
152.000,36.137,24.620,6.430,8.400
153.000,37.858,26.054,6.862,8.598
154.000,32.995,22.666,5.700,7.653
155.000,34.773,24.034,6.148,7.931
156.000,28.320,19.292,4.589,6.829
157.000,23.710,15.915,3.539,6.070
158.000,20.176,14.809,3.227,4.912
159.000,19.861,14.043,3.014,5.039
160.000,21.299,24.179,6.194,6.601
161.000,20.615,23.249,6.018,6.328
162.000,20.780,23.304,6.111,6.247
163.000,9.359,9.903,2.785,3.020
164.000,8.646,9.094,2.585,2.795
165.000,7.313,7.614,2.177,2.356
166.000,4.996,5.118,1.479,1.735
167.000,4.586,4.676,1.356,1.615
168.000,4.945,4.810,1.330,1.675
169.000,4.883,4.711,1.293,1.695
170.000,4.939,4.742,1.295,1.734
171.000,5.149,4.943,1.351,1.769
172.000,5.283,5.204,1.425,1.754
173.000,5.684,5.652,1.555,1.830
174.000,6.503,6.549,1.805,2.024
175.000,9.370,9.792,2.688,2.853
176.000,6.680,6.824,1.874,2.164
177.000,6.135,6.208,1.710,2.174
178.000,6.471,6.494,1.814,2.347
179.000,7.700,7.896,2.262,2.836
180.000,8.378,8.574,2.518,3.124
181.000,10.436,11.041,3.297,3.983
182.000,15.256,16.726,4.973,5.496
183.000,13.812,15.060,4.645,5.232
184.000,13.501,14.680,4.630,5.174
