Period,mape,smape,mae,rmse
1.000,18.632,20.736,9.289,9.924
2.000,22.945,26.243,11.586,12.068
3.000,22.898,26.224,11.615,12.163
4.000,21.640,24.606,10.987,11.558
5.000,21.609,24.525,11.106,11.654
6.000,19.683,22.202,10.202,10.981
7.000,18.273,20.565,9.546,10.589
8.000,19.328,21.743,10.278,11.085
9.000,18.775,21.023,10.102,10.826
10.000,17.838,19.887,9.750,10.513
11.000,17.964,19.975,10.001,10.609
12.000,18.540,20.569,10.412,10.754
13.000,16.328,17.926,9.270,9.704
14.000,15.036,16.440,8.583,9.131
15.000,14.550,15.883,8.330,8.917
16.000,12.413,13.458,7.166,7.988
17.000,11.643,12.495,6.724,7.428
18.000,12.202,13.183,7.070,7.867
19.000,9.484,10.055,5.498,6.225
20.000,7.567,7.874,4.386,4.924
21.000,6.244,6.410,3.586,4.033
22.000,5.659,5.778,3.204,3.735
23.000,5.799,5.917,3.278,3.745
24.000,5.280,5.336,2.937,3.389
25.000,5.540,5.536,3.013,3.385
26.000,5.516,5.423,2.965,3.288
27.000,5.564,5.397,2.992,3.457
28.000,5.808,5.578,3.140,3.843
29.000,4.516,4.391,2.390,2.838
30.000,3.565,3.504,1.832,2.088
31.000,3.156,3.126,1.573,1.739
32.000,2.957,2.942,1.426,1.662
33.000,3.512,3.476,1.668,1.907
34.000,3.769,3.699,1.768,1.981
35.000,4.221,4.129,1.974,2.165
36.000,3.788,3.711,1.726,2.018
37.000,4.054,3.970,1.829,2.091
38.000,4.431,4.336,1.991,2.186
39.000,3.929,3.879,1.758,1.948
40.000,4.225,4.151,1.878,2.026
41.000,4.831,4.700,2.122,2.283
42.000,5.432,5.277,2.365,2.460
43.000,5.345,5.173,2.290,2.548
44.000,5.501,5.315,2.340,2.636
45.000,5.223,5.040,2.200,2.590
46.000,5.341,5.155,2.243,2.602
47.000,4.591,4.460,1.931,2.395
48.000,5.334,5.241,2.244,2.662
49.000,5.666,5.601,2.373,2.733
50.000,5.013,5.003,2.094,2.541
51.000,5.249,5.247,2.198,2.576
52.000,5.711,5.753,2.410,2.761
53.000,6.268,6.311,2.648,2.924
54.000,6.625,6.695,2.796,3.006
55.000,7.533,7.698,3.166,3.374
56.000,8.261,8.587,3.480,3.745
57.000,8.262,8.718,3.503,3.956
58.000,8.711,9.204,3.707,4.100
59.000,9.264,9.813,3.945,4.299
60.000,9.441,9.984,4.020,4.276
61.000,7.633,8.009,3.239,3.556
62.000,6.219,6.512,2.626,3.121
63.000,5.971,6.251,2.491,3.018
64.000,6.660,6.974,2.777,3.202
65.000,7.225,7.591,3.049,3.522
66.000,5.927,6.206,2.485,3.071
67.000,5.481,5.733,2.283,2.918
68.000,5.875,6.139,2.442,2.982
69.000,4.755,4.916,1.975,2.396
70.000,4.553,4.660,1.889,2.178
71.000,4.747,4.907,1.940,2.351
72.000,5.062,5.229,2.067,2.397
73.000,5.699,5.903,2.319,2.599
74.000,6.033,6.248,2.445,2.661
75.000,5.096,5.262,2.063,2.348
76.000,3.483,3.564,1.403,1.679
77.000,3.913,4.013,1.567,1.826
78.000,2.985,3.047,1.189,1.462
79.000,1.543,1.541,0.579,0.723
80.000,1.570,1.571,0.588,0.732
81.000,1.579,1.579,0.591,0.731
82.000,1.769,1.773,0.669,0.849
83.000,2.425,2.461,0.926,1.284
84.000,2.928,2.987,1.134,1.633
85.000,3.117,3.187,1.213,1.689
86.000,3.328,3.407,1.302,1.732
87.000,3.422,3.499,1.351,1.756
88.000,3.911,4.005,1.596,2.075
89.000,4.835,5.027,2.038,2.691
90.000,5.568,5.832,2.384,3.191
91.000,6.778,7.155,2.901,3.738
92.000,7.701,8.173,3.332,4.138
93.000,9.108,9.697,3.961,4.598
94.000,9.282,9.878,4.052,4.630
95.000,10.002,10.640,4.367,4.793
96.000,9.393,9.965,4.114,4.558
97.000,8.452,8.952,3.719,4.271
98.000,8.648,9.131,3.782,4.199
99.000,8.873,9.393,3.879,4.324
100.000,9.532,10.088,4.134,4.452
101.000,9.694,10.244,4.157,4.386
102.000,9.198,9.730,3.888,4.217
103.000,8.033,8.479,3.354,3.805
104.000,5.336,5.582,2.196,2.823
105.000,5.050,5.178,1.948,2.651
106.000,5.444,5.586,2.093,2.766
107.000,5.667,5.803,2.168,2.789
108.000,7.372,7.335,2.663,3.349
109.000,8.244,8.147,2.929,3.503
110.000,9.009,9.000,3.240,3.726
111.000,9.535,9.434,3.381,4.033
112.000,10.864,10.873,3.905,4.542
113.000,12.531,13.007,4.700,5.330
114.000,13.284,13.754,5.025,5.594
115.000,13.767,14.185,5.216,5.629
116.000,13.011,12.994,4.795,5.286
117.000,12.927,12.651,4.679,5.299
118.000,14.059,14.439,5.367,5.688
119.000,15.320,16.415,6.100,6.447
120.000,13.096,13.456,5.059,5.549
121.000,13.096,13.370,5.045,5.507
122.000,15.541,17.091,6.444,6.982
123.000,16.461,18.120,6.827,7.206
124.000,12.419,13.371,5.166,5.542
125.000,7.547,7.926,3.146,3.554
126.000,4.757,4.903,1.933,2.227
127.000,4.249,4.354,1.706,2.008
128.000,3.964,4.042,1.579,1.875
129.000,3.964,4.036,1.576,1.853
130.000,3.593,3.636,1.417,1.737
131.000,3.364,3.379,1.315,1.694
132.000,3.673,3.637,1.405,1.835
133.000,3.645,3.737,1.410,1.774
134.000,3.289,3.320,1.260,1.629
135.000,4.200,4.328,1.588,1.936
136.000,4.242,4.362,1.597,1.903
137.000,6.800,6.660,2.303,2.973
138.000,6.510,6.269,2.134,2.912
139.000,6.726,6.490,2.207,2.930
140.000,7.396,6.843,2.245,3.241
141.000,8.429,7.721,2.557,3.591
