ARIMA,AIC 2015-04-02 00:00:00,AIC 2017-09-08 00:00:00,AIC 2019-04-01 00:00:00,AIC 2018-12-30 00:00:00,AIC 2018-10-12 00:00:00,AIC 2014-11-07 00:00:00,AIC 2015-12-05 00:00:00,AIC 2015-02-27 00:00:00,AIC 2017-04-10 00:00:00,AIC 2018-10-06 00:00:00,AIC 2017-01-06 00:00:00,AIC 2017-02-22 00:00:00,AIC 2018-02-24 00:00:00,AIC 2016-08-16 00:00:00,AIC 2018-12-02 00:00:00,AIC 2015-09-03 00:00:00,AIC 2015-01-09 00:00:00,AIC 2017-03-26 00:00:00,AIC 2014-08-28 00:00:00,AIC 2019-03-08 00:00:00,AIC 2016-09-06 00:00:00,AIC 2016-12-03 00:00:00,AIC 2017-11-26 00:00:00,AIC 2018-10-09 00:00:00,AIC 2018-10-19 00:00:00,AIC 2014-07-05 00:00:00,AIC 2018-05-26 00:00:00,AIC 2016-12-29 00:00:00,AIC 2015-12-28 00:00:00,AIC 2018-07-17 00:00:00,Median AIC
"(0, 0, 0)",523.534,453.79,410.151,586.255,755.948,321.375,545.609,517.375,505.681,652.218,548.604,516.468,597.649,271.756,562.762,425.632,518.698,465.336,428.721,549.954,252.235,532.368,681.351,671.255,597.694,469.191,438.063,561.99,550.608,476.504,521.116
"(0, 0, 1)",295.115,245.768,203.433,489.77,518.841,92.927,296.402,290.592,272.612,406.934,301.852,276.564,383.81,44.275,314.091,165.839,296.865,245.724,262.576,343.324,74.995,277.895,434.814,433.843,362.483,262.241,224.038,295.008,305.69,290.031,292.8
"(0, 0, 2)",189.941,134.354,96.455,192.656,365.562,-2.215,166.15,175.01,131.247,252.768,164.638,157.597,591.222,-70.864,162.422,20.072,182.495,312.042,158.846,775.826,2.301,124.355,312.367,291.728,225.935,168.113,129.939,118.614,153.984,211.89,165.394
"(0, 0, 3)",128.483,92.52,53.749,125.812,303.317,-49.346,70.558,131.762,78.786,176.631,80.185,91.16,242.117,-118.687,108.419,-52.237,133.26,93.582,123.042,180.827,-18.657,33.665,231.0,220.344,169.263,136.344,85.321,21.284,74.723,156.339,101.0
"(0, 0, 4)",114.497,57.847,23.397,83.057,280.094,-68.38,29.165,101.954,20.837,149.684,44.768,68.005,232.733,-140.804,50.913,-96.372,99.07,74.401,108.882,152.916,-28.74,-18.739,199.598,199.953,123.89,122.657,76.378,-34.584,18.865,129.116,75.39
"(0, 0, 5)",88.035,31.739,6.913,51.419,235.667,-80.574,12.943,85.364,15.245,91.433,31.627,36.376,224.886,-157.413,36.264,-128.566,94.188,63.464,104.327,146.668,-27.006,-38.584,188.104,152.544,272.431,96.222,40.644,-70.193,5.688,114.353,46.032
"(0, 1, 0)",83.787,7.961,-30.917,-25.196,222.645,-36.868,-50.753,82.254,-26.138,52.246,-11.253,3.241,250.592,-150.249,3.59,-175.656,93.245,58.584,90.087,129.919,-2.165,-115.319,185.592,122.649,66.471,122.752,59.615,-149.463,4.037,73.742,30.103
"(0, 1, 1)",73.76,5.492,-33.849,-23.207,207.856,-65.663,-61.348,71.65,-41.981,39.536,-26.43,1.26,235.534,-163.685,-8.726,-186.582,78.356,45.48,88.967,126.231,-7.824,-130.564,159.675,113.899,57.977,114.687,48.262,-167.971,-32.494,74.266,22.514
"(0, 1, 2)",75.488,6.913,-32.135,-22.704,207.406,-63.9,-60.19,73.646,-40.196,37.149,-26.278,2.316,237.374,-162.352,-8.253,-184.578,79.746,47.48,87.015,128.064,-7.002,-129.668,159.509,114.025,59.389,116.64,50.258,-170.596,-41.447,76.209,22.031
"(0, 1, 3)",76.56,8.387,-33.757,-20.768,205.138,-62.058,-58.205,75.012,-38.807,34.727,-24.432,4.043,238.08,-161.298,-6.308,-182.593,81.071,49.447,87.858,123.252,-8.575,-127.725,161.485,111.758,61.343,117.562,51.906,-168.868,-39.461,77.358,21.557
"(0, 1, 4)",71.155,4.654,-34.443,-19.163,206.591,-64.911,-59.19,76.022,-36.938,34.594,-25.704,3.466,225.906,-159.548,-4.559,-181.558,81.284,48.011,84.925,121.267,-11.773,-126.224,157.813,110.626,63.293,117.724,48.916,-167.373,-40.404,70.266,19.624
