Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-06-05,00:00:00,42.660,43.226,44.685,41.768
1,2018-06-05,01:00:00,41.010,41.741,43.810,39.672
1,2018-06-05,02:00:00,39.440,40.783,43.326,38.241
1,2018-06-05,03:00:00,39.350,40.398,43.343,37.454
1,2018-06-05,04:00:00,39.050,40.443,43.746,37.141
1,2018-06-05,05:00:00,41.630,41.894,45.523,38.266
1,2018-06-05,06:00:00,45.900,44.741,48.672,40.810
1,2018-06-05,07:00:00,46.840,46.254,50.468,42.040
1,2018-06-05,08:00:00,46.920,47.030,51.513,42.547
1,2018-06-05,09:00:00,47.070,47.068,51.806,42.329
1,2018-06-05,10:00:00,47.240,46.868,51.852,41.885
1,2018-06-05,11:00:00,47.520,46.620,51.840,41.401
1,2018-06-05,12:00:00,47.500,46.222,51.669,40.774
1,2018-06-05,13:00:00,47.080,45.940,51.608,40.272
1,2018-06-05,14:00:00,46.880,45.346,51.228,39.464
1,2018-06-05,15:00:00,46.610,45.071,51.162,38.980
1,2018-06-05,16:00:00,46.450,44.996,51.290,38.702
1,2018-06-05,17:00:00,46.970,45.590,52.083,39.097
1,2018-06-05,18:00:00,47.820,46.412,53.099,39.726
1,2018-06-05,19:00:00,48.200,46.579,53.456,39.702
1,2018-06-05,20:00:00,47.540,46.185,53.248,39.121
1,2018-06-05,21:00:00,47.160,45.954,53.200,38.707
1,2018-06-05,22:00:00,47.320,45.533,52.959,38.106
1,2018-06-05,23:00:00,44.910,43.339,50.943,35.736
1,2018-06-06,00:00:00,44.990,43.065,50.809,35.320
1,2018-06-06,01:00:00,42.280,41.585,49.501,33.670
1,2018-06-06,02:00:00,41.240,40.632,48.715,32.548
1,2018-06-06,03:00:00,41.680,40.248,48.497,31.998
1,2018-06-06,04:00:00,41.750,40.292,48.705,31.879
1,2018-06-06,05:00:00,44.640,41.736,50.311,33.162
1,2018-06-06,06:00:00,47.390,44.571,53.304,35.837
1,2018-06-06,07:00:00,48.420,46.077,54.968,37.186
1,2018-06-06,08:00:00,49.020,46.849,55.896,37.802
1,2018-06-06,09:00:00,49.420,46.886,56.087,37.685
1,2018-06-06,10:00:00,49.930,46.687,56.040,37.334
1,2018-06-06,11:00:00,49.920,46.440,55.943,36.937
1,2018-06-06,12:00:00,48.570,46.043,55.695,36.390
1,2018-06-06,13:00:00,47.860,45.762,55.562,35.962
1,2018-06-06,14:00:00,47.870,45.170,55.115,35.224
1,2018-06-06,15:00:00,47.820,44.895,54.986,34.805
1,2018-06-06,16:00:00,48.320,44.820,55.054,34.587
1,2018-06-06,17:00:00,48.430,45.412,55.787,35.036
1,2018-06-06,18:00:00,49.080,46.230,56.746,35.714
1,2018-06-06,19:00:00,49.360,46.396,57.051,35.740
1,2018-06-06,20:00:00,48.330,46.003,56.797,35.210
1,2018-06-06,21:00:00,48.260,45.773,56.703,34.842
1,2018-06-06,22:00:00,47.470,45.353,56.420,34.287
1,2018-06-06,23:00:00,45.170,43.168,54.370,31.967
1,2018-06-07,00:00:00,44.390,43.238,54.614,31.861
1,2018-06-07,01:00:00,42.530,41.752,53.262,30.243
1,2018-06-07,02:00:00,41.720,40.795,52.437,29.153
1,2018-06-07,03:00:00,41.480,40.409,52.182,28.636
1,2018-06-07,04:00:00,40.810,40.454,52.357,28.551
1,2018-06-07,05:00:00,43.970,41.903,53.935,29.871
1,2018-06-07,06:00:00,47.910,44.747,56.908,32.587
1,2018-06-07,07:00:00,50.910,46.259,58.546,33.971
1,2018-06-07,08:00:00,52.230,47.034,59.448,34.619
1,2018-06-07,09:00:00,51.100,47.071,59.610,34.531
1,2018-06-07,10:00:00,50.330,46.871,59.535,34.206
1,2018-06-07,11:00:00,49.770,46.622,59.410,33.834
1,2018-06-07,12:00:00,48.910,46.223,59.134,33.312
1,2018-06-07,13:00:00,48.640,45.941,58.975,32.908
1,2018-06-07,14:00:00,48.650,45.347,58.501,32.192
1,2018-06-07,15:00:00,49.110,45.071,58.347,31.796
1,2018-06-07,16:00:00,49.130,44.996,58.391,31.601
1,2018-06-07,17:00:00,49.310,45.589,59.103,32.075
1,2018-06-07,18:00:00,49.740,46.410,60.043,32.778
1,2018-06-07,19:00:00,49.850,46.576,60.327,32.826
1,2018-06-07,20:00:00,49.530,46.182,60.050,32.315
1,2018-06-07,21:00:00,49.440,45.950,59.934,31.967
1,2018-06-07,22:00:00,49.210,45.529,59.629,31.430
1,2018-06-07,23:00:00,46.500,43.336,57.551,29.122
1,2018-06-08,00:00:00,46.010,42.449,56.513,28.384
1,2018-06-08,01:00:00,42.710,40.991,55.166,26.815
1,2018-06-08,02:00:00,42.280,40.050,54.337,25.763
1,2018-06-08,03:00:00,43.090,39.672,54.069,25.275
1,2018-06-08,04:00:00,43.350,39.715,54.222,25.208
1,2018-06-08,05:00:00,46.300,41.138,55.753,26.522
1,2018-06-08,06:00:00,49.330,43.929,58.654,29.205
1,2018-06-08,07:00:00,52.040,45.413,60.245,30.581
1,2018-06-08,08:00:00,54.520,46.173,61.113,31.234
1,2018-06-08,09:00:00,53.900,46.209,61.256,31.163
1,2018-06-08,10:00:00,53.640,46.013,61.165,30.861
1,2018-06-08,11:00:00,52.870,45.769,61.027,30.511
1,2018-06-08,12:00:00,49.950,45.377,60.741,30.014
1,2018-06-08,13:00:00,49.850,45.101,60.568,29.633
1,2018-06-08,14:00:00,49.620,44.517,60.088,28.945
1,2018-06-08,15:00:00,48.770,44.246,59.921,28.571
1,2018-06-08,16:00:00,48.680,44.172,59.950,28.394
1,2018-06-08,17:00:00,49.450,44.754,60.635,28.873
1,2018-06-08,18:00:00,49.750,45.560,61.543,29.578
1,2018-06-08,19:00:00,49.410,45.723,61.807,29.639
1,2018-06-08,20:00:00,48.880,45.336,61.521,29.151
1,2018-06-08,21:00:00,48.840,45.108,61.394,28.823
1,2018-06-08,22:00:00,49.240,44.695,61.081,28.309
1,2018-06-08,23:00:00,47.280,42.542,59.028,26.057
1,2018-06-09,00:00:00,46.260,39.401,54.793,24.009
1,2018-06-09,01:00:00,43.700,38.048,53.531,22.564
1,2018-06-09,02:00:00,42.070,37.175,52.749,21.600
1,2018-06-09,03:00:00,41.320,36.823,52.489,21.158
1,2018-06-09,04:00:00,40.250,36.864,52.619,21.108
1,2018-06-09,05:00:00,41.920,38.184,54.029,22.338
1,2018-06-09,06:00:00,45.240,40.775,56.710,24.840
1,2018-06-09,07:00:00,46.930,42.151,58.175,26.127
1,2018-06-09,08:00:00,47.430,42.857,58.970,26.744
1,2018-06-09,09:00:00,48.170,42.890,59.092,26.689
1,2018-06-09,10:00:00,48.210,42.708,58.997,26.419
1,2018-06-09,11:00:00,48.060,42.482,58.858,26.105
1,2018-06-09,12:00:00,47.730,42.118,58.582,25.654
1,2018-06-09,13:00:00,47.380,41.861,58.412,25.310
1,2018-06-09,14:00:00,46.870,41.319,57.956,24.682
1,2018-06-09,15:00:00,46.470,41.068,57.791,24.345
1,2018-06-09,16:00:00,46.650,40.999,57.808,24.190
1,2018-06-09,17:00:00,47.250,41.539,58.433,24.645
1,2018-06-09,18:00:00,48.410,42.287,59.267,25.308
1,2018-06-09,19:00:00,48.460,42.438,59.502,25.374
1,2018-06-09,20:00:00,47.960,42.079,59.227,24.931
1,2018-06-09,21:00:00,47.830,41.868,59.100,24.636
1,2018-06-09,22:00:00,47.510,41.484,58.800,24.168
1,2018-06-09,23:00:00,45.290,39.486,56.885,22.087
1,2018-06-10,00:00:00,45.460,38.308,55.304,21.312
1,2018-06-10,01:00:00,43.950,36.992,54.068,19.916
1,2018-06-10,02:00:00,43.310,36.144,53.300,18.987
1,2018-06-10,03:00:00,42.190,35.802,53.038,18.566
1,2018-06-10,04:00:00,42.080,35.841,53.156,18.526
1,2018-06-10,05:00:00,42.920,37.124,54.519,19.730
1,2018-06-10,06:00:00,44.200,39.643,57.116,22.170
1,2018-06-10,07:00:00,45.520,40.981,58.533,23.430
1,2018-06-10,08:00:00,46.420,41.667,59.297,24.037
1,2018-06-10,09:00:00,46.460,41.700,59.408,23.992
1,2018-06-10,10:00:00,47.210,41.523,59.308,23.737
1,2018-06-10,11:00:00,47.330,41.302,59.165,23.440
1,2018-06-10,12:00:00,47.210,40.949,58.889,23.009
1,2018-06-10,13:00:00,46.760,40.699,58.715,22.682
1,2018-06-10,14:00:00,45.810,40.172,58.265,22.079
1,2018-06-10,15:00:00,45.210,39.928,58.097,21.759
1,2018-06-10,16:00:00,45.680,39.861,58.106,21.616
1,2018-06-10,17:00:00,46.670,40.386,58.707,22.065
1,2018-06-10,18:00:00,47.550,41.113,59.509,22.717
1,2018-06-10,19:00:00,48.460,41.260,59.731,22.789
1,2018-06-10,20:00:00,48.550,40.911,59.457,22.364
1,2018-06-10,21:00:00,48.480,40.705,59.326,22.085
1,2018-06-10,22:00:00,48.490,40.332,59.027,21.637
1,2018-06-10,23:00:00,46.730,38.390,57.159,19.621
1,2018-06-11,00:00:00,45.350,43.030,64.195,21.865
1,2018-06-11,01:00:00,42.300,41.552,62.800,20.305
1,2018-06-11,02:00:00,41.280,40.599,61.929,19.269
1,2018-06-11,03:00:00,40.040,40.215,61.627,18.803
1,2018-06-11,04:00:00,40.060,40.259,61.753,18.765
1,2018-06-11,05:00:00,43.630,41.701,63.276,20.126
1,2018-06-11,06:00:00,47.620,44.530,66.186,22.874
1,2018-06-11,07:00:00,48.590,46.033,67.770,24.296
1,2018-06-11,08:00:00,49.320,46.803,68.621,24.986
1,2018-06-11,09:00:00,49.440,46.840,68.738,24.942
1,2018-06-11,10:00:00,49.100,46.641,68.619,24.662
1,2018-06-11,11:00:00,49.200,46.393,68.452,24.335
1,2018-06-11,12:00:00,48.610,45.996,68.134,23.858
1,2018-06-11,13:00:00,48.000,45.715,67.933,23.498
1,2018-06-11,14:00:00,47.680,45.124,67.420,22.827
1,2018-06-11,15:00:00,47.670,44.849,67.225,22.474
1,2018-06-11,16:00:00,47.510,44.774,67.228,22.320
1,2018-06-11,17:00:00,47.940,45.364,67.896,22.832
1,2018-06-11,18:00:00,48.400,46.181,68.791,23.570
1,2018-06-11,19:00:00,48.210,46.345,69.034,23.657
1,2018-06-11,20:00:00,47.730,45.953,68.719,23.187
1,2018-06-11,21:00:00,47.580,45.722,68.566,22.879
1,2018-06-11,22:00:00,47.520,45.303,68.224,22.383
1,2018-06-11,23:00:00,45.100,43.121,66.119,20.124
1,2018-06-12,00:00:00,42.020,43.281,66.490,20.073
1,2018-06-12,01:00:00,40.490,41.795,65.080,18.510
