Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-06-05,2018-06-18,6.491,6.777,3.021,3.542,100.000,5.000,41.942
2,2018-06-08,2018-06-21,6.020,5.855,2.635,3.271,98.810,3.810,41.943
3,2018-06-15,2018-06-28,5.829,5.983,2.556,3.010,99.405,4.405,35.615
4,2018-06-17,2018-06-30,11.362,10.537,4.825,5.560,98.214,3.214,35.997
5,2018-06-18,2018-07-01,12.906,11.879,5.497,6.249,86.607,8.393,41.333
6,2018-06-19,2018-07-02,6.890,7.114,3.100,3.704,98.214,3.214,34.998
7,2018-07-06,2018-07-19,4.369,4.517,2.246,2.905,100.000,5.000,37.602
8,2018-07-22,2018-08-04,5.856,5.651,3.055,3.451,98.810,3.810,32.630
9,2018-07-25,2018-08-07,2.833,2.802,1.447,1.887,100.000,5.000,33.043
10,2018-07-26,2018-08-08,3.369,3.309,1.712,2.196,98.512,3.512,32.051
11,2018-08-03,2018-08-16,4.941,4.796,2.401,2.949,99.702,4.702,27.433
12,2018-08-11,2018-08-24,3.084,3.132,1.538,1.925,99.405,4.405,35.640
13,2018-09-07,2018-09-20,9.718,8.961,4.731,6.134,100.000,5.000,52.419
14,2018-09-19,2018-10-02,72.664,29.299,10.820,14.148,83.631,11.369,105.202
15,2018-09-22,2018-10-05,47.918,27.722,9.325,10.868,94.048,0.952,92.636
16,2018-09-24,2018-10-07,25.892,18.797,6.973,8.444,96.726,1.726,72.477
17,2018-09-25,2018-10-08,19.771,15.145,5.765,7.267,96.726,1.726,69.207
18,2018-09-29,2018-10-12,8.210,7.818,3.237,4.400,97.321,2.321,79.289
19,2018-09-30,2018-10-13,29.514,35.214,13.428,14.132,96.726,1.726,77.902
20,2018-10-01,2018-10-14,34.711,16.601,6.531,9.351,99.702,4.702,78.493
21,2018-10-12,2018-10-25,41.444,14.994,4.608,8.932,92.560,2.440,84.854
22,2018-10-18,2018-10-31,8.949,7.761,3.022,4.843,99.405,4.405,50.389
23,2018-10-30,2018-11-12,8.216,8.673,3.790,4.433,100.000,5.000,37.693
24,2018-11-13,2018-11-26,11.101,12.081,5.904,7.700,98.512,3.512,40.895
25,2018-11-27,2018-12-10,8.515,8.325,4.281,5.756,95.833,0.833,66.932
26,2018-12-15,2018-12-28,5.655,5.787,3.232,5.040,94.940,0.060,50.138
27,2018-12-16,2018-12-29,5.170,5.387,3.007,5.108,95.833,0.833,59.099
28,2018-12-20,2019-01-02,7.529,7.101,3.542,4.841,100.000,5.000,67.745
29,2019-01-03,2019-01-16,4.718,4.662,2.367,2.834,100.000,5.000,51.795
30,2019-01-06,2019-01-19,8.358,7.947,4.200,4.900,100.000,5.000,46.916
31,2019-01-11,2019-01-24,10.509,11.486,6.378,8.938,100.000,5.000,45.208
32,2019-01-14,2019-01-27,9.827,10.501,5.982,8.091,98.214,3.214,56.439
33,2019-01-18,2019-01-31,12.107,13.185,7.463,9.240,82.440,12.560,56.750
34,2019-01-20,2019-02-02,6.073,6.250,3.771,5.602,94.048,0.952,45.146
35,2019-01-25,2019-02-07,8.613,8.147,4.561,5.445,98.810,3.810,56.608
36,2019-01-31,2019-02-13,10.524,9.780,5.160,6.213,100.000,5.000,60.808
37,2019-02-08,2019-02-21,12.927,11.959,5.719,6.393,100.000,5.000,43.073
38,2019-02-12,2019-02-25,11.771,11.023,5.038,5.398,99.107,4.107,37.735
39,2019-03-01,2019-03-14,4.564,4.701,1.982,2.477,97.619,2.619,28.873
40,2019-03-08,2019-03-21,5.027,5.195,2.158,2.891,100.000,5.000,29.425
41,2019-03-14,2019-03-27,5.011,4.928,1.998,2.574,99.702,4.702,33.363
42,2019-03-15,2019-03-28,6.304,6.112,2.482,3.016,99.702,4.702,31.130
43,2019-03-22,2019-04-04,5.989,5.777,2.234,2.657,99.405,4.405,32.438
44,2019-04-02,2019-04-15,12.293,13.380,5.396,6.415,99.405,4.405,32.962
45,2019-04-11,2019-04-24,8.078,7.930,3.260,4.282,98.810,3.810,41.039
46,2019-04-22,2019-05-05,33.554,19.768,7.112,9.669,89.583,5.417,63.418
47,2019-04-28,2019-05-11,22.687,14.747,4.910,6.721,94.643,0.357,64.219
48,2019-05-02,2019-05-15,20.954,15.882,5.647,6.731,98.214,3.214,70.440
49,2019-05-03,2019-05-16,8.641,8.802,3.369,4.128,100.000,5.000,64.426
50,2019-05-16,2019-05-29,8.431,7.573,2.677,3.981,99.405,4.405,35.601
