Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-06-05,00:00:00,42.660,38.352,44.104,34.516
1,2018-06-05,01:00:00,41.010,34.982,40.289,31.437
1,2018-06-05,02:00:00,39.440,33.053,38.124,29.659
1,2018-06-05,03:00:00,39.350,31.862,36.805,28.548
1,2018-06-05,04:00:00,39.050,31.870,36.868,28.512
1,2018-06-05,05:00:00,41.630,36.323,42.083,32.448
1,2018-06-05,06:00:00,45.900,43.546,50.525,38.842
1,2018-06-05,07:00:00,46.840,49.322,57.312,43.928
1,2018-06-05,08:00:00,46.920,51.100,59.464,45.442
1,2018-06-05,09:00:00,47.070,50.612,58.983,44.941
1,2018-06-05,10:00:00,47.240,50.279,58.681,44.578
1,2018-06-05,11:00:00,47.520,49.633,58.013,43.939
1,2018-06-05,12:00:00,47.500,48.446,56.708,42.823
1,2018-06-05,13:00:00,47.080,47.764,55.991,42.156
1,2018-06-05,14:00:00,46.880,46.717,54.844,41.170
1,2018-06-05,15:00:00,46.610,45.205,53.146,39.777
1,2018-06-05,16:00:00,46.450,44.204,52.045,38.836
1,2018-06-05,17:00:00,46.970,44.416,52.371,38.963
1,2018-06-05,18:00:00,47.820,45.238,53.418,39.624
1,2018-06-05,19:00:00,48.200,45.108,53.341,39.450
1,2018-06-05,20:00:00,47.540,43.742,51.800,38.196
1,2018-06-05,21:00:00,47.160,42.490,50.390,37.046
1,2018-06-05,22:00:00,47.320,41.682,49.504,36.286
1,2018-06-05,23:00:00,44.910,38.142,45.364,33.153
1,2018-06-06,00:00:00,44.990,37.882,45.121,32.876
1,2018-06-06,01:00:00,42.280,35.028,41.781,30.352
1,2018-06-06,02:00:00,41.240,33.461,39.970,28.950
1,2018-06-06,03:00:00,41.680,32.219,38.540,27.832
1,2018-06-06,04:00:00,41.750,32.324,38.721,27.879
1,2018-06-06,05:00:00,44.640,36.150,43.367,31.131
1,2018-06-06,06:00:00,47.390,43.601,52.380,37.489
1,2018-06-06,07:00:00,48.420,49.218,59.211,42.253
1,2018-06-06,08:00:00,49.020,51.621,62.191,44.247
1,2018-06-06,09:00:00,49.420,51.636,62.297,44.190
1,2018-06-06,10:00:00,49.930,51.343,62.031,43.870
1,2018-06-06,11:00:00,49.920,50.323,60.885,42.932
1,2018-06-06,12:00:00,48.570,48.760,59.078,41.533
1,2018-06-06,13:00:00,47.860,47.657,57.824,40.530
1,2018-06-06,14:00:00,47.870,46.636,56.664,39.599
1,2018-06-06,15:00:00,47.820,45.346,55.175,38.443
1,2018-06-06,16:00:00,48.320,44.258,53.926,37.461
1,2018-06-06,17:00:00,48.430,44.421,54.200,37.539
1,2018-06-06,18:00:00,49.080,45.031,55.022,37.995
1,2018-06-06,19:00:00,49.360,45.355,55.496,38.208
1,2018-06-06,20:00:00,48.330,44.274,54.248,37.237
1,2018-06-06,21:00:00,48.260,43.642,53.550,36.648
1,2018-06-06,22:00:00,47.470,42.875,52.681,35.946
1,2018-06-06,23:00:00,45.170,39.768,48.932,33.288
1,2018-06-07,00:00:00,44.390,37.046,45.646,30.960
1,2018-06-07,01:00:00,42.530,34.303,42.325,28.622
1,2018-06-07,02:00:00,41.720,32.890,40.638,27.398
1,2018-06-07,03:00:00,41.480,32.569,40.297,27.088
1,2018-06-07,04:00:00,40.810,33.208,41.145,27.575
1,2018-06-07,05:00:00,43.970,37.220,46.179,30.856
1,2018-06-07,06:00:00,47.910,43.188,53.657,35.746
1,2018-06-07,07:00:00,50.910,48.388,60.201,39.985
1,2018-06-07,08:00:00,52.230,51.121,63.689,42.175
1,2018-06-07,09:00:00,51.100,50.396,62.872,41.510
1,2018-06-07,10:00:00,50.330,49.556,61.908,40.751
1,2018-06-07,11:00:00,49.770,48.579,60.770,39.882
1,2018-06-07,12:00:00,48.910,47.420,59.402,38.868
1,2018-06-07,13:00:00,48.640,46.742,58.633,38.249
1,2018-06-07,14:00:00,48.650,46.160,57.982,37.711
1,2018-06-07,15:00:00,49.110,45.539,57.280,37.143
1,2018-06-07,16:00:00,49.130,44.740,56.351,36.431
1,2018-06-07,17:00:00,49.310,45.447,57.319,36.946
1,2018-06-07,18:00:00,49.740,46.471,58.690,37.716
1,2018-06-07,19:00:00,49.850,46.323,58.583,37.534
1,2018-06-07,20:00:00,49.530,44.837,56.780,36.270
1,2018-06-07,21:00:00,49.440,44.036,55.841,35.563
1,2018-06-07,22:00:00,49.210,42.964,54.556,34.640
1,2018-06-07,23:00:00,46.500,40.166,51.071,32.330
1,2018-06-08,00:00:00,46.010,40.033,50.971,32.170
1,2018-06-08,01:00:00,42.710,37.736,48.111,30.273
1,2018-06-08,02:00:00,42.280,36.053,46.027,28.875
1,2018-06-08,03:00:00,43.090,35.064,44.823,28.035
1,2018-06-08,04:00:00,43.350,35.383,45.293,28.243
1,2018-06-08,05:00:00,46.300,37.896,48.574,30.199
1,2018-06-08,06:00:00,49.330,43.639,56.009,34.716
1,2018-06-08,07:00:00,52.040,48.369,62.163,38.414
1,2018-06-08,08:00:00,54.520,50.235,64.648,39.829
1,2018-06-08,09:00:00,53.900,50.196,64.683,39.731
1,2018-06-08,10:00:00,53.640,50.108,64.656,39.594
1,2018-06-08,11:00:00,52.870,49.084,63.418,38.719
1,2018-06-08,12:00:00,49.950,47.747,61.773,37.601
1,2018-06-08,13:00:00,49.850,46.392,60.099,36.472
1,2018-06-08,14:00:00,49.620,45.104,58.508,35.398
1,2018-06-08,15:00:00,48.770,43.702,56.764,34.240
