Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-06-05,2018-06-18,8.805,9.406,3.944,4.688,96.131,1.131,34.514
2,2018-06-18,2018-07-01,8.663,8.672,3.761,4.516,97.024,2.024,34.587
3,2018-07-06,2018-07-19,9.145,9.745,4.656,5.353,99.107,4.107,35.882
4,2018-07-22,2018-08-04,3.862,3.899,2.029,2.516,100.000,5.000,40.007
5,2018-08-03,2018-08-16,4.904,5.007,2.437,3.064,100.000,5.000,37.865
6,2018-08-11,2018-08-24,6.439,6.799,3.163,4.076,100.000,5.000,35.712
7,2018-09-19,2018-10-02,68.462,28.987,10.633,13.421,75.000,20.000,133.271
8,2018-10-12,2018-10-25,44.857,18.723,6.415,9.610,84.524,10.476,106.211
9,2018-10-18,2018-10-31,17.171,18.098,6.969,7.927,93.452,1.548,37.116
10,2018-12-15,2018-12-28,5.288,5.294,2.948,4.074,100.000,5.000,40.234
11,2018-12-20,2019-01-02,6.201,6.162,2.990,3.772,100.000,5.000,37.692
12,2019-01-11,2019-01-24,11.980,12.959,7.046,9.101,98.512,3.512,39.342
13,2019-01-18,2019-01-31,15.579,17.109,9.165,10.075,94.643,0.357,39.998
14,2019-01-20,2019-02-02,6.237,6.491,3.754,5.111,99.405,4.405,41.898
15,2019-01-31,2019-02-13,7.056,6.683,3.569,4.829,98.512,3.512,40.702
16,2019-02-08,2019-02-21,10.668,9.887,4.826,5.992,99.107,4.107,38.545
17,2019-02-12,2019-02-25,8.360,7.865,3.664,4.670,98.512,3.512,35.639
18,2019-03-22,2019-04-04,3.816,3.725,1.449,1.944,100.000,5.000,29.625
19,2019-04-11,2019-04-24,8.709,8.879,3.593,4.148,99.405,4.405,31.092
20,2019-05-03,2019-05-16,21.705,24.461,8.841,9.186,72.024,22.976,58.150
