Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-07-06,00:00:00,49.420,49.922,57.410,44.930
1,2018-07-06,01:00:00,47.630,49.606,57.046,44.645
1,2018-07-06,02:00:00,46.620,49.023,56.376,44.120
1,2018-07-06,03:00:00,44.040,48.765,56.080,43.889
1,2018-07-06,04:00:00,43.040,48.738,56.048,43.864
1,2018-07-06,05:00:00,47.090,49.551,56.984,44.596
1,2018-07-06,06:00:00,49.950,50.502,58.077,45.452
1,2018-07-06,07:00:00,52.000,52.051,59.859,46.846
1,2018-07-06,08:00:00,52.500,52.987,60.935,47.689
1,2018-07-06,09:00:00,52.630,52.835,60.761,47.552
1,2018-07-06,10:00:00,52.640,52.902,60.837,47.612
1,2018-07-06,11:00:00,52.510,53.386,61.394,48.048
1,2018-07-06,12:00:00,52.180,53.781,61.848,48.402
1,2018-07-06,13:00:00,51.460,53.805,61.876,48.425
1,2018-07-06,14:00:00,50.660,54.111,62.228,48.700
1,2018-07-06,15:00:00,50.150,53.881,61.964,48.493
1,2018-07-06,16:00:00,49.860,53.682,61.734,48.314
1,2018-07-06,17:00:00,49.480,54.585,62.772,49.126
1,2018-07-06,18:00:00,49.440,54.024,62.127,48.621
1,2018-07-06,19:00:00,49.710,52.874,60.805,47.587
1,2018-07-06,20:00:00,49.800,51.042,58.699,45.938
1,2018-07-06,21:00:00,49.360,50.381,57.938,45.342
1,2018-07-06,22:00:00,48.720,50.229,57.763,45.206
1,2018-07-06,23:00:00,47.560,49.200,56.580,44.280
1,2018-07-07,00:00:00,48.120,49.126,56.495,44.214
1,2018-07-07,01:00:00,47.030,48.972,56.318,44.075
1,2018-07-07,02:00:00,46.610,48.588,55.876,43.729
1,2018-07-07,03:00:00,44.880,48.521,55.799,43.669
1,2018-07-07,04:00:00,44.040,48.629,55.923,43.766
1,2018-07-07,05:00:00,45.440,49.348,56.751,44.414
1,2018-07-07,06:00:00,47.370,49.994,57.494,44.995
1,2018-07-07,07:00:00,47.530,51.201,58.881,46.081
1,2018-07-07,08:00:00,47.970,51.835,59.610,46.651
1,2018-07-07,09:00:00,49.090,51.412,59.124,46.271
1,2018-07-07,10:00:00,49.400,51.275,58.967,46.148
1,2018-07-07,11:00:00,49.220,51.646,59.393,46.482
1,2018-07-07,12:00:00,48.990,52.003,59.803,46.802
1,2018-07-07,13:00:00,48.550,52.047,59.854,46.842
1,2018-07-07,14:00:00,48.230,52.485,60.357,47.236
1,2018-07-07,15:00:00,47.910,52.420,60.283,47.178
1,2018-07-07,16:00:00,47.790,52.395,60.254,47.155
1,2018-07-07,17:00:00,48.290,53.551,61.583,48.196
1,2018-07-07,18:00:00,48.820,53.150,61.122,47.835
1,2018-07-07,19:00:00,48.700,51.995,59.795,46.796
1,2018-07-07,20:00:00,48.430,49.932,57.422,44.939
1,2018-07-07,21:00:00,48.110,48.956,56.299,44.060
1,2018-07-07,22:00:00,48.080,48.531,55.810,43.678
1,2018-07-07,23:00:00,48.250,47.359,54.463,42.623
1,2018-07-08,00:00:00,48.060,47.695,54.850,42.926
1,2018-07-08,01:00:00,46.990,48.082,55.294,43.273
1,2018-07-08,02:00:00,46.840,48.219,55.452,43.398
1,2018-07-08,03:00:00,46.700,48.624,55.918,43.762
1,2018-07-08,04:00:00,46.640,49.138,56.509,44.224
1,2018-07-08,05:00:00,47.080,50.157,57.680,45.141
1,2018-07-08,06:00:00,48.410,50.981,58.629,45.883
1,2018-07-08,07:00:00,48.550,52.275,60.116,47.047
1,2018-07-08,08:00:00,49.230,52.905,60.841,47.615
1,2018-07-08,09:00:00,49.320,52.430,60.295,47.187
1,2018-07-08,10:00:00,50.000,52.208,60.039,46.987
1,2018-07-08,11:00:00,50.200,52.499,60.374,47.249
1,2018-07-08,12:00:00,50.120,52.796,60.715,47.516
1,2018-07-08,13:00:00,49.920,52.818,60.741,47.537
1,2018-07-08,14:00:00,49.670,53.280,61.272,47.952
1,2018-07-08,15:00:00,49.460,53.283,61.276,47.955
1,2018-07-08,16:00:00,49.570,53.348,61.351,48.013
1,2018-07-08,17:00:00,49.810,54.613,62.805,49.152
1,2018-07-08,18:00:00,50.110,54.305,62.451,48.874
1,2018-07-08,19:00:00,50.280,53.221,61.204,47.899
1,2018-07-08,20:00:00,50.320,51.184,58.862,46.066
1,2018-07-08,21:00:00,50.170,50.164,57.689,45.148
1,2018-07-08,22:00:00,50.590,49.680,57.132,44.712
1,2018-07-08,23:00:00,49.760,48.456,55.724,43.610
1,2018-07-09,00:00:00,48.990,48.495,55.769,43.645
1,2018-07-09,01:00:00,47.580,48.607,55.898,43.746
1,2018-07-09,02:00:00,46.970,48.588,55.877,43.730
1,2018-07-09,03:00:00,46.310,48.946,56.288,44.052
1,2018-07-09,04:00:00,45.030,49.476,56.897,44.528
1,2018-07-09,05:00:00,47.420,50.585,58.172,45.526
1,2018-07-09,06:00:00,50.240,51.562,59.297,46.406
1,2018-07-09,07:00:00,51.920,53.020,60.973,47.718
1,2018-07-09,08:00:00,52.540,53.806,61.877,48.426
1,2018-07-09,09:00:00,52.430,53.433,61.448,48.090
1,2018-07-09,10:00:00,51.940,53.260,61.249,47.934
