Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-06-05,00:00:00,42.660,40.138,46.159,36.124
1,2018-06-05,01:00:00,41.010,38.508,44.350,34.606
1,2018-06-05,02:00:00,39.440,37.562,43.325,33.705
1,2018-06-05,03:00:00,39.350,37.273,43.055,33.396
1,2018-06-05,04:00:00,39.050,37.152,42.979,33.237
1,2018-06-05,05:00:00,41.630,38.642,44.769,34.519
1,2018-06-05,06:00:00,45.900,40.831,47.375,36.420
1,2018-06-05,07:00:00,46.840,42.285,49.135,37.660
1,2018-06-05,08:00:00,46.920,42.823,49.832,38.081
1,2018-06-05,09:00:00,47.070,42.662,49.719,37.882
1,2018-06-05,10:00:00,47.240,42.762,49.908,37.913
1,2018-06-05,11:00:00,47.520,42.687,49.894,37.790
1,2018-06-05,12:00:00,47.500,42.522,49.773,37.586
1,2018-06-05,13:00:00,47.080,42.306,49.593,37.338
1,2018-06-05,14:00:00,46.880,42.140,49.470,37.136
1,2018-06-05,15:00:00,46.610,41.999,49.377,36.956
1,2018-06-05,16:00:00,46.450,42.072,49.535,36.963
1,2018-06-05,17:00:00,46.970,42.522,50.138,37.302
1,2018-06-05,18:00:00,47.820,42.848,50.595,37.530
1,2018-06-05,19:00:00,48.200,43.180,51.061,37.763
1,2018-06-05,20:00:00,47.540,42.809,50.695,37.381
1,2018-06-05,21:00:00,47.160,42.434,50.324,36.997
1,2018-06-05,22:00:00,47.320,41.807,49.652,36.394
1,2018-06-05,23:00:00,44.910,40.605,48.294,35.294
1,2018-06-06,00:00:00,44.990,40.005,47.649,34.718
1,2018-06-06,01:00:00,42.280,39.196,46.752,33.964
1,2018-06-06,02:00:00,41.240,38.505,45.994,33.313
1,2018-06-06,03:00:00,41.680,38.208,45.705,33.006
1,2018-06-06,04:00:00,41.750,38.410,46.011,33.128
1,2018-06-06,05:00:00,44.640,39.403,47.269,33.932
1,2018-06-06,06:00:00,47.390,41.139,49.422,35.373
1,2018-06-06,07:00:00,48.420,42.688,51.355,36.647
1,2018-06-06,08:00:00,49.020,43.351,52.228,37.158
1,2018-06-06,09:00:00,49.420,42.926,51.789,36.736
1,2018-06-06,10:00:00,49.930,42.750,51.649,36.528
1,2018-06-06,11:00:00,49.920,42.489,51.407,36.248
1,2018-06-06,12:00:00,48.570,42.287,51.235,36.019
1,2018-06-06,13:00:00,47.860,42.114,51.098,35.816
1,2018-06-06,14:00:00,47.870,41.976,51.002,35.642
1,2018-06-06,15:00:00,47.820,41.890,50.969,35.513
1,2018-06-06,16:00:00,48.320,42.069,51.259,35.608
1,2018-06-06,17:00:00,48.430,42.547,51.914,35.956
1,2018-06-06,18:00:00,49.080,42.809,52.307,36.120
1,2018-06-06,19:00:00,49.360,42.845,52.425,36.093
1,2018-06-06,20:00:00,48.330,42.409,51.963,35.669
1,2018-06-06,21:00:00,48.260,42.020,51.559,35.286
1,2018-06-06,22:00:00,47.470,41.302,50.749,34.628
1,2018-06-06,23:00:00,45.170,40.098,49.338,33.564
1,2018-06-07,00:00:00,44.390,39.604,48.798,33.097
1,2018-06-07,01:00:00,42.530,38.871,47.961,32.433
1,2018-06-07,02:00:00,41.720,38.420,47.470,32.005
1,2018-06-07,03:00:00,41.480,38.272,47.353,31.831
1,2018-06-07,04:00:00,40.810,38.453,47.643,31.930
1,2018-06-07,05:00:00,43.970,39.526,49.040,32.768
1,2018-06-07,06:00:00,47.910,41.139,51.112,34.050
1,2018-06-07,07:00:00,50.910,42.763,53.203,35.337
1,2018-06-07,08:00:00,52.230,43.433,54.111,35.833
1,2018-06-07,09:00:00,51.100,42.968,53.605,35.391
1,2018-06-07,10:00:00,50.330,42.628,53.254,35.054
1,2018-06-07,11:00:00,49.770,42.364,52.996,34.780
1,2018-06-07,12:00:00,48.910,42.116,52.758,34.520
1,2018-06-07,13:00:00,48.640,41.925,52.591,34.308
1,2018-06-07,14:00:00,48.650,41.826,52.538,34.171
1,2018-06-07,15:00:00,49.110,41.837,52.623,34.123
1,2018-06-07,16:00:00,49.130,42.010,52.913,34.208
1,2018-06-07,17:00:00,49.310,42.467,53.561,34.524
1,2018-06-07,18:00:00,49.740,42.788,54.038,34.727
1,2018-06-07,19:00:00,49.850,42.637,53.921,34.548
1,2018-06-07,20:00:00,49.530,42.129,53.351,34.080
1,2018-06-07,21:00:00,49.440,41.755,52.949,33.721
1,2018-06-07,22:00:00,49.210,41.103,52.192,33.139
1,2018-06-07,23:00:00,46.500,40.038,50.908,32.227
1,2018-06-08,00:00:00,46.010,39.675,50.515,31.882
1,2018-06-08,01:00:00,42.710,39.021,49.749,31.304
1,2018-06-08,02:00:00,42.280,38.585,49.259,30.903
1,2018-06-08,03:00:00,43.090,38.443,49.143,30.737
