Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-06-05,2018-06-18,11.823,12.646,5.546,5.887,100.000,5.000,30.740
2,2018-06-08,2018-06-21,7.190,7.532,3.351,3.912,98.810,3.810,32.483
3,2018-06-15,2018-06-28,6.083,6.277,2.706,3.222,100.000,5.000,31.702
4,2018-06-17,2018-06-30,5.938,6.113,2.653,3.263,100.000,5.000,31.965
5,2018-06-18,2018-07-01,6.566,6.791,2.943,3.561,99.702,4.702,31.778
6,2018-06-19,2018-07-02,8.498,8.969,3.894,4.634,100.000,5.000,31.115
7,2018-07-06,2018-07-19,14.668,15.907,7.592,7.864,100.000,5.000,33.224
8,2018-07-22,2018-08-04,14.087,15.198,7.521,7.692,97.024,2.024,35.016
9,2018-07-25,2018-08-07,13.693,14.747,7.256,7.447,96.726,1.726,35.118
10,2018-07-26,2018-08-08,13.227,14.218,6.985,7.207,97.917,2.917,34.867
11,2018-08-03,2018-08-16,11.028,11.751,5.679,6.053,97.321,2.321,34.729
12,2018-08-11,2018-08-24,11.683,12.500,5.920,6.310,100.000,5.000,33.373
13,2018-09-07,2018-09-20,10.596,11.256,5.691,6.416,93.452,1.548,41.746
14,2018-09-19,2018-10-02,59.204,21.757,7.071,11.102,82.738,12.262,114.240
15,2018-09-22,2018-10-05,33.348,24.858,8.294,9.488,83.333,11.667,65.556
16,2018-09-24,2018-10-07,27.146,21.972,8.225,9.370,88.095,6.905,58.070
17,2018-09-25,2018-10-08,23.160,19.130,7.430,8.599,88.988,6.012,61.159
18,2018-09-29,2018-10-12,17.078,18.132,7.582,8.108,93.452,1.548,38.971
19,2018-09-30,2018-10-13,22.083,24.910,10.038,10.683,75.000,20.000,65.619
20,2018-10-01,2018-10-14,32.680,19.532,7.324,8.840,91.369,3.631,45.267
21,2018-10-12,2018-10-25,40.895,14.682,4.478,8.695,87.798,7.202,94.921
22,2018-10-18,2018-10-31,11.750,11.317,4.501,5.617,97.321,2.321,38.003
23,2018-10-30,2018-11-12,9.655,10.264,4.492,5.137,100.000,5.000,30.798
24,2018-11-13,2018-11-26,16.405,18.213,8.606,10.114,92.262,2.738,39.908
25,2018-11-27,2018-12-10,6.939,7.524,3.846,6.619,94.940,0.060,63.742
26,2018-12-15,2018-12-28,15.523,17.105,8.602,10.037,90.476,4.524,69.301
27,2018-12-16,2018-12-29,16.325,18.040,8.996,10.345,89.583,5.417,75.271
28,2018-12-20,2019-01-02,12.566,13.415,6.366,6.880,95.833,0.833,36.475
29,2019-01-03,2019-01-16,13.467,14.515,6.932,7.260,93.750,1.250,38.844
30,2019-01-06,2019-01-19,12.939,13.993,6.816,7.510,98.512,3.512,33.968
31,2019-01-11,2019-01-24,18.431,20.905,10.864,13.110,97.917,2.917,37.482
32,2019-01-14,2019-01-27,21.524,24.617,12.763,14.500,87.500,7.500,49.849
33,2019-01-18,2019-01-31,23.098,26.392,13.836,14.989,69.643,25.357,101.808
34,2019-01-20,2019-02-02,20.050,22.582,12.011,13.352,77.381,17.619,99.456
35,2019-01-25,2019-02-07,11.968,12.843,6.646,7.324,94.048,0.952,46.324
36,2019-01-31,2019-02-13,8.724,9.241,4.535,5.252,95.833,0.833,38.426
37,2019-02-08,2019-02-21,3.892,3.996,1.803,2.342,100.000,5.000,33.364
38,2019-02-12,2019-02-25,2.814,2.847,1.245,1.675,100.000,5.000,32.469
39,2019-03-01,2019-03-14,7.496,7.861,3.275,3.702,100.000,5.000,30.098
40,2019-03-08,2019-03-21,5.282,5.465,2.276,2.976,100.000,5.000,30.556
41,2019-03-14,2019-03-27,4.528,4.578,1.856,2.508,99.702,4.702,30.405
42,2019-03-15,2019-03-28,4.452,4.478,1.811,2.475,99.702,4.702,30.666
43,2019-03-22,2019-04-04,4.094,4.023,1.541,2.053,99.702,4.702,29.744
44,2019-04-02,2019-04-15,11.227,12.150,4.955,6.017,100.000,5.000,28.371
45,2019-04-11,2019-04-24,10.051,10.419,4.243,4.973,97.917,2.917,33.270
46,2019-04-22,2019-05-05,22.794,12.661,3.973,6.931,90.476,4.524,58.403
47,2019-04-28,2019-05-11,23.007,16.187,5.458,6.817,93.452,1.548,56.367
48,2019-05-02,2019-05-15,20.412,16.430,5.885,6.655,97.321,2.321,41.498
49,2019-05-03,2019-05-16,13.347,14.000,5.400,5.790,98.214,3.214,28.862
50,2019-05-16,2019-05-29,8.346,7.459,2.626,3.861,98.810,3.810,30.888
