Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-07-06,00:00:00,49.420,42.780,47.058,38.502
1,2018-07-06,01:00:00,47.630,40.890,45.046,36.746
1,2018-07-06,02:00:00,46.620,38.542,42.523,34.585
1,2018-07-06,03:00:00,44.040,38.032,42.023,34.076
1,2018-07-06,04:00:00,43.040,37.850,41.883,33.862
1,2018-07-06,05:00:00,47.090,40.545,44.931,36.219
1,2018-07-06,06:00:00,49.950,43.712,48.513,38.990
1,2018-07-06,07:00:00,52.000,46.370,51.538,41.298
1,2018-07-06,08:00:00,52.500,47.572,52.953,42.306
1,2018-07-06,09:00:00,52.630,47.925,53.424,42.555
1,2018-07-06,10:00:00,52.640,47.790,53.351,42.371
1,2018-07-06,11:00:00,52.510,47.440,53.038,41.997
1,2018-07-06,12:00:00,52.180,46.538,52.105,41.136
1,2018-07-06,13:00:00,51.460,46.165,51.764,40.745
1,2018-07-06,14:00:00,50.660,45.510,51.104,40.106
1,2018-07-06,15:00:00,50.150,44.800,50.380,39.420
1,2018-07-06,16:00:00,49.860,44.547,50.169,39.138
1,2018-07-06,17:00:00,49.480,44.922,50.665,39.407
1,2018-07-06,18:00:00,49.440,46.010,51.967,40.300
1,2018-07-06,19:00:00,49.710,46.553,52.656,40.713
1,2018-07-06,20:00:00,49.800,46.160,52.287,40.308
1,2018-07-06,21:00:00,49.360,45.280,51.365,39.479
1,2018-07-06,22:00:00,48.720,45.138,51.277,39.294
1,2018-07-06,23:00:00,47.560,42.915,48.822,37.302
1,2018-07-07,00:00:00,48.120,44.502,50.701,38.622
1,2018-07-07,01:00:00,47.030,43.615,49.761,37.793
1,2018-07-07,02:00:00,46.610,42.797,48.899,37.027
1,2018-07-07,03:00:00,44.880,41.410,47.381,35.772
1,2018-07-07,04:00:00,44.040,39.320,45.054,33.913
1,2018-07-07,05:00:00,45.440,41.062,47.118,35.361
1,2018-07-07,06:00:00,47.370,41.985,48.245,36.100
1,2018-07-07,07:00:00,47.530,43.730,50.322,37.541
1,2018-07-07,08:00:00,47.970,45.528,52.465,39.024
1,2018-07-07,09:00:00,49.090,45.903,52.972,39.284
1,2018-07-07,10:00:00,49.400,46.620,53.877,39.835
1,2018-07-07,11:00:00,49.220,46.342,53.632,39.536
1,2018-07-07,12:00:00,48.990,45.920,53.218,39.114
1,2018-07-07,13:00:00,48.550,45.095,52.336,38.351
