Period,From Date,To Date,MAPE,SMAPE,MAE,RMSE,COV,CE,IS
1,2018-07-06,2018-07-19,7.732,8.153,3.959,4.576,97.321,2.321,35.435
2,2018-08-03,2018-08-16,5.244,5.058,2.560,3.073,100.000,5.000,37.005
3,2018-08-11,2018-08-24,4.757,4.620,2.278,2.830,98.214,3.214,36.775
4,2018-10-12,2018-10-25,47.500,18.569,6.293,10.128,84.226,10.774,109.090
5,2018-12-15,2018-12-28,12.221,12.517,6.839,9.060,87.500,7.500,71.768
6,2019-01-20,2019-02-02,10.127,10.988,6.297,8.474,81.250,13.750,74.756
7,2019-01-31,2019-02-13,15.129,13.705,7.588,9.063,95.238,0.238,49.531
8,2019-02-12,2019-02-25,16.861,15.461,7.263,7.545,95.238,0.238,36.653
9,2019-03-22,2019-04-04,9.515,8.909,3.567,4.322,99.702,4.702,29.154
10,2019-05-03,2019-05-16,15.157,17.699,5.955,8.402,82.143,12.857,85.301
