Period,Date,Hour,System Price,Forecast,Upper,Lower
1,2018-06-05,00:00:00,42.660,42.797,45.481,40.197
1,2018-06-05,01:00:00,41.010,41.100,45.092,34.694
1,2018-06-05,02:00:00,39.440,39.798,44.814,27.743
1,2018-06-05,03:00:00,39.350,39.203,44.945,22.433
1,2018-06-05,04:00:00,39.050,38.958,45.188,18.814
1,2018-06-05,05:00:00,41.630,40.883,47.853,26.469
1,2018-06-05,06:00:00,45.900,43.978,57.682,36.256
1,2018-06-05,07:00:00,46.840,45.544,66.351,38.523
1,2018-06-05,08:00:00,46.920,46.491,72.613,39.385
1,2018-06-05,09:00:00,47.070,46.612,73.985,39.403
1,2018-06-05,10:00:00,47.240,46.511,73.814,39.242
1,2018-06-05,11:00:00,47.520,46.232,72.399,38.918
1,2018-06-05,12:00:00,47.500,45.833,70.152,38.440
1,2018-06-05,13:00:00,47.080,45.503,68.289,37.997
1,2018-06-05,14:00:00,46.880,44.833,64.445,36.970
1,2018-06-05,15:00:00,46.610,44.516,62.730,36.380
1,2018-06-05,16:00:00,46.450,44.444,62.379,36.224
1,2018-06-05,17:00:00,46.970,45.137,66.373,37.414
1,2018-06-05,18:00:00,47.820,46.064,72.111,38.610
1,2018-06-05,19:00:00,48.200,46.334,73.861,38.890
1,2018-06-05,20:00:00,47.540,46.005,71.778,38.536
1,2018-06-05,21:00:00,47.160,45.793,70.455,38.286
1,2018-06-05,22:00:00,47.320,45.411,68.105,37.790
1,2018-06-05,23:00:00,44.910,43.159,56.143,32.926
1,2018-06-06,00:00:00,44.990,42.229,53.065,30.033
1,2018-06-06,01:00:00,42.280,40.532,48.689,21.571
1,2018-06-06,02:00:00,41.240,39.178,46.718,13.164
1,2018-06-06,03:00:00,41.680,38.591,46.119,9.182
1,2018-06-06,04:00:00,41.750,38.367,45.925,7.578
1,2018-06-06,05:00:00,44.640,40.464,48.666,20.857
1,2018-06-06,06:00:00,47.390,43.738,59.987,34.667
1,2018-06-06,07:00:00,48.420,45.256,68.834,37.508
1,2018-06-06,08:00:00,49.020,46.163,74.745,38.592
1,2018-06-06,09:00:00,49.420,46.295,75.651,38.722
1,2018-06-06,10:00:00,49.930,46.214,75.119,38.638
1,2018-06-06,11:00:00,49.920,45.956,73.419,38.364
1,2018-06-06,12:00:00,48.570,45.589,71.028,37.933
1,2018-06-06,13:00:00,47.860,45.276,69.029,37.519
1,2018-06-06,14:00:00,47.870,44.640,65.123,36.523
1,2018-06-06,15:00:00,47.820,44.332,63.322,35.948
1,2018-06-06,16:00:00,48.320,44.253,62.876,35.790
1,2018-06-06,17:00:00,48.430,44.948,66.994,37.033
1,2018-06-06,18:00:00,49.080,45.855,72.777,38.247
1,2018-06-06,19:00:00,49.360,46.114,74.489,38.529
1,2018-06-06,20:00:00,48.330,45.788,72.340,38.169
1,2018-06-06,21:00:00,48.260,45.578,70.971,37.915
